trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500
0	Apriori	Id(Bk)Syl1>>Id(Bk)	10	10																																																																																																																																																		
2	IuI	iyi	2	12	0	0			-2	498	-2	498	-2	498	2	502	2	502	2	502	2	502																																																																																																																																
3	yyi	uui	2	14	0	0			2	500	2	500	2	500							-2	500																																																																																																																													-2	498	-2	498
4	uau	yAy	2	16	0	0			-2	498	-2	498	-2	498							2	502																																																																																																																																
5	AOy	aou	2	18	0	0	2	502	2	500	2	500	2	500					-2	500	-2	500																																																																																																																																
6	eAe	EaE	2	20	0	0			2	502	2	502	2	502			-2	500	-2	498	-2	498																																																																																																																																
8	Ea	eA	2	22	0	0			-2	500	-2	500	-2	500			2	502	2	500	2	500																																																																																																																																
15	Ea	eA	2	24	0	0			-2	498	-2	498	-2	498			2	504	2	502	2	502																																																																																																																																
18	iAO	iao			2	2	2	504	2	500	2	500	2	500					-2	500	-2	500																																																											-2	498	-2	498	-2	498																																																																
20	iaa	Iaa	2	26	0	2							2	502	-2	500	-2	502	-2	498	-2	498																																																													2	500	2	500																																																																
21	ei	Ei	2	28	0	2					2	502	2	504			-2	500	-2	496	-2	496																																																																																													-2	498	-2	498													-2	498	-2	498													-2	496	-2	496
22	uao	yAO	2	30	0	2	-2	502	-2	498	-2	500	-2	502					2	498	2	498																																																																																																																																
24	IoE	ioE	2	32	0	2							-2	500	2	502	2	502	2	500	2	500																																																							-2	498	-2	498	-2	496	-2	498	-2	498																																																																
26	iuO	Iuo	2	34	0	2	2	504	2	500	2	502	2	502	-2	500	-2	500	-2	498	-2	498																																																													2	500	2	500																																																	2	502	2	502	2	502	2	502	2	502	2	502	2	498	2	498
27	ouI	oui			2	4							-2	500	2	502	2	502	2	500	2	500																																																																																																															-2	496													-2	496	-2	496
29	iii	Iii	2	36	0	4							2	502	-2	500	-2	500	-2	498	-2	498																																																																													-2	498	-2	498													-2	496	-2	496													-2	496	-2	494													-2	494	-2	494
31	oIu	Oiy	2	38	0	4	-2	502	-2	498	-2	500	-2	500	2	502	2	502	2	500	2	500																																																																																																																																
35	ia	iA			2	6			-2	496	-2	498	-2	498							2	502																																																													2	502	2	502																																																																
36	AiO	aio	2	40	0	6	2	504	2	498	2	500	2	500					-2	498	-2	500																																																									-2	496	-2	494	-2	500	-2	500																																																													-2	492	-2	492
37	uaa	yAA	2	42	0	6			-2	496	-2	498	-2	498							2	502																																																																																																																																
38	iy	Iu	2	44	0	6			2	498	2	500	2	500	-2	500	-2	500	-2	496	-2	500																																																																																																																																
39	IEo	iEo	2	46	0	6							-2	498	2	502	2	502	2	498	2	502																																																					-2	498	-2	496	-2	494	-2	492	-2	498	-2	498																																																																
40	oEa	OeA	2	48	0	6	-2	502	-2	496	-2	498	-2	496			2	504	2	500	2	504																																																																																																																																
44	ao	AO	2	50	0	6	-2	500	-2	494	-2	496	-2	494					2	502	2	506																																																																																																																																
45	iAy	Iau	2	52	0	6			2	496	2	498	2	496	-2	500	-2	502	-2	500	-2	504																																																																																																																																
46	iey	iEu			2	8			2	498	2	500	2	498			-2	500	-2	498	-2	502																																																					-2	496	-2	494	-2	492	-2	490	-2	496	-2	496																																																																
47	ieO	IEo	2	54	0	8	2	502	2	500	2	502	2	500	-2	498	-2	498	-2	496	-2	500																																																																																																																																
48	eoo	eOO			2	10	-2	500	-2	498	-2	500	-2	498					2	498	2	502																																									2	502	2	502	2	502	2	502									2	494	2	492	2	498	2	498																																																																
49	oaI	OAi	2	56	0	10	-2	498	-2	496	-2	498	-2	496	2	500	2	500	2	500	2	504																																																																																																																																
50	iey	iEu			2	12			2	498	2	500	2	498			-2	498	-2	498	-2	502																																																					-2	494	-2	492	-2	492	-2	490	-2	496	-2	496																																																																
52	iOe	ioE			2	14	2	500	2	500	2	502	2	500			-2	496	-2	496	-2	500																																																							-2	490	-2	490	-2	488	-2	494	-2	494																																																																
53	yOO	uoo	2	58	0	14	2	502	2	502	2	504	2	502					-2	494	-2	498																																																																																																																																
55	oao	OAO	2	60	0	14	-2	500	-2	500	-2	502	-2	500					2	496	2	500																																																																																																																																
56	uEa	yeA	2	62	0	14			-2	498	-2	500	-2	498			2	498	2	498	2	502																																																																																																																																
57	yy	uu	2	64	0	14			2	500	2	502	2	500							-2	500																																																																																																																																
58	iua	Iua	2	66	0	14							2	502	-2	498	-2	496	-2	496	-2	498																																																													2	496	2	496																																																																
59	oau	OAy	2	68	0	14	-2	498	-2	498	-2	500	-2	500					2	498	2	500																																																																																																																																
60	Eoa	eOA	2	70	0	14	-2	496	-2	496	-2	498	-2	498			2	498	2	500	2	502																																																																																																																																
61	iOi	ioi			2	16	2	498	2	498	2	500	2	500					-2	498	-2	500																																																									-2	488	-2	486	-2	494	-2	494																																													-2	494	-2	492													-2	490	-2	490
62	OiO	oio	2	72	0	16	2	500	2	500	2	502	2	502					-2	496	-2	498																																																									-2	486	-2	484	-2	492	-2	492																																													-2	492	-2	490													-2	488	-2	488
63	aaa	AAA	2	74	0	16			-2	498	-2	500	-2	500							2	500																																																																																																																																
64	uII	uii			2	18							-2	498	2	500	2	500	2	498	2	502																																																																																																																													-2	486	-2	486
65	ieO	IEo	2	76	0	18	2	502	2	500	2	502	2	500	-2	498	-2	498	-2	496	-2	500																																																																																																																																
66	ua	yA	2	78	0	18			-2	498	-2	500	-2	498							2	502																																																																																																																																
67	iyi	iui			2	20			2	500	2	502	2	500							-2	500																																																													-2	490	-2	490																																																													-2	484	-2	484
68	EIu	Eiu			2	22							-2	498	2	500	2	500	2	498	2	502																																																													-2	488	-2	488																													-2	494	-2	494													-2	490	-2	488													-2	482	-2	482
69	OOO	ooo	2	80	0	22	2	504	2	502	2	504	2	500					-2	496	-2	500																																																																																																																																
70	IIE	iiE	2	82	0	22							-2	498	2	502	2	502	2	498	2	502																																																					-2	492	-2	488	-2	484	-2	482	-2	486	-2	486																																																																
72	iEo	IEo	2	84	0	22							2	500	-2	500	-2	500	-2	496	-2	500																																																					2	494	2	490	2	486	2	484	2	488	2	488																																																																
73	OeA	oEa	2	86	0	22	2	506	2	504	2	506	2	502			-2	498	-2	494	-2	498																																																																																																																																
74	aua	AyA	2	88	0	22			-2	502	-2	504	-2	500							2	500																																																																																																																																
75	iee	IEE	2	90	0	22					2	506	2	502	-2	498	-2	496	-2	492	-2	498																																																																																																																																
76	oIo	oio			2	24							-2	500	2	500	2	498	2	494	2	500																																																									-2	484	-2	482	-2	486	-2	486																																													-2	488	-2	486													-2	480	-2	480
81	Iou	iou	2	92	0	24							-2	498	2	502	2	500	2	496	2	502																																																									-2	482	-2	480	-2	484	-2	484																																																																
83	Ayy	auu	2	94	0	24			2	504	2	508	2	500							-2	500																																																																																																																																
85	aua	AyA	2	96	0	24			-2	502	-2	506	-2	498							2	502																																																																																																																																
88	uia	yiA	2	98	0	24			-2	500	-2	504	-2	496							2	504																																																													2	486	2	486																																																													2	482	2	482
90	uoi	yOi	2	100	0	24	-2	504	-2	498	-2	502	-2	494					2	498	2	506																																																																																																													2	490	2	488													2	484	2	484
91	Oey	oEu	2	102	0	24	2	506	2	500	2	504	2	496			-2	498	-2	496	-2	504																																																																																																																																
92	auo	AyO	2	104	0	24	-2	504	-2	498	-2	502	-2	494					2	498	2	506																																																																																																																																
94	ie	IE	2	106	0	24					2	504	2	496	-2	500	-2	496	-2	496	-2	504																																																																																																																																
95	uoE	yOe	2	108	0	24	-2	502	-2	496	-2	502	-2	494			2	498	2	498	2	506																																																																																																																																
96	eie	EiE	2	110	0	24					2	504	2	496			-2	496	-2	496	-2	504																																																					-2	492	-2	488	-2	480	-2	478	-2	484	-2	484																													-2	492	-2	492													-2	488	-2	486													-2	482	-2	482
97	ii	Ii	2	112	0	24							2	498	-2	498	-2	494	-2	494	-2	502																																																																													-2	496	-2	496													-2	490	-2	490													-2	486	-2	484													-2	480	-2	480
98	oEE	Oee	2	114	0	24	-2	500	-2	494	-2	502	-2	496			2	496	2	496	2	504																																																																																																																																
99	iEu	IEu	2	116	0	24							2	498	-2	496	-2	494	-2	494	-2	502																																																					2	494	2	490	2	482	2	480	2	486	2	486																																																																
102	ye	uE	2	118	0	24			2	496	2	504	2	500			-2	492	-2	492	-2	500																																																																																																																																
104	ioo	iOO			2	26	-2	498	-2	494	-2	502	-2	498					2	494	2	502																																																									2	484	2	482	2	488	2	488																																																																
107	iyA	iua			2	28			2	496	2	504	2	500							-2	500																																																													-2	486	-2	486																																																																
108	eOy	Eou	2	120	0	28	2	500	2	498	2	506	2	502			-2	490	-2	492	-2	498																																																																																																																																
109	uEI	yei	2	122	0	28			-2	496	-2	504	-2	500	2	498	2	492	2	494	2	500																																																																																																																																
111	IEa	iEa	2	124	0	28							-2	498	2	500	2	494	2	496	2	502																																																					-2	492	-2	488	-2	482	-2	480	-2	484	-2	484																																																																
