trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500
2	iAO	Iao	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.3333333333333333	500.3333333333333	0.3333333333333333	500.3333333333333	0.3333333333333333	500.3333333333333	0.3333333333333333	500.3333333333333	-2	498	-2	498	-2	498	-2	498																																																																																																																																
4	Iuu	iuu	0.3333333333333333	0.6666666666666666	0.3333333333333333	0.6666666666666666							-2	498.3333333333333	0.3333333333333333	498.3333333333333	0.3333333333333333	498.3333333333333	0.3333333333333333	498.3333333333333	0.3333333333333333	498.3333333333333																																																													-2	498	-2	498																																																																
7	uao	yAO	0.5	1.1666666666666665	0.5	1.1666666666666665	-2	498.3333333333333	-2	498.3333333333333	-2	498.3333333333333	-2	496.3333333333333					0.5	498.8333333333333	0.5	498.8333333333333																																																																																																																																
8	ie	iE			0.6666666666666666	1.833333333333333					0.6666666666666666	499.0	0.6666666666666666	497.0			-2	496.3333333333333	-2	496.8333333333333	-2	496.8333333333333																																																					-2	498	-2	498	-2	498	-2	498	-2	496	-2	496																																																																
9	aaE	AAe	0.4	1.5666666666666664	0.4	2.233333333333333			-2	496.3333333333333	-2	497.0	-2	495.0			0.4	496.7333333333333	0.4	497.2333333333333	0.4	497.2333333333333																																																																																																																																
10	eO	Eo	0.3333333333333333	1.8999999999999997	0.3333333333333333	2.5666666666666664	0.3333333333333333	498.66666666666663	0.3333333333333333	496.66666666666663	0.3333333333333333	497.3333333333333	0.3333333333333333	495.3333333333333			-2	494.7333333333333	-2	495.2333333333333	-2	495.2333333333333																																																																																																																																
11	EE	ee	0.4	2.3	0.4	2.9666666666666663					-2	495.3333333333333	-2	493.3333333333333			0.4	495.13333333333327	0.4	495.63333333333327	0.4	495.63333333333327																																																																																																																																
12	iy	iu			0.5	3.4666666666666663			0.5	497.16666666666663	0.5	495.8333333333333	0.5	493.8333333333333							-2	493.63333333333327																																																													-2	494	-2	494																																																																
14	ii	Ii	0.6666666666666666	2.9666666666666663	0.6666666666666666	4.133333333333333							0.6666666666666666	494.5	-2	496.3333333333333	-2	493.13333333333327	-2	493.63333333333327	-2	491.63333333333327																																																																													-2	498	-2	498													-2	498	-2	498													-2	498	-2	498													-2	498	-2	498
15	Eoo	eOO	0.4	3.3666666666666663	0.4	4.533333333333333	-2	496.66666666666663	-2	495.16666666666663	-2	493.8333333333333	-2	492.5			0.4	493.53333333333325	0.4	494.03333333333325	0.4	492.03333333333325																																																																																																																																
16	EEu	eey	0.4	3.766666666666666	0.4	4.933333333333334			-2	493.16666666666663	-2	491.8333333333333	-2	490.5			0.4	493.9333333333332	0.4	494.4333333333332	0.4	492.4333333333332																																																																																																																																
21	AOi	aoi	0.3333333333333333	4.1	0.3333333333333333	5.266666666666667	0.3333333333333333	496.99999999999994	0.3333333333333333	493.49999999999994	0.3333333333333333	492.16666666666663	0.3333333333333333	490.8333333333333					-2	492.4333333333332	-2	490.4333333333332																																																																																																													-2	496	-2	496													-2	496	-2	496
22	auE	Aye	0.4	4.5	0.4	5.666666666666667			-2	491.49999999999994	-2	490.16666666666663	-2	488.8333333333333			0.4	494.3333333333332	0.4	492.8333333333332	0.4	490.8333333333332																																																																																																																																
23	IEo	iEo	0.3333333333333333	4.833333333333333	0.3333333333333333	6.0							-2	486.8333333333333	0.3333333333333333	496.66666666666663	0.3333333333333333	494.6666666666665	0.3333333333333333	493.1666666666665	0.3333333333333333	491.1666666666665																																																					-2	496	-2	496	-2	496	-2	496	-2	492	-2	492																																																																
25	iee	iEE			0.6666666666666666	6.666666666666667					0.6666666666666666	490.8333333333333	0.6666666666666666	487.5			-2	492.6666666666665	-2	491.1666666666665	-2	489.1666666666665																																																					-2	494	-2	494	-2	494	-2	494	-2	490	-2	490																																																																
27	ioi	iOi			0.18181818181818182	6.848484848484849	-2	494.99999999999994	-2	489.49999999999994	-2	488.8333333333333	-2	485.5					0.18181818181818182	491.3484848484847	0.18181818181818182	489.3484848484847																																																									0.18181818181818182	494.1818181818182	0.18181818181818182	494.1818181818182	0.18181818181818182	490.1818181818182	0.18181818181818182	490.1818181818182																																													0.18181818181818182	496.1818181818182	0.18181818181818182	496.1818181818182													0.18181818181818182	496.1818181818182	0.18181818181818182	496.1818181818182
28	ouu	Oyy	0.5	5.333333333333333	0.5	7.348484848484849	-2	492.99999999999994	-2	487.49999999999994	-2	486.8333333333333	-2	483.5					0.5	491.8484848484847	0.5	489.8484848484847																																																																																																																																
29	OOi	ooi	0.3333333333333333	5.666666666666666	0.3333333333333333	7.681818181818182	0.3333333333333333	493.33333333333326	0.3333333333333333	487.83333333333326	0.3333333333333333	487.16666666666663	0.3333333333333333	483.8333333333333					-2	489.8484848484847	-2	487.8484848484847																																																																																																													-2	494.1818181818182	-2	494.1818181818182													-2	494.1818181818182	-2	494.1818181818182
