trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500
1	uau	yau	0.5	0.5	0.5	0.5			-2	498	-2	498	-2	498							0.5	500.5																													-2	498	-2	498													-2	498	-2	498													-2	498	-2	498																																																																
2	uEu	ueu			0.4	0.9					-2	496	-2	496			0.4	500.4	0.4	500.4	0.4	500.9																																													-2	496	-2	496													-2	496	-2	496																																																									-2	498	-2	498	-2	498	-2	498
3	yOO	yoo			0.3333333333333333	1.2333333333333334	0.3333333333333333	500.3333333333333	0.3333333333333333	498.3333333333333	0.3333333333333333	496.3333333333333	0.3333333333333333	496.3333333333333					-2	498.4	-2	498.9																									-2	498	-2	498	-2	496	-2	496									-2	498	-2	498	-2	494	-2	494									-2	498	-2	498	-2	494	-2	494																																																																
4	yiy	yiu			0.4	1.6333333333333333			0.4	498.7333333333333	0.4	496.7333333333333	0.4	496.7333333333333							-2	496.9																															-2	494															-2	492													-2	492	-2	492																																																																
5	aae	Aae	0.3333333333333333	0.8333333333333333	0.3333333333333333	1.9666666666666666			-2	496.7333333333333	-2	494.7333333333333	-2	494.7333333333333							0.3333333333333333	497.2333333333333																													-2	494	-2	492													-2	492	-2	490													-2	490	-2	490																																																											0.3333333333333333	498.3333333333333			0.3333333333333333	498.3333333333333
9	Oie	oie	0.2857142857142857	1.119047619047619	0.2857142857142857	2.2523809523809524	0.2857142857142857	500.6190476190476	0.2857142857142857	497.01904761904757	0.2857142857142857	495.01904761904757	0.2857142857142857	495.01904761904757					-2	496.4	-2	495.2333333333333																																																																																																											-2	498	-2	498	-2	498											-2	496.3333333333333	-2	496	-2	496.3333333333333
12	aaa	Aaa	0.5	1.619047619047619	0.5	2.7523809523809524			-2	495.01904761904757	-2	493.01904761904757	-2	493.01904761904757							0.5	495.7333333333333																													-2	492	-2	490													-2	490	-2	488													-2	488	-2	488																																																																
13	eoo	Eoo	0.15384615384615385	1.7728937728937728	0.15384615384615385	2.906227106227106					0.15384615384615385	493.1728937728937	0.15384615384615385	493.1728937728937			-2	498.4	-2	494.4	-2	493.7333333333333																																									0.15384615384615385	498.15384615384613	0.15384615384615385	498.15384615384613	0.15384615384615385	490.15384615384613	0.15384615384615385	488.15384615384613									0.15384615384615385	498.15384615384613	0.15384615384615385	498.15384615384613	0.15384615384615385	488.15384615384613	0.15384615384615385	488.15384615384613																																																																
14	OAe	oae	0.2857142857142857	2.0586080586080584	0.2857142857142857	3.1919413919413917	0.2857142857142857	500.90476190476187	0.2857142857142857	495.30476190476185	0.2857142857142857	493.458608058608	0.2857142857142857	493.458608058608					-2	492.4	-2	491.7333333333333																																																																																																											-2	496			-2	496									-2	496	-2	494.3333333333333	-2	494	-2	494.3333333333333
17	eee	Eee	0.4	2.4586080586080583	0.4	3.5919413919413916					0.4	493.85860805860796	0.4	493.85860805860796			-2	496.4	-2	490.4	-2	489.7333333333333																																																																																									-2	498	-2	498	-2	498	-2	498									-2	498	-2	494	-2	496	-2	494									-2	494	-2	492.3333333333333	-2	492	-2	492.3333333333333
18	aia	Aia	0.3333333333333333	2.791941391941392	0.3333333333333333	3.925274725274725			-2	493.30476190476185	-2	491.85860805860796	-2	491.85860805860796							0.3333333333333333	490.0666666666666																															-2	488															-2	486.15384615384613																																																																													0.3333333333333333	492.3333333333333	0.3333333333333333	492.66666666666663
20	oiu	Oiu	0.2222222222222222	3.014163614163614	0.2222222222222222	4.147496947496947	-2	498.90476190476187	-2	491.30476190476185	-2	489.85860805860796	-2	489.85860805860796					0.2222222222222222	490.6222222222222	0.2222222222222222	490.28888888888883															-2	498															-2	486															-2	484.15384615384613																																																													0.2222222222222222	496.22222222222223	0.2222222222222222	494.22222222222223													0.2222222222222222	492.55555555555554	0.2222222222222222	492.88888888888886
24	uEa	yea	0.3333333333333333	3.3474969474969476	0.3333333333333333	4.48083028083028			-2	489.30476190476185	-2	487.85860805860796	-2	487.85860805860796			0.3333333333333333	496.7333333333333	0.3333333333333333	490.9555555555555	0.3333333333333333	490.62222222222215																															-2	484													-2	488.15384615384613	-2	482.15384615384613													-2	486.15384615384613	-2	486.15384615384613																																																																
25	iye	iue			0.4	4.88083028083028			0.4	489.7047619047618	0.4	488.25860805860793	0.4	488.25860805860793							-2	488.62222222222215																																																													-2	484.15384615384613	-2	484.15384615384613																																																									-2	492	-2	490.3333333333333	-2	490.55555555555554	-2	490.88888888888886
27	aa	Aa	0.5	3.8474969474969476	0.5	5.38083028083028			-2	487.7047619047618	-2	486.25860805860793	-2	486.25860805860793							0.5	489.12222222222215																													-2	490	-2	482													-2	486.15384615384613	-2	480.15384615384613													-2	482.15384615384613	-2	482.15384615384613																																																																
28	aa	Aa	0.5	4.347496947496948	0.5	5.88083028083028			-2	485.7047619047618	-2	484.25860805860793	-2	484.25860805860793							0.5	489.62222222222215																													-2	488	-2	480													-2	484.15384615384613	-2	478.15384615384613													-2	480.15384615384613	-2	480.15384615384613																																																																
29	iAA	iaa			0.4	6.280830280830281			0.4	486.1047619047618	0.4	484.6586080586079	0.4	484.6586080586079							-2	487.62222222222215																																																													-2	478.15384615384613	-2	478.15384615384613																																																																
30	eye	eue			0.4	6.680830280830281			0.4	486.5047619047618	0.4	485.0586080586079	0.4	485.0586080586079							-2	485.62222222222215																																													-2	482.15384615384613	-2	476.15384615384613													-2	476.15384615384613	-2	476.15384615384613																																																									-2	490	-2	488.3333333333333	-2	488.55555555555554	-2	488.88888888888886
31	uua	yua	0.5	4.847496947496948	0.5	7.180830280830281			-2	484.5047619047618	-2	483.0586080586079	-2	483.0586080586079							0.5	486.12222222222215																													-2	486	-2	478													-2	480.15384615384613	-2	474.15384615384613													-2	474.15384615384613	-2	474.15384615384613																																																																
32	ooE	Ooe	0.3333333333333333	5.180830280830281	0.3333333333333333	7.514163614163614	-2	496.90476190476187	-2	482.5047619047618	-2	481.0586080586079	-2	481.0586080586079			0.3333333333333333	497.0666666666666	0.3333333333333333	491.28888888888883	0.3333333333333333	486.45555555555546									-2	498	-2	498	-2	498	-2	496									-2	496	-2	496	-2	484	-2	476									-2	496.15384615384613	-2	496.15384615384613	-2	478.15384615384613	-2	472.15384615384613									-2	496.15384615384613	-2	496.15384615384613	-2	472.15384615384613	-2	472.15384615384613																																									-2	496	-2	492	-2	494.22222222222223	-2	492.22222222222223									-2	488	-2	486.3333333333333	-2	486.55555555555554	-2	486.88888888888886
36	eyy	Euu	0.3333333333333333	5.514163614163614	0.3333333333333333	7.847496947496947			0.3333333333333333	482.8380952380951	0.3333333333333333	481.3919413919412	0.3333333333333333	481.3919413919412			-2	495.0666666666666	-2	489.28888888888883	-2	484.45555555555546																																																																																																																																
37	oai	Oai	0.2857142857142857	5.7998778998779	0.2857142857142857	8.133211233211233	-2	494.90476190476187	-2	480.8380952380951	-2	479.3919413919412	-2	479.3919413919412					0.2857142857142857	489.5746031746031	0.2857142857142857	484.74126984126974													-2	496	-2	494													-2	482	-2	474													-2	476.15384615384613	-2	470.15384615384613													-2	470.15384615384613	-2	470.15384615384613																																															0.2857142857142857	492.5079365079365															0.2857142857142857	487.17460317460313
38	uo	yo	0.5	6.2998778998779	0.5	8.633211233211233			-2	478.8380952380951	-2	477.3919413919412	-2	477.3919413919412							0.5	485.24126984126974																									-2	494	-2	494	-2	480	-2	472									-2	494.15384615384613	-2	494.15384615384613	-2	474.15384615384613	-2	468.15384615384613									-2	494.15384615384613	-2	494.15384615384613	-2	468.15384615384613	-2	468.15384615384613																																																																
39	yeO	ueo	0.2857142857142857	6.585592185592185	0.2857142857142857	8.91892551892552	0.2857142857142857	495.19047619047615	0.2857142857142857	479.12380952380937	0.2857142857142857	477.6776556776555	0.2857142857142857	477.6776556776555					-2	487.5746031746031	-2	483.24126984126974																																									-2	492.15384615384613	-2	492.15384615384613	-2	472.15384615384613	-2	466.15384615384613									-2	492.15384615384613	-2	492.15384615384613	-2	466.15384615384613	-2	466.15384615384613																																																									-2	486	-2	484.3333333333333	-2	484.55555555555554	-2	485.17460317460313
