trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		51.63636363636364		74.9090909090909		86.54545454545455		98.18181818181819		51.63636363636364		63.27272727272727		74.9090909090909		98.18181818181819		40.763636363636365		41.09090909090909		41.52727272727273		42.18181818181818		42.29090909090909		43.27272727272727		43.81818181818182		45.45454545454545		42.29090909090909		43.054545454545455		44.58181818181818		46.10909090909091		46.872727272727275		49.163636363636364		51.45454545454545		55.27272727272727		43.054545454545455		43.92727272727273		46.10909090909091		47.85454545454546		49.163636363636364		51.78181818181818		55.27272727272727		59.63636363636364		43.81818181818182		44.72727272727273		47.63636363636364		49.45454545454545		51.45454545454545		54.18181818181818		59.09090909090909		63.63636363636364		40.763636363636365		41.09090909090909		42.29090909090909		43.054545454545455		43.054545454545455		43.92727272727273		43.81818181818182		44.72727272727273		41.52727272727273		42.18181818181818		44.58181818181818		46.10909090909091		46.10909090909091		47.85454545454546		47.63636363636364		49.45454545454545		42.29090909090909		43.27272727272727		46.872727272727275		49.163636363636364		49.163636363636364		51.78181818181818		51.45454545454545		54.18181818181818		43.81818181818182		45.45454545454545		51.45454545454545		55.27272727272727		55.27272727272727		59.63636363636364		59.09090909090909		63.63636363636364
2	uu	yy	2	2	2	2			-2	72.9090909090909	-2	84.54545454545455	-2	96.18181818181819							2	100.18181818181819																																																																																																																																
5	Euo	eyO	2	4	2	4	-2	49.63636363636364	-2	70.9090909090909	-2	82.54545454545455	-2	94.18181818181819			2	65.27272727272728	2	76.9090909090909	2	102.18181818181819																																																																																																																																
7	Oey	oeu	2	6	2	6	2	51.63636363636364	2	72.9090909090909	2	84.54545454545455	2	96.18181818181819					-2	74.9090909090909	-2	100.18181818181819																																													-2	53.27272727272727	-2	57.63636363636364													-2	57.09090909090909	-2	61.63636363636364																																									-2	47.163636363636364	-2	49.78181818181818	-2	49.45454545454545	-2	52.18181818181818									-2	53.27272727272727	-2	57.63636363636364	-2	57.09090909090909	-2	61.63636363636364
9	ooo	OOO	2	8	2	8	-2	49.63636363636364	-2	70.9090909090909	-2	82.54545454545455	-2	94.18181818181819					2	76.9090909090909	2	102.18181818181819																																																																																																																																
11	OiA	oia	2	10	2	10	2	51.63636363636364	2	72.9090909090909	2	84.54545454545455	2	96.18181818181819					-2	74.9090909090909	-2	100.18181818181819																																																													-2	55.09090909090909	-2	59.63636363636364																																													-2	47.45454545454545	-2	50.18181818181818													-2	55.09090909090909	-2	59.63636363636364
12	AiA	aia	2	12	2	12			2	74.9090909090909	2	86.54545454545455	2	98.18181818181819							-2	98.18181818181819																																																													-2	53.09090909090909	-2	57.63636363636364																																																													-2	53.09090909090909	-2	57.63636363636364
13	aIE	Aie	2	14	2	14			-2	72.9090909090909	-2	84.54545454545455	-2	96.18181818181819	2	53.63636363636364	2	67.27272727272728	2	76.9090909090909	2	100.18181818181819																																																																																																																																
14	oEo	oeo			2	16					-2	82.54545454545455	-2	94.18181818181819			2	69.27272727272728	2	78.9090909090909	2	102.18181818181819																																									-2	47.163636363636364	-2	49.78181818181818	-2	51.27272727272727	-2	55.63636363636364									-2	49.45454545454545	-2	52.18181818181818	-2	51.09090909090909	-2	55.63636363636364																																									-2	45.163636363636364	-2	47.78181818181818	-2	45.45454545454545	-2	48.18181818181818									-2	51.27272727272727	-2	55.63636363636364	-2	51.09090909090909	-2	55.63636363636364
16	Oe	oe	2	16	2	18	2	53.63636363636364	2	74.9090909090909	2	84.54545454545455	2	96.18181818181819					-2	76.9090909090909	-2	100.18181818181819																																																																																																									-2	43.163636363636364	-2	45.78181818181818	-2	43.45454545454545	-2	46.18181818181818									-2	49.27272727272727	-2	53.63636363636364	-2	49.09090909090909	-2	53.63636363636364
