trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		57.45454545454545		92.36363636363636		109.81818181818181		127.27272727272728		57.45454545454545		74.9090909090909		92.36363636363636		127.27272727272728		41.14545454545455		41.63636363636363		42.29090909090909		43.27272727272727		43.43636363636364		44.90909090909091		45.72727272727273		48.18181818181818		43.43636363636364		44.58181818181818		46.872727272727275		49.163636363636364		50.309090909090905		53.74545454545455		57.18181818181818		62.90909090909091		44.58181818181818		45.89090909090909		49.163636363636364		51.78181818181818		53.74545454545455		57.67272727272727		62.90909090909091		69.45454545454545		45.72727272727273		47.09090909090909		51.45454545454545		54.18181818181818		57.18181818181818		61.272727272727266		68.63636363636364		75.45454545454545		41.14545454545455		41.63636363636363		43.43636363636364		44.58181818181818		44.58181818181818		45.89090909090909		45.72727272727273		47.09090909090909		42.29090909090909		43.27272727272727		46.872727272727275		49.163636363636364		49.163636363636364		51.78181818181818		51.45454545454545		54.18181818181818		43.43636363636364		44.90909090909091		50.309090909090905		53.74545454545455		53.74545454545455		57.67272727272727		57.18181818181818		61.272727272727266		45.72727272727273		48.18181818181818		57.18181818181818		62.90909090909091		62.90909090909091		69.45454545454545		68.63636363636364		75.45454545454545
1	oEu	Oey	2	2	2	2	-2	55.45454545454545	-2	90.36363636363636	-2	107.81818181818181	-2	125.27272727272728			2	76.9090909090909	2	94.36363636363636	2	129.27272727272728																																																																																																																																
3	oIo	oio			2	4							-2	123.27272727272728	2	59.45454545454545	2	78.9090909090909	2	96.36363636363636	2	131.27272727272728																																																									-2	55.18181818181818	-2	59.272727272727266	-2	66.63636363636364	-2	73.45454545454545																																													-2	55.18181818181818	-2	59.272727272727266													-2	66.63636363636364	-2	73.45454545454545
7	Ayi	aui	2	4	2	6			2	92.36363636363636	2	109.81818181818181	2	125.27272727272728							-2	129.27272727272728																																																																																																																													-2	64.63636363636364	-2	71.45454545454545
8	OOO	ooo	2	6	2	8	2	57.45454545454545	2	94.36363636363636	2	111.81818181818181	2	127.27272727272728					-2	94.36363636363636	-2	127.27272727272728																																																																																																																																
10	EIE	eie	2	8	2	10					-2	109.81818181818181	-2	125.27272727272728	2	61.45454545454545	2	80.9090909090909	2	96.36363636363636	2	129.27272727272728																																																																																																																																
11	iAy	iau			2	12			2	96.36363636363636	2	111.81818181818181	2	127.27272727272728							-2	127.27272727272728																																																													-2	64.63636363636364	-2	71.45454545454545																																																																
12	eei	EEi	2	10	2	14					2	113.81818181818181	2	129.27272727272728			-2	78.9090909090909	-2	94.36363636363636	-2	125.27272727272728																																																																																													-2	49.45454545454545	-2	52.18181818181818													-2	53.18181818181818	-2	57.272727272727266													-2	62.63636363636364	-2	69.45454545454545
13	EIo	eiO	2	12	2	16	-2	55.45454545454545	-2	94.36363636363636	-2	111.81818181818181	-2	127.27272727272728	2	63.45454545454545	2	80.9090909090909	2	96.36363636363636	2	127.27272727272728																																																																																																																																
14	aIu	aiu			2	18							-2	125.27272727272728	2	65.45454545454545	2	82.9090909090909	2	98.36363636363636	2	129.27272727272728																																																													-2	62.63636363636364	-2	69.45454545454545																																																													-2	60.63636363636364	-2	67.45454545454545
