trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		55.66		66.97		90.71000000000001		113.91		50.0		55.37		78.95		127.63		50.0		50.0		50.0		50.0		51.13		52.03		53.35		56.22		50.0		50.0		50.0		50.0		53.27		55.96		60.19		68.69		50.0		50.0		50.0		50.0		56.01		58.9		68.64		77.46000000000001		50.0		50.0		50.0		50.0		58.64		61.24		76.77		85.13		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.97		51.66		52.01		53.04		50.0		50.0		50.0		50.0		53.73		55.36		57.07		59.35		50.0		50.0		50.0		50.0		59.28		62.24		68.41		72.75999999999999
1	yOA	uoa	2	2	2	2	2	57.66	2	68.97	2	92.71000000000001	2	115.91					-2	76.95	-2	125.63																																																																																																																																
2	iyO	iuo			2	4	2	59.66	2	70.97	2	94.71000000000001	2	117.91					-2	74.95	-2	123.63																																																											-2	59.24	-2	74.77	-2	83.13																																																																
3	iey	ieu			2	6			2	72.97	2	96.71000000000001	2	119.91							-2	121.63																																													-2	66.64	-2	75.46000000000001													-2	72.77	-2	81.13																																																																
4	iOi	ioi			2	8	2	61.66	2	74.97	2	98.71000000000001	2	121.91					-2	72.95	-2	119.63																																																									-2	56.64	-2	57.24	-2	70.77	-2	79.13																																													-2	55.07	-2	57.35													-2	66.41	-2	70.75999999999999
6	oau	Oau	2	4	2	10	-2	59.66	-2	72.97	-2	96.71000000000001	-2	119.91					2	74.95	2	121.63													-2	51.35	-2	54.22													-2	58.19	-2	66.69													-2	64.64	-2	73.46000000000001													-2	68.77	-2	77.13																																																																
7	EIE	eie	2	6	2	12					-2	94.71000000000001	-2	117.91	2	52.0	2	57.37	2	76.95	2	123.63																																																																																																																																
8	OA	Oa			2	14			2	74.97	2	96.71000000000001	2	119.91							-2	121.63													-2	49.35	-2	52.22													-2	56.19	-2	64.69													-2	62.64	-2	71.46000000000001													-2	66.77	-2	75.13																																																																
9	OiO	oio	2	8	2	16	2	61.66	2	76.97	2	98.71000000000001	2	121.91					-2	74.95	-2	119.63																																																									-2	54.64	-2	55.24	-2	64.77	-2	73.13																																													-2	53.07	-2	55.35													-2	64.41	-2	68.75999999999999
10	uEo	yeo	2	10	2	18			-2	74.97	-2	96.71000000000001	-2	119.91			2	59.37	2	76.95	2	121.63																											-2	53.96			-2	62.69									-2	54.01	-2	56.9	-2	60.64	-2	69.46000000000001									-2	52.64	-2	53.24	-2	62.769999999999996	-2	71.13																																																																
11	AO	Ao			2	20	2	63.66	2	76.97	2	98.71000000000001	2	121.91					-2	74.95	-2	119.63																									-2	51.27	-2	51.96	-2	54.19	-2	60.69									-2	52.01	-2	54.9	-2	58.64	-2	67.46000000000001									-2	50.64	-2	51.24	-2	60.769999999999996	-2	69.13																																																																
13	Oii	oii	2	12	2	22	2	65.66	2	78.97	2	100.71000000000001	2	123.91					-2	72.95	-2	117.63																																																																																																													-2	51.07	-2	53.35													-2	62.41	-2	66.75999999999999
15	uEI	uei			2	24					-2	98.71000000000001	-2	121.91	2	54.0	2	61.37	2	74.95	2	119.63																																																																																																																									-2	57.28	-2	60.24	-2	60.41	-2	64.75999999999999
16	uIa	yia	2	14	2	26			-2	76.97	-2	96.71000000000001	-2	119.91	2	56.0	2	63.37	2	76.95	2	121.63																															-2	58.69															-2	65.46000000000001													-2	58.769999999999996	-2	67.13																																																																
17	Aii	aii	2	16	2	28			2	78.97	2	98.71000000000001	2	121.91							-2	119.63																																																																																																																													-2	58.41	-2	62.75999999999999
