trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		62.8		89.45		102.31		128.91		54.56		69.14		83.47999999999999		112.87		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		51.8		52.42		53.5		54.71		57.1		59.58		50.0		50.0		50.0		50.0		50.0		50.0		50.82		51.35		50.0		50.0		50.0		50.0		50.0		50.0		52.5		53.6		50.0		50.0		50.0		50.0		50.0		50.0		54.31		55.88		50.0		50.0		50.0		50.0		50.0		50.0		57.86		60.75
2	IuE	iuE	1.4285714285714286	1.4285714285714286	1.4285714285714286	1.4285714285714286							-2	126.91	1.4285714285714286	55.98857142857143	1.4285714285714286	70.56857142857143	1.4285714285714286	84.90857142857142	1.4285714285714286	114.29857142857144																																																							-2	50.42			-2	52.71	-2	55.1	-2	57.58																																																																
3	uuu	yyy	1.5	2.928571428571429	1.5	2.928571428571429			-2	87.45	-2	100.31	-2	124.91							1.5	115.79857142857144																																																																																																																																
4	Eaa	eAA	1.0	3.928571428571429	1.0	3.928571428571429			-2	85.45	-2	98.31	-2	122.91			1.0	71.56857142857143	1.0	85.90857142857142	1.0	116.79857142857144																																																																																																																																
5	Eu	ey	1.0	4.928571428571429	1.0	4.928571428571429			-2	83.45	-2	96.31	-2	120.91			1.0	72.56857142857143	1.0	86.90857142857142	1.0	117.79857142857144																																																																																																																																
7	IaE	iAe	0.8571428571428571	5.785714285714286	0.8571428571428571	5.785714285714286			-2	81.45	-2	94.31	-2	118.91	0.8571428571428571	56.84571428571429	0.8571428571428571	73.42571428571429	0.8571428571428571	87.76571428571428	0.8571428571428571	118.6557142857143																																																																																																																																
11	aIE	Aie	0.8571428571428571	6.642857142857142	0.8571428571428571	6.642857142857142			-2	79.45	-2	92.31	-2	116.91	0.8571428571428571	57.70285714285714	0.8571428571428571	74.28285714285715	0.8571428571428571	88.62285714285714	0.8571428571428571	119.51285714285716																																																																																																																																
12	yAy	uau	0.3333333333333333	6.976190476190475	0.3333333333333333	6.976190476190475			0.3333333333333333	79.78333333333333	0.3333333333333333	92.64333333333333	0.3333333333333333	117.24333333333333							-2	117.51285714285716																																																																																																																																
14	IEa	ieA	0.8571428571428571	7.833333333333332	0.8571428571428571	7.833333333333332			-2	77.78333333333333	-2	90.64333333333333	-2	115.24333333333333	0.8571428571428571	58.559999999999995	0.8571428571428571	75.14000000000001	0.8571428571428571	89.48	0.8571428571428571	118.37000000000002																																																																																																																																
15	ye	uE	1.0	8.833333333333332	1.0	8.833333333333332			1.0	78.78333333333333	1.0	91.64333333333333	1.0	116.24333333333333			-2	73.14000000000001	-2	87.48	-2	116.37000000000002																																																																																																																																
