trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		55.63		66.93		90.89		114.52		50.0		55.34		78.91		126.91		50.0		50.0		50.0		50.0		50.99		51.82		53.33		56.08		50.0		50.0		50.0		50.0		53.25		55.91		60.07		68.39		50.0		50.0		50.0		50.0		56.07		58.91		68.57		77.06		50.0		50.0		50.0		50.0		58.63		61.32		76.76		84.62		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		51.11		51.68		52.16		52.93		50.0		50.0		50.0		50.0		53.84		55.21		57.66		59.61		50.0		50.0		50.0		50.0		59.61		62.68		69.16		73.68
1	AOi	aoi	2.0	2.0	0	0	2.0	57.63	2.0	68.93	2.0	92.89	2.0	116.52					-2	76.91	-2	124.91																																																																																																													-2	55.66	-2	57.61													-2	67.16	-2	71.68
2	yAe	uae	2.0	4.0	0	0			2.0	70.93	2.0	94.89	2.0	118.52							-2	122.91																																																																																																																									-2	57.61	-2	60.68	-2	65.16	-2	69.68
3	Oiy	Oiu			2.4	2.4			2.4	73.33000000000001	2.4	97.29	2.4	120.92							-2	120.91															-2	54.08															-2	66.39															-2	75.06													-2	74.76	-2	82.62																																																																
4	EIo	Eio			3.6666666666666665	6.066666666666666							-2	118.92	3.6666666666666665	53.666666666666664	3.6666666666666665	59.00666666666667	3.6666666666666665	80.57666666666667	3.6666666666666665	124.57666666666667																																																									-2	56.63	-2	59.32	-2	72.76	-2	80.62																													-2	50.16	-2	50.93													-2	53.66	-2	55.61													-2	63.16	-2	67.68
5	iiA	iia			1.2	7.266666666666667			1.2	74.53000000000002	1.2	98.49000000000001	1.2	120.12							-2	122.57666666666667																																																													-2	70.76	-2	78.62																																																																
6	Ay	Au			2.8	10.066666666666666			2.8	77.33000000000001	2.8	101.29	2.8	122.92							-2	120.57666666666667																													-2	58.07	-2	64.39													-2	66.57	-2	73.06													-2	68.76	-2	76.62																																																																
7	eO	Eo	1.0	5.0	0	10.066666666666666	1.0	58.63	1.0	78.33000000000001	1.0	102.29	1.0	123.92			-2	57.00666666666667	-2	78.57666666666667	-2	118.57666666666667																																																																																																																																
8	aIu	Aiu	2.3333333333333335	7.333333333333334	0	10.066666666666666			-2	76.33000000000001	-2	100.29	-2	121.92	2.3333333333333335	56.0	2.3333333333333335	59.34	2.3333333333333335	80.91	2.3333333333333335	120.91																															-2	62.39															-2	71.06													-2	66.76	-2	74.62																																																																
9	OOe	ooe	3.3333333333333335	10.666666666666668	0	10.066666666666666	3.3333333333333335	61.96333333333334	3.3333333333333335	79.66333333333334	3.3333333333333335	103.62333333333333	3.3333333333333335	125.25333333333333					-2	78.91	-2	118.91																																																																																																									-2	51.84	-2	53.21	-2	51.66	-2	53.61									-2	55.61	-2	58.68	-2	61.16	-2	65.68
