trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		63.14		90.9		103.96		130.85		54.47		68.50999999999999		82.88		111.61		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		51.91		52.47		53.83		55.15		57.35		59.97		50.0		50.0		50.0		50.0		50.0		50.0		50.99		51.56		50.0		50.0		50.0		50.0		50.0		50.0		52.75		53.92		50.0		50.0		50.0		50.0		50.0		50.0		54.43		56.230000000000004		50.0		50.0		50.0		50.0		50.0		50.0		58.08		61.04
0	Apriori	Id(Bk)Syl1>>Id(Bk)	20	20																																																																																																																																																		
1	IaI	iai	1.6666666666666667	21.666666666666668	0	0							-2	128.85	1.6666666666666667	56.13666666666666	1.6666666666666667	70.17666666666666	1.6666666666666667	84.54666666666667	1.6666666666666667	113.27666666666667																																																													-2	55.35	-2	57.97																																																													-2	56.08	-2	59.04
4	uuo	yyO	2.0	23.666666666666668	0	0	-2	61.14	-2	88.9	-2	101.96	-2	126.85					2.0	86.54666666666667	2.0	115.27666666666667																																																																																																																																
5	Iuo	iuo	1.3333333333333333	25.0	0	0							-2	124.85	1.3333333333333333	57.47	1.3333333333333333	71.50999999999999	1.3333333333333333	87.88	1.3333333333333333	116.61																																																											-2	53.15	-2	53.35	-2	55.97																																																																
6	aaI	aai			1.0	1.0							-2	122.85	1.0	58.47	1.0	72.50999999999999	1.0	88.88	1.0	117.61																																																																																																																													-2	54.08	-2	57.04
7	uuI	uui			1.0	2.0							-2	120.85	1.0	59.47	1.0	73.50999999999999	1.0	89.88	1.0	118.61																																																																																																																													-2	52.08	-2	55.04
8	aau	AAy	2.0	27.0	0	2.0			-2	86.9	-2	99.96	-2	118.85							2.0	120.61																																																																																																																																
9	yie	uiE	4.4	31.4	0	2.0			4.4	91.30000000000001	4.4	104.36	4.4	123.25			-2	71.50999999999999	-2	87.88	-2	118.61																																																					-2	49.91	-2	50.47	-2	51.83	-2	51.15	-2	51.35	-2	53.97																																																													-2	50.08	-2	53.04
10	IEu	iey	1.0	32.4	0	2.0			-2	89.30000000000001	-2	102.36	-2	121.25	1.0	60.47	1.0	72.50999999999999	1.0	88.88	1.0	119.61																																																																																																																																
14	iOO	Ioo	1.3333333333333333	33.733333333333334	0	2.0	1.3333333333333333	62.473333333333336	1.3333333333333333	90.63333333333334	1.3333333333333333	103.69333333333333	1.3333333333333333	122.58333333333333	-2	58.47	-2	70.50999999999999	-2	86.88	-2	117.61																																																																																																																																
15	EIa	Eia			3.0	5.0							-2	120.58333333333333	3.0	61.47	3.0	73.50999999999999	3.0	89.88	3.0	120.61																																																													-2	49.35	-2	51.97																													-2	50.75	-2	51.92													-2	52.43	-2	54.230000000000004													-2	48.08	-2	51.04
16	iAA	Iaa	1.6	35.333333333333336	0	5.0			1.6	92.23333333333333	1.6	105.29333333333332	1.6	122.18333333333332	-2	59.47	-2	71.50999999999999	-2	87.88	-2	118.61																																																																																																																																
17	iyy	Iuu	1.6	36.93333333333334	0	5.0			1.6	93.83333333333333	1.6	106.89333333333332	1.6	123.78333333333332	-2	57.47	-2	69.50999999999999	-2	85.88	-2	116.61																																																																																																																																
19	oII	Oii	1.3333333333333333	38.26666666666667	0	5.0	-2	60.473333333333336	-2	91.83333333333333	-2	104.89333333333332	-2	121.78333333333332	1.3333333333333333	58.803333333333335	1.3333333333333333	70.84333333333332	1.3333333333333333	87.21333333333332	1.3333333333333333	117.94333333333333																																																																																																																																
20	Iuu	iuu	1.0	39.26666666666667	0	5.0							-2	119.78333333333332	1.0	59.803333333333335	1.0	71.84333333333332	1.0	88.21333333333332	1.0	118.94333333333333																																																													-2	47.35	-2	49.97																																																																
21	IEa	iEa	2.3333333333333335	41.60000000000001	0	5.0							-2	117.78333333333332	2.3333333333333335	62.13666666666667	2.3333333333333335	74.17666666666665	2.3333333333333335	90.54666666666665	2.3333333333333335	121.27666666666666																																																					-2	47.91	-2	48.47	-2	49.83	-2	49.15	-2	45.35	-2	47.97																																																																
22	eyO	Euo	1.0	42.60000000000001	0	5.0	1.0	61.473333333333336	1.0	92.83333333333333	1.0	105.89333333333332	1.0	118.78333333333332			-2	72.17666666666665	-2	88.54666666666665	-2	119.27666666666666																																																																																																																																
24	OiA	oia	2.6666666666666665	45.26666666666667	0	5.0	2.6666666666666665	64.14	2.6666666666666665	95.5	2.6666666666666665	108.55999999999999	2.6666666666666665	121.44999999999999					-2	86.54666666666665	-2	117.27666666666666																																																													-2	43.35	-2	45.97																																													-2	50.43	-2	52.230000000000004													-2	46.08	-2	49.04
25	Iau	iAy	1.0	46.26666666666667	0	5.0			-2	93.5	-2	106.55999999999999	-2	119.44999999999999	1.0	63.13666666666667	1.0	73.17666666666665	1.0	87.54666666666665	1.0	118.27666666666666																																																																																																																																
26	IIu	iiu	1.0	47.26666666666667	0	5.0							-2	117.44999999999999	1.0	64.13666666666667	1.0	74.17666666666665	1.0	88.54666666666665	1.0	119.27666666666666																																																													-2	41.35	-2	43.97																																																																
27	oo	OO	2.0	49.26666666666667	0	5.0	-2	62.14	-2	91.5	-2	104.55999999999999	-2	115.44999999999999					2.0	90.54666666666665	2.0	121.27666666666666																																																																																																																																
28	OAy	oau	0.6666666666666666	49.93333333333334	0	5.0	0.6666666666666666	62.806666666666665	0.6666666666666666	92.16666666666667	0.6666666666666666	105.22666666666666	0.6666666666666666	116.11666666666666					-2	88.54666666666665	-2	119.27666666666666																																																																																																																																
29	iOO	ioo			2.0	7.0	2.0	64.80666666666667	2.0	94.16666666666667	2.0	107.22666666666666	2.0	118.11666666666666					-2	86.54666666666665	-2	117.27666666666666																																																									-2	47.83	-2	47.15	-2	39.35	-2	41.97																																																																
30	IEa	ieA	1.0	50.93333333333334	0	7.0			-2	92.16666666666667	-2	105.22666666666666	-2	116.11666666666666	1.0	65.13666666666667	1.0	75.17666666666665	1.0	87.54666666666665	1.0	118.27666666666666																																																																																																																																
31	AOe	aoE	1.0	51.93333333333334	0	7.0	1.0	65.80666666666667	1.0	93.16666666666667	1.0	106.22666666666666	1.0	117.11666666666666			-2	73.17666666666665	-2	85.54666666666665	-2	116.27666666666666																																																																																																																																
32	Aii	aii	1.2	53.13333333333334	0	7.0			1.2	94.36666666666667	1.2	107.42666666666666	1.2	118.31666666666666							-2	114.27666666666666																																																																																																																													-2	44.08	-2	47.04
34	Ioa	iOA	1.3333333333333333	54.466666666666676	0	7.0	-2	63.80666666666667	-2	92.36666666666667	-2	105.42666666666666	-2	116.31666666666666	1.3333333333333333	66.47	1.3333333333333333	74.50999999999998	1.3333333333333333	86.87999999999998	1.3333333333333333	115.60999999999999																																																																																																																																
37	Ioo	iOO	1.3333333333333333	55.80000000000001	0	7.0	-2	61.80666666666667	-2	90.36666666666667	-2	103.42666666666666	-2	114.31666666666666	1.3333333333333333	67.80333333333333	1.3333333333333333	75.8433333333333	1.3333333333333333	88.21333333333331	1.3333333333333333	116.94333333333331																																																																																																																																
38	Aye	auE	1.2	57.000000000000014	0	7.0			1.2	91.56666666666668	1.2	104.62666666666667	1.2	115.51666666666667			-2	73.8433333333333	-2	86.21333333333331	-2	114.94333333333331																																																																																																																																
39	uaI	yAi	1.0	58.000000000000014	0	7.0			-2	89.56666666666668	-2	102.62666666666667	-2	113.51666666666667	1.0	68.80333333333333	1.0	74.8433333333333	1.0	87.21333333333331	1.0	115.94333333333331																																																																																																																																
40	AAy	aau	0.4	58.40000000000001	0	7.0			0.4	89.96666666666668	0.4	103.02666666666667	0.4	113.91666666666667							-2	113.94333333333331																																																																																																																																
43	aEI	Aei	1.0	59.40000000000001	0	7.0			-2	87.96666666666668	-2	101.02666666666667	-2	111.91666666666667	1.0	69.80333333333333	1.0	75.8433333333333	1.0	88.21333333333331	1.0	114.94333333333331																																																																																																																																
