trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		71.81818181818181		115.45454545454545		137.27272727272725		159.0909090909091		71.81818181818181		93.63636363636363		115.45454545454545		159.0909090909091		51.43181818181818		52.04545454545455		52.86363636363637		54.09090909090909		54.29545454545455		56.13636363636364		57.15909090909091		60.22727272727273		54.29545454545455		55.72727272727273		58.59090909090909		61.45454545454545		62.88636363636363		67.18181818181819		71.47727272727272		78.63636363636364		55.72727272727273		57.36363636363636		61.45454545454545		64.72727272727272		67.18181818181819		72.0909090909091		78.63636363636364		86.81818181818181		57.15909090909091		58.86363636363636		64.31818181818181		67.72727272727272		71.47727272727272		76.5909090909091		85.79545454545455		94.31818181818181		51.43181818181818		52.04545454545455		54.29545454545455		55.72727272727273		55.72727272727273		57.36363636363636		57.15909090909091		58.86363636363636		52.86363636363637		54.09090909090909		58.59090909090909		61.45454545454545		61.45454545454545		64.72727272727272		64.31818181818181		67.72727272727272		54.29545454545455		56.13636363636364		62.88636363636363		67.18181818181819		67.18181818181819		72.0909090909091		71.47727272727272		76.5909090909091		57.15909090909091		60.22727272727273		71.47727272727272		78.63636363636364		78.63636363636364		86.81818181818181		85.79545454545455		94.31818181818181
2	aaa	AAA	2	2	2	2			-2	113.45454545454545	-2	135.27272727272725	-2	157.0909090909091							2	161.0909090909091																																																																																																																																
3	iyy	iuu			2	4			2	115.45454545454545	2	137.27272727272725	2	159.0909090909091							-2	159.0909090909091																																																													-2	83.79545454545455	-2	92.31818181818181																																																																
4	oaI	OAi	2	4	2	6	-2	69.81818181818181	-2	113.45454545454545	-2	135.27272727272725	-2	157.0909090909091	2	73.81818181818181	2	95.63636363636363	2	117.45454545454545	2	161.0909090909091																																																																																																																																
5	OOO	ooo	2	6	2	8	2	71.81818181818181	2	115.45454545454545	2	137.27272727272725	2	159.0909090909091					-2	115.45454545454545	-2	159.0909090909091																																																																																																																																
6	oII	oii			2	10							-2	157.0909090909091	2	75.81818181818181	2	97.63636363636363	2	117.45454545454545	2	161.0909090909091																																																																																																													-2	69.47727272727272	-2	74.5909090909091													-2	83.79545454545455	-2	92.31818181818181
9	AiO	aio	2	8	2	12	2	73.81818181818181	2	117.45454545454545	2	139.27272727272725	2	159.0909090909091					-2	115.45454545454545	-2	159.0909090909091																																																									-2	69.47727272727272	-2	74.5909090909091	-2	81.79545454545455	-2	90.31818181818181																																																													-2	81.79545454545455	-2	90.31818181818181
10	aoI	AOi	2	10	2	14	-2	71.81818181818181	-2	115.45454545454545	-2	137.27272727272725	-2	157.0909090909091	2	77.81818181818181	2	99.63636363636363	2	117.45454545454545	2	161.0909090909091																																																																																																																																
11	eA	ea			2	16			2	117.45454545454545	2	139.27272727272725	2	159.0909090909091							-2	159.0909090909091																																													-2	76.63636363636364	-2	84.81818181818181													-2	79.79545454545455	-2	88.31818181818181																																																																
12	EE	ee	2	12	2	18					-2	137.27272727272725	-2	157.0909090909091			2	101.63636363636363	2	119.45454545454545	2	161.0909090909091																																																																																																																																
