trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		78.72		138.72		191.48000000000002		246.5		50.0		50.0		78.98		136.54		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		53.88		55.1		61.2		65.12		50.0		50.0		50.0		50.0		57.76		59.72		72.78		78.96000000000001		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		53.6		54.94		57.46		59.4		50.0		50.0		50.0		50.0		61.08		64.76		72.9		78.82
1	aEu	Aey	2	2	2	2			-2	136.72	-2	189.48000000000002	-2	244.5			2	52.0	2	80.98	2	138.54																																																																																																																																
2	Iao	iao	2	4	2	4							-2	242.5	2	52.0	2	54.0	2	82.98	2	140.54																																																											-2	57.72	-2	70.78	-2	76.96000000000001																																																																
3	IaI	iai	2	6	2	6							-2	240.5	2	54.0	2	56.0	2	84.98	2	142.54																																																													-2	68.78	-2	74.96000000000001																																																													-2	70.9	-2	76.82
4	Eo	eo	2	8	2	8					-2	187.48000000000002	-2	238.5			2	58.0	2	86.98	2	144.54																																									-2	51.88	-2	53.1	-2	59.2	-2	63.120000000000005									-2	55.76	-2	55.72	-2	66.78	-2	72.96000000000001																																																																
5	uau	yAy	2	10	2	10			-2	134.72	-2	185.48000000000002	-2	236.5							2	146.54																																																																																																																																
6	aEo	AeO	2	12	2	12	-2	76.72	-2	132.72	-2	183.48000000000002	-2	234.5			2	60.0	2	88.98	2	148.54																																																																																																																																
7	uIu	yiy	2	14	2	14			-2	130.72	-2	181.48000000000002	-2	232.5	2	56.0	2	62.0	2	90.98	2	150.54																																																																																																																																
8	IoE	iOe	2	16	2	16	-2	74.72	-2	128.72	-2	179.48000000000002	-2	230.5	2	58.0	2	64.0	2	92.98	2	152.54																																																																																																																																
9	oIa	OiA	2	18	2	18	-2	72.72	-2	126.72	-2	177.48000000000002	-2	228.5	2	60.0	2	66.0	2	94.98	2	154.54																																																																																																																																
10	Eu	eu	2	20	2	20					-2	175.48000000000002	-2	226.5			2	68.0	2	96.98	2	156.54																																													-2	57.2	-2	61.120000000000005													-2	64.78	-2	70.96000000000001																																																																
11	uIu	yiy	2	22	2	22			-2	124.72	-2	173.48000000000002	-2	224.5	2	62.0	2	70.0	2	98.98	2	158.54																																																																																																																																
13	aaE	AAe	2	24	2	24			-2	122.72	-2	171.48000000000002	-2	222.5			2	72.0	2	100.98	2	160.54																																																																																																																																
15	oo	OO	2	26	2	26	-2	70.72	-2	120.72	-2	169.48000000000002	-2	220.5					2	102.98	2	162.54																																																																																																																																
16	oaE	OAe	2	28	2	28	-2	68.72	-2	118.72	-2	167.48000000000002	-2	218.5			2	74.0	2	104.98	2	164.54																																																																																																																																
17	Eao	eAO	2	30	2	30	-2	66.72	-2	116.72	-2	165.48000000000002	-2	216.5			2	76.0	2	106.98	2	166.54																																																																																																																																
18	Iu	iu	2	32	2	32							-2	214.5	2	64.0	2	78.0	2	108.98	2	168.54																																																													-2	62.78	-2	68.96000000000001																																																																
19	oIa	oia			2	34							-2	212.5	2	66.0	2	80.0	2	110.98	2	170.54																																																													-2	60.78	-2	66.96000000000001																																													-2	55.46	-2	57.4													-2	68.9	-2	74.82
20	oEo	OeO	2	34	2	36	-2	64.72	-2	114.72	-2	163.48000000000002	-2	210.5			2	82.0	2	112.98	2	172.54																																																																																																																																
21	IIu	iiu	2	36	2	38							-2	208.5	2	68.0	2	84.0	2	114.98	2	174.54																																																													-2	58.78	-2	64.96000000000001																																																																
22	EEu	eeu	2	38	2	40					-2	161.48000000000002	-2	206.5			2	86.0	2	116.98	2	176.54																																													-2	55.2	-2	59.120000000000005													-2	56.78	-2	62.96000000000001																																																																
23	uau	yAy	2	40	2	42			-2	112.72	-2	159.48000000000002	-2	204.5							2	178.54																																																																																																																																
24	ouo	OyO	2	42	2	44	-2	62.72	-2	110.72	-2	157.48000000000002	-2	202.5					2	118.98	2	180.54																																																																																																																																
25	oa	OA	2	44	2	46	-2	60.72	-2	108.72	-2	155.48000000000002	-2	200.5					2	120.98	2	182.54																																																																																																																																
26	auE	aue			2	48					-2	153.48000000000002	-2	198.5			2	88.0	2	122.98	2	184.54																																																																																																																									-2	59.08	-2	62.760000000000005	-2	66.9	-2	72.82
27	oIa	oia			2	50							-2	196.5	2	70.0	2	90.0	2	124.98	2	186.54																																																													-2	54.78	-2	60.96000000000001																																													-2	53.46	-2	55.4													-2	64.9	-2	70.82
28	uEo	ueo			2	52					-2	151.48000000000002	-2	194.5			2	92.0	2	126.98	2	188.54																																									-2	49.88	-2	51.1	-2	53.2	-2	57.120000000000005									-2	53.76	-2	53.72	-2	52.78	-2	58.96000000000001																																																									-2	57.08	-2	60.760000000000005	-2	62.900000000000006	-2	68.82
29	uIa	uia			2	54							-2	192.5	2	72.0	2	94.0	2	128.98000000000002	2	190.54																																																													-2	50.78	-2	56.96000000000001																																																													-2	60.900000000000006	-2	66.82
31	oEI	Oei	2	46	2	56	-2	58.72	-2	106.72	-2	149.48000000000002	-2	190.5	2	74.0	2	96.0	2	130.98000000000002	2	192.54																																																																																																																																
32	oEu	Oey	2	48	2	58	-2	56.72	-2	104.72	-2	147.48000000000002	-2	188.5			2	98.0	2	132.98000000000002	2	194.54																																																																																																																																
35	yiA	uia	2	50	2	60			2	106.72	2	149.48000000000002	2	190.5							-2	192.54																																																													-2	48.78	-2	54.96000000000001																																																													-2	58.900000000000006	-2	64.82
36	uEu	ueu			2	62					-2	147.48000000000002	-2	188.5			2	100.0	2	134.98000000000002	2	194.54																																													-2	51.2	-2	55.120000000000005													-2	46.78	-2	52.96000000000001																																																									-2	55.08	-2	58.760000000000005	-2	56.900000000000006	-2	62.81999999999999
38	iAy	iau			2	64			2	108.72	2	149.48000000000002	2	190.5							-2	192.54																																																													-2	44.78	-2	50.96000000000001																																																																
