trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		80.03999999999999		140.18		194.28		247.4		50.0		50.0		79.18		136.42000000000002		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		53.64		55.22		61.24		65.3		50.0		50.0		50.0		50.0		57.36		59.62		72.6		78.68		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		53.82		55.46		57.56		59.86		50.0		50.0		50.0		50.0		61.24		65.16		72.68		78.44
1	Eao	eao	2	2	0	0					-2	192.28	-2	245.4			2	52.0	2	81.18	2	138.42000000000002																																											-2	53.22	-2	59.24	-2	63.3											-2	57.62	-2	70.6	-2	76.68																																																																
2	uaE	yAe	2	4	0	0			-2	138.18	-2	190.28	-2	243.4			2	54.0	2	83.18	2	140.42000000000002																																																																																																																																
3	uIa	uia			2	2							-2	241.4	2	52.0	2	56.0	2	85.18	2	142.42000000000002																																																													-2	68.6	-2	74.68																																																													-2	70.68	-2	76.44
4	uaa	yAA	2	6	0	2			-2	136.18	-2	188.28	-2	239.4							2	144.42000000000002																																																																																																																																
5	Iuu	iuu	2	8	0	2							-2	237.4	2	54.0	2	58.0	2	87.18	2	146.42000000000002																																																													-2	66.6	-2	72.68																																																																
6	aEu	aeu			2	4					-2	186.28	-2	235.4			2	60.0	2	89.18	2	148.42000000000002																																													-2	57.24	-2	61.3													-2	64.6	-2	70.68																																																									-2	59.24	-2	63.16	-2	68.68	-2	74.44
7	II	ii	2	10	0	4							-2	233.4	2	56.0	2	62.0	2	91.18	2	150.42000000000002																																																																																																																																
8	IaI	iAi	2	12	0	4			-2	134.18	-2	184.28	-2	231.4	2	58.0	2	64.0	2	93.18	2	152.42000000000002																																																																																																																																
9	oEE	Oee	2	14	0	4	-2	78.03999999999999	-2	132.18	-2	182.28	-2	229.4			2	66.0	2	95.18	2	154.42000000000002																																																																																																																																
