trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		75.8		128.14		153.89999999999998		206.68		60.28		88.22		116.82000000000001		175.66		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		53.44		54.74		57.5		60.08		64.54		69.42		50.0		50.0		50.0		50.0		50.0		50.0		51.78		53.2		50.0		50.0		50.0		50.0		50.0		50.0		55.480000000000004		58.019999999999996		50.0		50.0		50.0		50.0		50.0		50.0		59.42		63.16		50.0		50.0		50.0		50.0		50.0		50.0		66.44		72.42
1	IIu	Iiu			2	2							-2	204.68	2	62.28	2	90.22	2	118.82000000000001	2	177.66																																																													-2	62.540000000000006	-2	67.42													-2	49.78	-2	51.2													-2	53.480000000000004	-2	56.019999999999996													-2	57.42	-2	61.16													-2	64.44	-2	70.42
2	IuI	iyi	2	2	0	2			-2	126.13999999999999	-2	151.89999999999998	-2	202.68	2	64.28	2	92.22	2	120.82000000000001	2	179.66																																																																																																																																
4	Eou	eOy	2	4	0	2	-2	73.8	-2	124.13999999999999	-2	149.89999999999998	-2	200.68			2	94.22	2	122.82000000000001	2	181.66																																																																																																																																
5	Io	iO	2	6	0	2	-2	71.8	-2	122.13999999999999	-2	147.89999999999998	-2	198.68	2	66.28	2	96.22	2	124.82000000000001	2	183.66																																																																																																																																
6	IEE	iee	2	8	0	2					-2	145.89999999999998	-2	196.68	2	68.28	2	98.22	2	126.82000000000001	2	185.66																																																																																																																																
7	oEE	Oee	2	10	0	2	-2	69.8	-2	120.13999999999999	-2	143.89999999999998	-2	194.68			2	100.22	2	128.82	2	187.66																																																																																																																																
8	ou	Oy	2	12	0	2	-2	67.8	-2	118.13999999999999	-2	141.89999999999998	-2	192.68					2	130.82	2	189.66																																																																																																																																
9	aa	AA	2	14	0	2			-2	116.13999999999999	-2	139.89999999999998	-2	190.68							2	191.66																																																																																																																																
11	AyO	auo	2	16	0	2	2	69.8	2	118.13999999999999	2	141.89999999999998	2	192.68					-2	128.82	-2	189.66																																																																																																																																
