trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		96.81818181818181		140.45454545454544		162.27272727272725		184.0909090909091		96.81818181818181		118.63636363636363		140.45454545454544		184.0909090909091		76.43181818181819		77.04545454545455		77.86363636363636		79.0909090909091		79.29545454545455		81.13636363636364		82.1590909090909		85.22727272727272		79.29545454545455		80.72727272727273		83.5909090909091		86.45454545454545		87.88636363636364		92.18181818181819		96.47727272727272		103.63636363636364		80.72727272727273		82.36363636363636		86.45454545454545		89.72727272727272		92.18181818181819		97.0909090909091		103.63636363636364		111.81818181818181		82.1590909090909		83.86363636363636		89.31818181818181		92.72727272727272		96.47727272727272		101.5909090909091		110.79545454545455		119.31818181818181		76.43181818181819		77.04545454545455		79.29545454545455		80.72727272727273		80.72727272727273		82.36363636363636		82.1590909090909		83.86363636363636		77.86363636363636		79.0909090909091		83.5909090909091		86.45454545454545		86.45454545454545		89.72727272727272		89.31818181818181		92.72727272727272		79.29545454545455		81.13636363636364		87.88636363636364		92.18181818181819		92.18181818181819		97.0909090909091		96.47727272727272		101.5909090909091		82.1590909090909		85.22727272727272		96.47727272727272		103.63636363636364		103.63636363636364		111.81818181818181		110.79545454545455		119.31818181818181
0	Apriori	Id(Bk)Syl1>>Id(Bk)	20	20																																																																																																																																																		
1	iOi	ioi			0.3333333333333333	0.3333333333333333	0.3333333333333333	97.15151515151514	0.3333333333333333	140.78787878787878	0.3333333333333333	162.6060606060606	0.3333333333333333	184.42424242424244					-2	138.45454545454544	-2	182.0909090909091																																																									-2	94.47727272727272	-2	99.5909090909091	-2	108.79545454545455	-2	117.31818181818181																																													-2	94.47727272727272	-2	99.5909090909091													-2	108.79545454545455	-2	117.31818181818181
1	Apriori	Id(Bk)Syl1>>Id(Bk)	0.33333333333333215	20.333333333333332																																																																																																																																																			
2	yye	uue	0.4	20.73333333333333	0	0.3333333333333333			0.4	141.1878787878788	0.4	163.0060606060606	0.4	184.82424242424244							-2	180.0909090909091																																																																																																																									-2	101.63636363636364	-2	109.81818181818181	-2	106.79545454545455	-2	115.31818181818181
3	IIu	iiu	0.3333333333333333	21.066666666666663	0	0.3333333333333333							-2	182.82424242424244	0.3333333333333333	97.15151515151514	0.3333333333333333	118.96969696969695	0.3333333333333333	138.78787878787878	0.3333333333333333	180.42424242424244																																																													-2	106.79545454545455	-2	115.31818181818181																																																																
4	Ia	ia	0.3333333333333333	21.399999999999995	0	0.3333333333333333							-2	180.82424242424244	0.3333333333333333	97.48484848484847	0.3333333333333333	119.30303030303028	0.3333333333333333	139.12121212121212	0.3333333333333333	180.75757575757578																																																													-2	104.79545454545455	-2	113.31818181818181																																																																
5	oIE	oie			0.3333333333333333	0.6666666666666666					-2	161.0060606060606	-2	178.82424242424244	0.3333333333333333	97.8181818181818	0.3333333333333333	119.63636363636361	0.3333333333333333	139.45454545454547	0.3333333333333333	181.09090909090912																																																																																																											-2	95.0909090909091	-2	92.47727272727272	-2	97.5909090909091											-2	107.81818181818181	-2	104.79545454545455	-2	113.31818181818181
8	Aei	aei	0.4	21.799999999999994	0	0.6666666666666666			0.4	141.5878787878788	0.4	161.4060606060606	0.4	179.22424242424245							-2	179.09090909090912																																																																																																																									-2	99.63636363636364	-2	105.81818181818181	-2	102.79545454545455	-2	111.31818181818181
9	Io	io	0.3333333333333333	22.133333333333326	0	0.6666666666666666							-2	177.22424242424245	0.3333333333333333	98.15151515151513	0.3333333333333333	119.96969696969694	0.3333333333333333	139.7878787878788	0.3333333333333333	179.42424242424246																																																									-2	92.47727272727272	-2	97.5909090909091	-2	102.79545454545455	-2	111.31818181818181																																																																
13	EIu	eiu	0.3333333333333333	22.466666666666658	0	0.6666666666666666					-2	159.4060606060606	-2	175.22424242424245	0.3333333333333333	98.48484848484846	0.3333333333333333	120.30303030303027	0.3333333333333333	140.12121212121215	0.3333333333333333	179.7575757575758																																															-2	109.81818181818181													-2	100.79545454545455	-2	109.31818181818181																																																																
16	yiO	uio	0.3333333333333333	22.79999999999999	0	0.6666666666666666	0.3333333333333333	97.48484848484847	0.3333333333333333	141.92121212121214	0.3333333333333333	159.73939393939395	0.3333333333333333	175.5575757575758					-2	138.12121212121215	-2	177.7575757575758																																																									-2	90.47727272727272	-2	95.5909090909091	-2	98.79545454545455	-2	107.31818181818181																																																													-2	100.79545454545455	-2	109.31818181818181
17	oII	Oii	0.3333333333333333	23.133333333333322	0	0.6666666666666666	-2	95.48484848484847	-2	139.92121212121214	-2	157.73939393939395	-2	173.5575757575758	0.3333333333333333	98.81818181818178	0.3333333333333333	120.6363636363636	0.3333333333333333	138.4545454545455	0.3333333333333333	178.09090909090915																																																																																																																																
18	aIE	aie			0.3333333333333333	1.0					-2	155.73939393939395	-2	171.5575757575758	0.3333333333333333	99.15151515151511	0.3333333333333333	120.96969696969693	0.3333333333333333	138.78787878787884	0.3333333333333333	178.4242424242425																																																																																																																											-2	103.81818181818181	-2	98.79545454545455	-2	107.31818181818181
19	iiA	iia			0.4	1.4			0.4	140.32121212121214	0.4	156.13939393939395	0.4	171.9575757575758							-2	176.4242424242425																																																													-2	96.79545454545455	-2	105.31818181818181																																																																
21	iey	ieu			0.4	1.7999999999999998			0.4	140.72121212121215	0.4	156.53939393939396	0.4	172.3575757575758							-2	174.4242424242425																																													-2	101.63636363636364	-2	107.81818181818181													-2	94.79545454545455	-2	103.31818181818181																																																																
