trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		114.54545454545455		143.63636363636363		158.1818181818182		172.72727272727275		114.54545454545455		129.0909090909091		143.63636363636363		172.72727272727275		100.95454545454545		101.36363636363636		101.9090909090909		102.72727272727273		102.86363636363636		104.0909090909091		104.77272727272728		106.81818181818181		102.86363636363636		103.81818181818181		105.72727272727273		107.63636363636364		108.5909090909091		111.45454545454545		114.31818181818181		119.0909090909091		103.81818181818181		104.9090909090909		107.63636363636364		109.81818181818181		111.45454545454545		114.72727272727273		119.0909090909091		124.54545454545455		104.77272727272728		105.9090909090909		109.54545454545455		111.81818181818181		114.31818181818181		117.72727272727272		123.86363636363636		129.54545454545456		100.95454545454545		101.36363636363636		102.86363636363636		103.81818181818181		103.81818181818181		104.9090909090909		104.77272727272728		105.9090909090909		101.9090909090909		102.72727272727273		105.72727272727273		107.63636363636364		107.63636363636364		109.81818181818181		109.54545454545455		111.81818181818181		102.86363636363636		104.0909090909091		108.5909090909091		111.45454545454545		111.45454545454545		114.72727272727273		114.31818181818181		117.72727272727272		104.77272727272728		106.81818181818181		114.31818181818181		119.0909090909091		119.0909090909091		124.54545454545455		123.86363636363636		129.54545454545456
0	Apriori	Id(Bk)Syl1>>Id(Bk)	20	20																																																																																																																																																		
1	yyy	uuu	0.4	20.4	0	0			0.4	144.03636363636363	0.4	158.5818181818182	0.4	173.12727272727275							-2	170.72727272727275																																																																																																																																
2	IIa	iia	0.3333333333333333	20.73333333333333	0	0							-2	171.12727272727275	0.3333333333333333	114.87878787878788	0.3333333333333333	129.42424242424244	0.3333333333333333	143.96969696969697	0.3333333333333333	171.0606060606061																																																													-2	121.86363636363636	-2	127.54545454545456																																																																
3	EaI	Eai			0.3333333333333333	0.3333333333333333							-2	169.12727272727275	0.3333333333333333	115.2121212121212	0.3333333333333333	129.75757575757578	0.3333333333333333	144.3030303030303	0.3333333333333333	171.39393939393943																																																																																															-2	109.81818181818181															-2	115.72727272727272													-2	121.86363636363636	-2	127.54545454545456
4	AAi	aai	0.4	21.13333333333333	0	0.3333333333333333			0.4	144.43636363636364	0.4	158.9818181818182	0.4	169.52727272727276							-2	169.39393939393943																																																																																																																													-2	119.86363636363636	-2	125.54545454545456
5	Oyi	Oui			0.4	0.7333333333333334			0.4	144.83636363636364	0.4	159.3818181818182	0.4	169.92727272727276							-2	167.39393939393943													-2	102.77272727272728	-2	104.81818181818181													-2	112.31818181818181	-2	117.0909090909091													-2	117.0909090909091	-2	122.54545454545455													-2	119.86363636363636	-2	125.54545454545456																																																													-2	117.86363636363636	-2	123.54545454545456
6	AOi	Aoi			0.3333333333333333	1.0666666666666667	0.3333333333333333	114.87878787878788	0.3333333333333333	145.169696969697	0.3333333333333333	159.71515151515155	0.3333333333333333	170.2606060606061					-2	142.3030303030303	-2	165.39393939393943																									-2	106.5909090909091	-2	109.45454545454545	-2	110.31818181818181	-2	115.0909090909091									-2	109.45454545454545	-2	112.72727272727273	-2	115.0909090909091	-2	120.54545454545455									-2	112.31818181818181	-2	115.72727272727272	-2	117.86363636363636	-2	123.54545454545456																																													-2	112.31818181818181	-2	113.72727272727272													-2	115.86363636363636	-2	121.54545454545456
7	EEE	eee	0.4	21.533333333333328	0	1.0666666666666667					-2	157.71515151515155	-2	168.2606060606061			0.4	130.15757575757578	0.4	142.70303030303032	0.4	165.79393939393944																																																																																																																																
9	auE	Aue	0.4	21.933333333333326	0	1.0666666666666667			-2	143.169696969697	-2	155.71515151515155	-2	166.2606060606061			0.4	130.5575757575758	0.4	143.10303030303032	0.4	166.19393939393944																													-2	108.31818181818181	-2	113.0909090909091													-2	113.0909090909091	-2	118.54545454545455													-2	115.86363636363636	-2	121.54545454545456																																																									-2	117.0909090909091	-2	122.54545454545455	-2	113.86363636363636	-2	119.54545454545456
