trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		114.67		144.69		171.3		198.51		100.0		100.0		114.23		143.34		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		101.81		102.55		105.6		107.7		100.0		100.0		100.0		100.0		103.77		104.88		111.28999999999999		114.3		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		101.83		102.54		103.49		104.45		100.0		100.0		100.0		100.0		105.57		107.52		111.23		114.22
1	oII	oii			2	2							-2	196.51	2	102.0	2	102.0	2	116.23	2	145.34																																																																																																													-2	101.49	-2	102.45													-2	109.23	-2	112.22
5	oaa	OAA	2	2	0	2	-2	112.67	-2	142.69	-2	169.3	-2	194.51					2	118.23	2	147.34																																																																																																																																
6	uEE	uee			2	4					-2	167.3	-2	192.51			2	104.0	2	120.23	2	149.34																																																																																																																									-2	103.57	-2	105.52	-2	107.23	-2	110.22
7	aaI	aai			2	6							-2	190.51	2	104.0	2	106.0	2	122.23	2	151.34																																																																																																																													-2	105.23	-2	108.22
8	EaI	eAi	2	4	0	6			-2	140.69	-2	165.3	-2	188.51	2	106.0	2	108.0	2	124.23	2	153.34																																																																																																																																
10	uE	ye	2	6	0	6			-2	138.69	-2	163.3	-2	186.51			2	110.0	2	126.23	2	155.34																																																																																																																																
11	uE	ue			2	8					-2	161.3	-2	184.51			2	112.0	2	128.23000000000002	2	157.34																																																																																																																									-2	101.57	-2	103.52	-2	103.23	-2	106.22
12	III	iii	2	8	0	8							-2	182.51	2	108.0	2	114.0	2	130.23000000000002	2	159.34																																																																																																																																
13	Iua	iua	2	10	0	8							-2	180.51	2	110.0	2	116.0	2	132.23000000000002	2	161.34																																																													-2	109.28999999999999	-2	112.3																																																																
14	EoI	eoi	2	12	0	8					-2	159.3	-2	178.51	2	112.0	2	118.0	2	134.23000000000002	2	163.34																																									-2	99.81	-2	100.55	-2	103.6	-2	105.7									-2	101.77	-2	102.88	-2	107.28999999999999	-2	110.3																																													-2	99.49	-2	100.45													-2	101.23	-2	104.22
15	uI	yi	2	14	0	8			-2	136.69	-2	157.3	-2	176.51	2	114.0	2	120.0	2	136.23000000000002	2	165.34																																																																																																																																
16	ooI	ooi			2	10							-2	174.51	2	116.0	2	122.0	2	138.23000000000002	2	167.34																																																																																																													-2	97.49	-2	98.45													-2	99.23	-2	102.22
17	aaI	aai			2	12							-2	172.51	2	118.0	2	124.0	2	140.23000000000002	2	169.34																																																																																																																													-2	97.23	-2	100.22
18	Eoa	eoa	2	16	0	12					-2	155.3	-2	170.51			2	126.0	2	142.23000000000002	2	171.34																																									-2	97.81	-2	98.55	-2	101.6	-2	103.7									-2	99.77	-2	100.88	-2	105.28999999999999	-2	108.3																																																																
19	oEI	oei			2	14					-2	153.3	-2	168.51	2	120.0	2	128.0	2	144.23000000000002	2	173.34																																																																																																									-2	99.83	-2	100.54	-2	95.49	-2	96.45									-2	99.57	-2	101.52	-2	95.23	-2	98.22
21	yiO	uio	2	18	0	14	2	114.67	2	138.69	2	155.3	2	170.51					-2	142.23000000000002	-2	171.34																																																									-2	97.77	-2	98.88	-2	103.28999999999999	-2	106.3																																																													-2	93.23	-2	96.22
23	EIu	eiu	2	20	0	14					-2	153.3	-2	168.51	2	122.0	2	130.0	2	144.23000000000002	2	173.34																																															-2	101.7													-2	101.28999999999999	-2	104.3																																																																
25	Oi	oi	2	22	0	14	2	116.67	2	140.69	2	155.3	2	170.51					-2	142.23000000000002	-2	171.34																																																																																																													-2	93.49	-2	94.45													-2	91.23	-2	94.22
26	OAy	oau	2	24	0	14	2	118.67	2	142.69	2	157.3	2	172.51					-2	140.23000000000002	-2	169.34																																																																																																																																
27	oEI	Oei	2	26	0	14	-2	116.67	-2	140.69	-2	155.3	-2	170.51	2	124.0	2	132.0	2	142.23000000000002	2	171.34																																																																																																																																
32	ouI	Oyi	2	28	0	14	-2	114.67	-2	138.69	-2	153.3	-2	168.51	2	126.0	2	134.0	2	144.23000000000002	2	173.34																																																																																																																																
38	Oii	oii	2	30	0	14	2	116.67	2	140.69	2	155.3	2	170.51					-2	142.23000000000002	-2	171.34																																																																																																													-2	91.49	-2	92.45													-2	89.23	-2	92.22
39	eA	ea			2	16			2	142.69	2	157.3	2	172.51							-2	169.34																																													-2	99.6	-2	99.7													-2	99.28999999999999	-2	102.3																																																																
40	EIa	eia	2	32	0	16					-2	155.3	-2	170.51	2	128.0	2	136.0	2	144.23000000000002	2	171.34																																															-2	97.7													-2	97.28999999999999	-2	100.3																																																																
42	yy	uu	2	34	0	16			2	144.69	2	157.3	2	172.51							-2	169.34																																																																																																																																
43	uE	ue			2	18					-2	155.3	-2	170.51			2	138.0	2	146.23000000000002	2	171.34																																																																																																																									-2	97.57	-2	99.52	-2	87.23	-2	90.22
44	OOO	ooo	2	36	0	18	2	118.67	2	146.69	2	157.3	2	172.51					-2	144.23000000000002	-2	169.34																																																																																																																																
45	uIu	uiu			2	20							-2	170.51	2	130.0	2	140.0	2	146.23000000000002	2	171.34																																																													-2	95.28999999999999	-2	98.3																																																													-2	85.23	-2	88.22
46	iey	ieu			2	22			2	148.69	2	159.3	2	172.51							-2	169.34																																													-2	97.6	-2	95.7													-2	93.28999999999999	-2	96.3																																																																
