trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		105.23		116.75		140.56		164.59		100.0		105.68		128.76		177.61		100.0		100.0		100.0		100.0		100.93		101.95		102.98		105.61		100.0		100.0		100.0		100.0		103.42		106.31		110.25		118.75		100.0		100.0		100.0		100.0		105.76		108.81		118.25		127.53		100.0		100.0		100.0		100.0		108.48		111.38		126.71000000000001		135.22		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		101.22		101.84		102.37		103.45		100.0		100.0		100.0		100.0		103.82		105.34		107.61		109.87		100.0		100.0		100.0		100.0		109.65		112.43		119.02		123.33
1	OOA	ooa	2	2	0	0	2	107.23	2	118.75	2	142.56	2	166.59					-2	126.75999999999999	-2	175.61																																																																																																																																
2	OAi	oai	2	4	0	0	2	109.23	2	120.75	2	144.56	2	168.59					-2	124.75999999999999	-2	173.61																																																																																																															-2	107.87													-2	117.02	-2	121.33
3	Oyi	oui	2	6	0	0	2	111.23	2	122.75	2	146.56	2	170.59					-2	122.75999999999999	-2	171.61																																																																																																															-2	105.87													-2	115.02	-2	119.33
4	yyA	uua	2	8	0	0			2	124.75	2	148.56	2	172.59							-2	169.61																																																																																																																																
5	ou	Ou	2	10	0	0	-2	109.23	-2	122.75	-2	146.56	-2	170.59					2	124.75999999999999	2	171.61													-2	100.98	-2	103.61													-2	108.25	-2	116.75													-2	116.25	-2	125.53													-2	124.71000000000001	-2	133.22																																																																
7	EII	Eii			2	2							-2	168.59	2	102.0	2	107.68	2	126.75999999999999	2	173.61																																																																																													-2	100.37	-2	101.45													-2	105.61	-2	103.87													-2	113.02	-2	117.33
9	AAe	Aae			2	4			2	124.75	2	148.56	2	170.59							-2	171.61																													-2	106.25	-2	114.75													-2	114.25	-2	123.53													-2	122.71000000000001	-2	131.22																																																									-2	107.65	-2	110.43	-2	111.02	-2	115.33
10	aau	Aau	2	12	0	4			-2	122.75	-2	146.56	-2	168.59							2	173.61																													-2	104.25	-2	112.75													-2	112.25	-2	121.53													-2	120.71000000000001	-2	129.22																																																																
11	AOi	Aoi			2	6	2	111.23	2	124.75	2	148.56	2	170.59					-2	124.75999999999999	-2	171.61																									-2	101.42	-2	104.31	-2	102.25	-2	110.75									-2	103.76	-2	106.81	-2	110.25	-2	119.53									-2	106.48	-2	109.38	-2	118.71000000000001	-2	127.22																																													-2	103.61	-2	101.87													-2	109.02	-2	113.33
12	yOi	uoi	2	14	0	6	2	113.23	2	126.75	2	150.56	2	172.59					-2	122.75999999999999	-2	169.61																																																																																																													-2	101.61	-2	99.87													-2	107.02	-2	111.33
14	Iua	iua	2	16	0	6							-2	170.59	2	104.0	2	109.68	2	124.75999999999999	2	171.61																																																													-2	116.71000000000001	-2	125.22																																																																
15	ooI	Ooi	2	18	0	6	-2	111.23	-2	124.75	-2	148.56	-2	168.59	2	106.0	2	111.68	2	126.75999999999999	2	173.61									-2	98.93	-2	99.95	-2	98.98	-2	101.61									-2	99.42	-2	102.31	-2	100.25	-2	108.75									-2	101.76	-2	104.81	-2	108.25	-2	117.53									-2	104.48	-2	107.38	-2	114.71000000000001	-2	123.22																																													-2	99.61	-2	97.87													-2	105.02	-2	109.33
16	AA	aa	2	20	0	6			2	126.75	2	150.56	2	170.59							-2	171.61																																																																																																																																
17	OAe	oae	2	22	0	6	2	113.23	2	128.75	2	152.56	2	172.59					-2	124.75999999999999	-2	169.61																																																																																																											-2	103.34			-2	95.87									-2	105.65	-2	108.43	-2	103.02	-2	107.33
18	oIu	oiu			2	8							-2	170.59	2	108.0	2	113.68	2	126.75999999999999	2	171.61																																																													-2	112.71000000000001	-2	121.22																																													-2	97.61	-2	93.87													-2	101.02	-2	105.33
