trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		105.44		116.58		140.06		164.1		100.0		105.43		128.94		177.10000000000002		100.0		100.0		100.0		100.0		101.09		101.91		103.09		105.82		100.0		100.0		100.0		100.0		103.31		106.11		109.71000000000001		117.94		100.0		100.0		100.0		100.0		106.19		109.23		117.98		126.86		100.0		100.0		100.0		100.0		108.75		111.66		126.38		134.43		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		101.1		101.87		102.03		103.17		100.0		100.0		100.0		100.0		103.79		105.31		107.47		109.73		100.0		100.0		100.0		100.0		109.28999999999999		112.28		118.83		123.53
1	yiO	uio	2.2857142857142856	2.2857142857142856	2.2857142857142856	2.2857142857142856	2.2857142857142856	107.72571428571429	2.2857142857142856	118.86571428571429	2.2857142857142856	142.34571428571428	2.2857142857142856	166.38571428571427					-2	126.94	-2	175.10000000000002																																																									-2	106.75	-2	109.66	-2	124.38	-2	132.43																																																													-2	116.83	-2	121.53
2	eOi	Eoi	2.2857142857142856	4.571428571428571	2.2857142857142856	4.571428571428571	2.2857142857142856	110.01142857142858	2.2857142857142856	121.15142857142858	2.2857142857142856	144.63142857142856	2.2857142857142856	168.67142857142855			-2	103.43	-2	124.94	-2	173.10000000000002																																																																																															-2	101.17													-2	105.47	-2	107.73													-2	114.83	-2	119.53
3	eAi	eai			2.8	7.371428571428571			2.8	123.95142857142858	2.8	147.43142857142857	2.8	171.47142857142856							-2	171.10000000000002																																													-2	115.98	-2	124.86													-2	122.38	-2	130.43																																																													-2	112.83	-2	117.53
4	Aiy	Aiu			2.0	9.37142857142857			2.0	125.95142857142858	2.0	149.43142857142857	2.0	173.47142857142856							-2	169.10000000000002																															-2	115.94															-2	122.86													-2	120.38	-2	128.43																																																																
5	ooI	Ooi	6.857142857142857	11.428571428571427	6.857142857142857	16.228571428571428	-2	108.01142857142858	-2	123.95142857142858	-2	147.43142857142857	-2	171.47142857142856	6.857142857142857	106.85714285714286	6.857142857142857	110.28714285714287	6.857142857142857	131.79714285714286	6.857142857142857	175.95714285714288									-2	99.09	-2	99.91	-2	101.09	-2	103.82									-2	101.31	-2	104.11	-2	107.71000000000001	-2	113.94									-2	104.19	-2	107.23	-2	113.98	-2	120.86									-2	104.75	-2	107.66	-2	118.38	-2	126.43																																													-2	103.47	-2	105.73													-2	110.83	-2	115.53
6	iyi	iui			2.0	18.228571428571428			2.0	125.95142857142858	2.0	149.43142857142857	2.0	173.47142857142856							-2	173.95714285714288																																																													-2	116.38	-2	124.43																																																													-2	108.83	-2	113.53
8	IuE	iue	2.2857142857142856	13.714285714285712	2.2857142857142856	20.514285714285712					-2	147.43142857142857	-2	171.47142857142856	2.2857142857142856	109.14285714285715	2.2857142857142856	112.57285714285716	2.2857142857142856	134.08285714285714	2.2857142857142856	176.24285714285716																																																													-2	114.38	-2	122.43																																																									-2	107.28999999999999	-2	110.28	-2	106.83	-2	111.53
9	eei	Eei	6.0	19.71428571428571	6.0	26.514285714285712					6.0	153.43142857142857	6.0	177.47142857142856			-2	110.57285714285716	-2	132.08285714285714	-2	174.24285714285716																																																																																									-2	99.1	-2	99.87	-2	100.03	-2	99.17									-2	101.79	-2	103.31	-2	101.47	-2	103.73									-2	105.28999999999999	-2	108.28	-2	104.83	-2	109.53
10	uaE	yae	4.333333333333333	24.047619047619044	4.333333333333333	30.847619047619045			-2	123.95142857142858	-2	151.43142857142857	-2	175.47142857142856			4.333333333333333	114.90619047619049	4.333333333333333	136.41619047619048	4.333333333333333	178.5761904761905																													-2	105.71000000000001	-2	111.94													-2	111.98	-2	118.86													-2	112.38	-2	120.43																																																									-2	103.28999999999999	-2	106.28	-2	102.83	-2	107.53
