trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		114.05		143.54		170.04000000000002		196.92000000000002		100.0		100.0		114.91		144.45		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		102.04		102.8		105.93		108.17		100.0		100.0		100.0		100.0		103.98		104.87		111.61		114.64		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		102.08		102.75		104.02		105.01		100.0		100.0		100.0		100.0		105.75		107.72		111.62		114.66
0	Apriori	Id(Bk)Syl1>>Id(Bk)	40	40																																																																																																																																																		
1	uEu	ueu			4.0	4.0					-2	168.04000000000002	-2	194.92000000000002			4.0	104.0	4.0	118.91	4.0	148.45																																													-2	103.93	-2	106.17													-2	109.61	-2	112.64																																																									-2	103.75	-2	105.72	-2	109.62	-2	112.66
1	Apriori	Id(Bk)Syl1>>Id(Bk)	4.0	44.0																																																																																																																																																			
2	EuE	eue	4.0	48.0	0	4.0					-2	166.04000000000002	-2	192.92000000000002			4.0	108.0	4.0	122.91	4.0	152.45																																													-2	101.93	-2	104.17													-2	107.61	-2	110.64																																																									-2	101.75	-2	103.72	-2	107.62	-2	110.66
3	uuE	uue			2.4	6.4					-2	164.04000000000002	-2	190.92000000000002			2.4	110.4	2.4	125.31	2.4	154.85																																																																																																																									-2	99.75	-2	101.72	-2	105.62	-2	108.66
4	uuE	uue			2.4	8.8					-2	162.04000000000002	-2	188.92000000000002			2.4	112.80000000000001	2.4	127.71000000000001	2.4	157.25																																																																																																																									-2	97.75	-2	99.72	-2	103.62	-2	106.66
4	Apriori	Id(Bk)Syl1>>Id(Bk)	0.7999999999999972	48.8																																																																																																																																																			
5	ooE	ooe			4.0	12.8					-2	160.04000000000002	-2	186.92000000000002			4.0	116.80000000000001	4.0	131.71	4.0	161.25																																																																																																									-2	100.08	-2	100.75	-2	102.02	-2	103.01									-2	95.75	-2	97.72	-2	101.62	-2	104.66
5	Apriori	Id(Bk)Syl1>>Id(Bk)	4.0	52.8																																																																																																																																																			
