trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		114.54545454545455		143.63636363636363		158.1818181818182		172.72727272727275		114.54545454545455		129.0909090909091		143.63636363636363		172.72727272727275		100.95454545454545		101.36363636363636		101.9090909090909		102.72727272727273		102.86363636363636		104.0909090909091		104.77272727272728		106.81818181818181		102.86363636363636		103.81818181818181		105.72727272727273		107.63636363636364		108.5909090909091		111.45454545454545		114.31818181818181		119.0909090909091		103.81818181818181		104.9090909090909		107.63636363636364		109.81818181818181		111.45454545454545		114.72727272727273		119.0909090909091		124.54545454545455		104.77272727272728		105.9090909090909		109.54545454545455		111.81818181818181		114.31818181818181		117.72727272727272		123.86363636363636		129.54545454545456		100.95454545454545		101.36363636363636		102.86363636363636		103.81818181818181		103.81818181818181		104.9090909090909		104.77272727272728		105.9090909090909		101.9090909090909		102.72727272727273		105.72727272727273		107.63636363636364		107.63636363636364		109.81818181818181		109.54545454545455		111.81818181818181		102.86363636363636		104.0909090909091		108.5909090909091		111.45454545454545		111.45454545454545		114.72727272727273		114.31818181818181		117.72727272727272		104.77272727272728		106.81818181818181		114.31818181818181		119.0909090909091		119.0909090909091		124.54545454545455		123.86363636363636		129.54545454545456
1	uoI	yOi	2	2	2	2	-2	112.54545454545455	-2	141.63636363636363	-2	156.1818181818182	-2	170.72727272727275	2	116.54545454545455	2	131.0909090909091	2	145.63636363636363	2	174.72727272727275																																																																																																																																
2	yAA	uaa	2	4	2	4			2	143.63636363636363	2	158.1818181818182	2	172.72727272727275							-2	172.72727272727275																																																																																																																																
3	iye	IuE	2	6	2	6			2	145.63636363636363	2	160.1818181818182	2	174.72727272727275	-2	114.54545454545455	-2	129.0909090909091	-2	143.63636363636363	-2	170.72727272727275																																																																																																																																
4	iyy	Iuu	2	8	2	8			2	147.63636363636363	2	162.1818181818182	2	176.72727272727275	-2	112.54545454545455	-2	127.0909090909091	-2	141.63636363636363	-2	168.72727272727275																																																																																																																																
5	IEI	IEi			2	10							-2	174.72727272727275	2	114.54545454545455	2	129.0909090909091	2	143.63636363636363	2	170.72727272727275																																																																															-2	103.9090909090909													-2	107.54545454545455	-2	109.81818181818181													-2	112.31818181818181	-2	115.72727272727272													-2	121.86363636363636	-2	127.54545454545456
6	aEo	AeO	2	10	2	12	-2	110.54545454545455	-2	145.63636363636363	-2	160.1818181818182	-2	172.72727272727275			2	131.0909090909091	2	145.63636363636363	2	172.72727272727275																																																																																																																																
8	IuE	iuE	2	12	2	14							-2	170.72727272727275	2	116.54545454545455	2	133.0909090909091	2	147.63636363636363	2	174.72727272727275																																																							-2	109.81818181818181			-2	115.72727272727272	-2	121.86363636363636	-2	127.54545454545456																																																																
11	yeO	uEo	2	14	2	16	2	112.54545454545455	2	147.63636363636363	2	162.1818181818182	2	172.72727272727275			-2	131.0909090909091	-2	145.63636363636363	-2	172.72727272727275																																																																																																																																
12	IuI	Iui			2	18							-2	170.72727272727275	2	118.54545454545455	2	133.0909090909091	2	147.63636363636363	2	174.72727272727275																																																																															-2	101.9090909090909															-2	107.81818181818181															-2	113.72727272727272													-2	119.86363636363636	-2	125.54545454545456
13	iyy	iuu			2	20			2	149.63636363636363	2	164.1818181818182	2	172.72727272727275							-2	172.72727272727275																																																													-2	119.86363636363636	-2	125.54545454545456																																																																
15	IuE	iuE	2	16	2	22							-2	170.72727272727275	2	120.54545454545455	2	135.0909090909091	2	149.63636363636363	2	174.72727272727275																																																							-2	107.81818181818181			-2	113.72727272727272	-2	117.86363636363636	-2	123.54545454545456																																																																
21	yOi	uoi	2	18	2	24	2	114.54545454545455	2	151.63636363636363	2	166.1818181818182	2	172.72727272727275					-2	147.63636363636363	-2	172.72727272727275																																																																																																													-2	110.31818181818181	-2	111.72727272727272													-2	117.86363636363636	-2	123.54545454545456
23	OO	oo	2	20	2	26	2	116.54545454545455	2	153.63636363636363	2	168.1818181818182	2	174.72727272727275					-2	145.63636363636363	-2	170.72727272727275																																																																																																																																
24	EuE	eye	2	22	2	28			-2	151.63636363636363	-2	166.1818181818182	-2	172.72727272727275			2	137.0909090909091	2	147.63636363636363	2	172.72727272727275																																																																																																																																
25	Ioa	iOA	2	24	2	30	-2	114.54545454545455	-2	149.63636363636363	-2	164.1818181818182	-2	170.72727272727275	2	122.54545454545455	2	139.0909090909091	2	149.63636363636363	2	174.72727272727275																																																																																																																																
26	iOi	ioi			2	32	2	116.54545454545455	2	151.63636363636363	2	166.1818181818182	2	172.72727272727275					-2	147.63636363636363	-2	172.72727272727275																																																									-2	112.31818181818181	-2	111.72727272727272	-2	115.86363636363636	-2	121.54545454545456																																													-2	108.31818181818181	-2	109.72727272727272													-2	115.86363636363636	-2	121.54545454545456
27	iyA	Iua	2	26	2	34			2	153.63636363636363	2	168.1818181818182	2	174.72727272727275	-2	120.54545454545455	-2	137.0909090909091	-2	145.63636363636363	-2	170.72727272727275																																																																																																																																
28	EI	ei	2	28	2	36					-2	166.1818181818182	-2	172.72727272727275	2	122.54545454545455	2	139.0909090909091	2	147.63636363636363	2	172.72727272727275																																																																																																																																
31	iAO	Iao	2	30	2	38	2	118.54545454545455	2	155.63636363636363	2	168.1818181818182	2	174.72727272727275	-2	120.54545454545455	-2	137.0909090909091	-2	145.63636363636363	-2	170.72727272727275																																																																																																																																
