trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		110.72		132.98		180.44		229.38		100.0		110.04		158.06		254.36		100.0		100.0		100.0		100.0		101.76		103.8		106.08		111.58		100.0		100.0		100.0		100.0		105.98		112.1		118.84		135.8		100.0		100.0		100.0		100.0		112.18		118.38		136.28		153.66		100.0		100.0		100.0		100.0		117.7		123.56		153.04		169.5		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		101.82		103.22		103.84		106.1		100.0		100.0		100.0		100.0		107.14		110.02		114.76		119.25999999999999		100.0		100.0		100.0		100.0		118.18		123.78		137.07999999999998		146.3
0	Apriori	Id(Bk)Syl1>>Id(Bk)	20	20																																																																																																																																																		
1	Oye	Oue			2	2			2	134.98	2	182.44	2	231.38							-2	252.36													-2	104.08	-2	109.58													-2	116.84	-2	133.8													-2	134.28	-2	151.66													-2	151.04	-2	167.5																																																									-2	116.18	-2	121.78	-2	135.07999999999998	-2	144.3
1	Apriori	Id(Bk)Syl1>>Id(Bk)	2	22																																																																																																																																																			
2	OiA	oia	2	24	0	2	2	112.72	2	136.98	2	184.44	2	233.38					-2	156.06	-2	250.36																																																													-2	149.04	-2	165.5																																													-2	112.76	-2	117.25999999999999													-2	133.07999999999998	-2	142.3
3	yAe	uae	2	26	0	2			2	138.98	2	186.44	2	235.38							-2	248.36																																																																																																																									-2	114.18	-2	119.78	-2	131.07999999999998	-2	140.3
4	ieO	ieo			2	4	2	114.72	2	140.98	2	188.44	2	237.38					-2	154.06	-2	246.36																																									-2	110.18	-2	116.38	-2	132.28	-2	149.66									-2	115.7	-2	121.56	-2	147.04	-2	163.5																																																																
5	Aiy	Aiu			2	6			2	142.98	2	190.44	2	239.38							-2	244.36																															-2	131.8															-2	147.66													-2	145.04	-2	161.5																																																																
6	OeA	oea	2	28	0	6	2	116.72	2	144.98	2	192.44	2	241.38					-2	152.06	-2	242.36																																													-2	130.28	-2	145.66													-2	143.04	-2	159.5																																									-2	105.14	-2	108.02	-2	110.76	-2	115.25999999999999									-2	112.18	-2	117.78	-2	129.07999999999998	-2	138.3
7	uIa	uia			2	8							-2	239.38	2	102.0	2	112.04	2	154.06	2	244.36																																																													-2	141.04	-2	157.5																																																													-2	127.07999999999998	-2	136.3
8	eeA	Eea	2	30	0	8			2	146.98	2	194.44	2	241.38			-2	110.04	-2	152.06	-2	242.36																																													-2	128.28	-2	143.66													-2	139.04	-2	155.5																									-2	99.82	-2	101.22	-2	101.84	-2	104.1									-2	103.14	-2	106.02	-2	108.76	-2	113.25999999999999									-2	110.18	-2	115.78	-2	125.07999999999998	-2	134.3
9	aau	Aau	2	32	0	8			-2	144.98	-2	192.44	-2	239.38							2	244.36																													-2	114.84	-2	129.8													-2	126.28	-2	141.66													-2	137.04	-2	153.5																																																																
10	AiA	aia	2	34	0	8			2	146.98	2	194.44	2	241.38							-2	242.36																																																													-2	135.04	-2	151.5																																																													-2	123.07999999999998	-2	132.3
11	OAe	Oae			2	10			2	148.98	2	196.44	2	243.38							-2	240.36													-2	102.08	-2	107.58													-2	112.84	-2	127.80000000000001													-2	124.28	-2	139.66													-2	133.04	-2	149.5																																																									-2	108.18	-2	113.78	-2	121.07999999999998	-2	130.3
12	oIa	oia			2	12							-2	241.38	2	104.0	2	112.04	2	154.06	2	242.36																																																													-2	131.04	-2	147.5																																													-2	106.76	-2	111.25999999999999													-2	119.07999999999998	-2	128.3
13	yOy	uou	2	36	0	12	2	118.72	2	150.98	2	198.44	2	243.38					-2	152.06	-2	240.36																																																																																																																																
14	auI	Aui	2	38	0	12			-2	148.98	-2	196.44	-2	241.38	2	106.0	2	114.04	2	154.06	2	242.36																													-2	110.84	-2	125.80000000000001													-2	122.28	-2	137.66													-2	129.04	-2	145.5																																																													-2	117.07999999999998	-2	126.30000000000001
15	oa	Oa	2	40	0	12	-2	116.72	-2	146.98	-2	194.44	-2	239.38					2	156.06	2	244.36													-2	100.08	-2	105.58													-2	108.84	-2	123.80000000000001													-2	120.28	-2	135.66													-2	127.03999999999999	-2	143.5																																																																
16	iAO	iao			2	14	2	118.72	2	148.98	2	196.44	2	241.38					-2	154.06	-2	242.36																																																											-2	119.56	-2	125.03999999999999	-2	141.5																																																																
17	oEE	Oee	2	42	0	14	-2	116.72	-2	146.98	-2	194.44	-2	239.38			2	116.04	2	156.06	2	244.36																																																																																																																																
18	AAi	aai	2	44	0	14			2	148.98	2	196.44	2	241.38							-2	242.36																																																																																																																													-2	115.07999999999998	-2	124.30000000000001
19	aE	ae			2	16					-2	194.44	-2	239.38			2	118.04	2	158.06	2	244.36																																																																																																																									-2	106.18	-2	111.78	-2	113.07999999999998	-2	122.30000000000001
20	eyi	eui			2	18			2	150.98	2	196.44	2	241.38							-2	242.36																																													-2	118.28	-2	133.66													-2	123.03999999999999	-2	139.5																																																													-2	111.07999999999998	-2	120.30000000000001
22	Oiy	oiu	2	46	0	18	2	118.72	2	152.98	2	198.44	2	243.38					-2	156.06	-2	240.36																																																													-2	121.03999999999999	-2	137.5																																													-2	104.76	-2	109.25999999999999													-2	109.07999999999998	-2	118.30000000000001
23	EII	Eii			2	20							-2	241.38	2	108.0	2	120.04	2	158.06	2	242.36																																																																																													-2	99.84	-2	102.1													-2	102.76	-2	107.25999999999999													-2	107.07999999999998	-2	116.30000000000001
24	uIa	uia			2	22							-2	239.38	2	110.0	2	122.04	2	160.06	2	244.36																																																													-2	119.03999999999999	-2	135.5																																																													-2	105.07999999999998	-2	114.30000000000001
25	yOy	uou	2	48	0	22	2	120.72	2	154.98	2	200.44	2	241.38					-2	158.06	-2	242.36																																																																																																																																
26	OeA	oea	2	50	0	22	2	122.72	2	156.98	2	202.44	2	243.38					-2	156.06	-2	240.36																																													-2	116.28	-2	131.66													-2	117.03999999999999	-2	133.5																																									-2	101.14	-2	104.02	-2	100.76	-2	105.25999999999999									-2	104.18	-2	109.78	-2	103.07999999999998	-2	112.30000000000001
27	uaI	yai	2	52	0	22			-2	154.98	-2	200.44	-2	241.38	2	112.0	2	124.04	2	158.06	2	242.36																													-2	106.84	-2	121.80000000000001													-2	114.28	-2	129.66													-2	115.03999999999999	-2	131.5																																																													-2	101.07999999999998	-2	110.30000000000001
28	IIa	iia	2	54	0	22							-2	239.38	2	114.0	2	126.04	2	160.06	2	244.36																																																													-2	113.03999999999999	-2	129.5																																																																
29	iey	ieu			2	24			2	156.98	2	202.44	2	241.38							-2	242.36																																													-2	112.28	-2	127.66													-2	111.03999999999999	-2	127.5																																																																
30	ooI	ooi			2	26							-2	239.38	2	116.0	2	128.04000000000002	2	162.06	2	244.36																																																																																																													-2	98.76	-2	103.25999999999999													-2	99.07999999999998	-2	108.30000000000001
31	AOA	Aoa			2	28	2	124.72	2	158.98	2	204.44	2	241.38					-2	160.06	-2	242.36																									-2	103.98	-2	110.1	-2	104.84	-2	119.80000000000001									-2	108.18	-2	114.38	-2	110.28	-2	125.66									-2	113.7	-2	117.56	-2	109.03999999999999	-2	125.5																																																																
32	Iuo	iuo	2	56	0	28							-2	239.38	2	118.0	2	130.04000000000002	2	162.06	2	244.36																																																											-2	115.56	-2	107.03999999999999	-2	123.5																																																																
33	ey	eu			2	30			2	160.98	2	206.44	2	241.38							-2	242.36																																													-2	108.28	-2	123.66													-2	105.03999999999999	-2	121.5																																																																
34	OAO	Oao			2	32	2	126.72	2	162.98	2	208.44	2	243.38					-2	160.06	-2	240.36											-2	101.8	-2	98.08	-2	103.58											-2	108.1	-2	102.84	-2	117.80000000000001											-2	112.38	-2	106.28	-2	121.66											-2	113.56	-2	103.03999999999999	-2	119.5																																																																
35	OyA	Oua			2	34			2	164.98	2	210.44	2	245.38							-2	238.36													-2	96.08	-2	101.58													-2	100.84	-2	115.80000000000001													-2	104.28	-2	119.66													-2	101.03999999999999	-2	117.5																																																																
36	oEo	Oeo	2	58	0	34	-2	124.72	-2	162.98	-2	208.44	-2	243.38			2	132.04000000000002	2	162.06	2	240.36											-2	99.8			-2	99.58											-2	106.1			-2	113.80000000000001									-2	106.18	-2	110.38	-2	102.28	-2	117.66									-2	111.7	-2	111.56	-2	99.03999999999999	-2	115.5																																																																
39	Eao	eao	2	60	0	34					-2	206.44	-2	241.38			2	134.04000000000002	2	164.06	2	242.36																																											-2	108.38	-2	100.28	-2	115.66											-2	109.56	-2	97.03999999999999	-2	113.5																																																																
40	yey	ueu	2	62	0	34			2	164.98	2	208.44	2	243.38							-2	240.36																																													-2	98.28	-2	113.66													-2	95.03999999999999	-2	111.5																																																									-2	102.18	-2	107.78	-2	97.07999999999998	-2	106.30000000000001
41	oIu	Oiu	2	64	0	34	-2	122.72	-2	162.98	-2	206.44	-2	241.38	2	120.0	2	136.04000000000002	2	166.06	2	242.36															-2	97.58															-2	111.80000000000001															-2	111.66													-2	93.03999999999999	-2	109.5																																																																
42	aEI	Aei	2	66	0	34			-2	160.98	-2	204.44	-2	239.38	2	122.0	2	138.04000000000002	2	168.06	2	244.36																																																																																																																																
43	yeO	ueo	2	68	0	34	2	124.72	2	162.98	2	206.44	2	241.38					-2	166.06	-2	242.36																																									-2	104.18	-2	106.38	-2	96.28	-2	109.66									-2	109.7	-2	107.56	-2	91.03999999999999	-2	107.5																																																									-2	100.18	-2	105.78	-2	95.07999999999998	-2	104.30000000000001
44	yAi	uai	2	70	0	34			2	164.98	2	208.44	2	243.38							-2	240.36																																																																																																																													-2	93.07999999999998	-2	102.30000000000001
45	oII	oii			2	36							-2	241.38	2	124.0	2	140.04000000000002	2	168.06	2	242.36																																																																																																													-2	96.76	-2	101.25999999999999													-2	91.07999999999998	-2	100.30000000000001
46	Oi	oi	2	72	0	36	2	126.72	2	166.98	2	210.44	2	243.38					-2	166.06	-2	240.36																																																																																																													-2	94.76	-2	99.25999999999999													-2	89.07999999999998	-2	98.30000000000001
47	uEu	yeu	2	74	0	36			-2	164.98	-2	208.44	-2	241.38			2	142.04000000000002	2	168.06	2	242.36																															-2	109.80000000000001													-2	94.28	-2	107.66													-2	89.03999999999999	-2	105.5																																																																
49	eiA	eia			2	38			2	166.98	2	210.44	2	243.38							-2	240.36																																															-2	105.66													-2	87.03999999999999	-2	103.5																																																																
50	uo	yo	2	76	0	38			-2	164.98	-2	208.44	-2	241.38							2	242.36																									-2	101.98	-2	104.1	-2	98.84	-2	107.80000000000001									-2	102.18	-2	104.38	-2	92.28	-2	103.66									-2	107.7	-2	105.56	-2	85.03999999999999	-2	101.5																																																																
