trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		125.08		175.36		200.72000000000003		253.96		109.58		139.64		170.82		229.62		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		103.42		104.74		107.6		110.08		114.72		119.25999999999999		100.0		100.0		100.0		100.0		100.0		100.0		101.94		103.18		100.0		100.0		100.0		100.0		100.0		100.0		105.84		108.36		100.0		100.0		100.0		100.0		100.0		100.0		109.82		113.32000000000001		100.0		100.0		100.0		100.0		100.0		100.0		117.2		123.38
0	Apriori	Id(Bk)Syl1>>Id(Bk)	30	30																																																																																																																																																		
1	IIo	iio	2	32	0	0							-2	251.96	2	111.58	2	141.64	2	172.82	2	231.62																																																									-2	105.6	-2	108.08	-2	112.72	-2	117.25999999999999																																																																
4	uaE	yAe	2	34	0	0			-2	173.36	-2	198.72000000000003	-2	249.96			2	143.64	2	174.82	2	233.62																																																																																																																																
5	II	Ii			2	2							-2	247.96	2	113.58	2	145.64	2	176.82	2	235.62																																																																													-2	99.94	-2	101.18													-2	103.84	-2	106.36													-2	107.82	-2	111.32000000000001													-2	115.2	-2	121.38
6	Eao	eAO	2	36	0	2	-2	123.08	-2	171.36	-2	196.72000000000003	-2	245.96			2	147.64	2	178.82	2	237.62																																																																																																																																
7	oE	Oe	2	38	0	2	-2	121.08	-2	169.36	-2	194.72000000000003	-2	243.96			2	149.64	2	180.82	2	239.62																																																																																																																																
8	IEu	iey	2	40	0	2			-2	167.36	-2	192.72000000000003	-2	241.96	2	115.58	2	151.64	2	182.82	2	241.62																																																																																																																																
9	yA	ua	2	42	0	2			2	169.36	2	194.72000000000003	2	243.96							-2	239.62																																																																																																																																
10	Iou	iou	2	44	0	2							-2	241.96	2	117.58	2	153.64	2	184.82	2	241.62																																																									-2	103.6	-2	106.08	-2	110.72	-2	115.25999999999999																																																																
11	aou	AOy	2	46	0	2	-2	119.08	-2	167.36	-2	192.72000000000003	-2	239.96					2	186.82	2	243.62																																																																																																																																
13	yye	uuE	2	48	0	2			2	169.36	2	194.72000000000003	2	241.96			-2	151.64	-2	184.82	-2	241.62																																																																																																																																
15	Eu	ey	2	50	0	2			-2	167.36	-2	192.72000000000003	-2	239.96			2	153.64	2	186.82	2	243.62																																																																																																																																
17	Aii	aii	2	52	0	2			2	169.36	2	194.72000000000003	2	241.96							-2	241.62																																																																																																																													-2	113.2	-2	119.38
18	OiA	oia	2	54	0	2	2	121.08	2	171.36	2	196.72000000000003	2	243.96					-2	184.82	-2	239.62																																																													-2	108.72	-2	113.25999999999999																																													-2	105.82	-2	109.32000000000001													-2	111.2	-2	117.38
19	IuI	iui	2	56	0	2							-2	241.96	2	119.58	2	155.64	2	186.82	2	241.62																																																													-2	106.72	-2	111.25999999999999																																																													-2	109.2	-2	115.38
20	uII	yii	2	58	0	2			-2	169.36	-2	194.72000000000003	-2	239.96	2	121.58	2	157.64	2	188.82	2	243.62																																																																																																																																
22	IuE	iuE	2	60	0	2							-2	237.96	2	123.58	2	159.64	2	190.82	2	245.62																																																							-2	102.74			-2	104.08	-2	104.72	-2	109.25999999999999																																																																
24	iy	Iu	2	62	0	2			2	171.36	2	196.72000000000003	2	239.96	-2	121.58	-2	157.64	-2	188.82	-2	243.62																																																																																																																																
25	eAy	Eau	2	64	0	2			2	173.36	2	198.72000000000003	2	241.96			-2	155.64	-2	186.82	-2	241.62																																																																																																																																
28	iyO	iuo			2	4	2	123.08	2	175.36	2	200.72000000000003	2	243.96					-2	184.82	-2	239.62																																																											-2	102.08	-2	102.72	-2	107.25999999999999																																																																
29	Iu	iy	2	66	0	4			-2	173.36	-2	198.72000000000003	-2	241.96	2	123.58	2	157.64	2	186.82	2	241.62																																																																																																																																
30	IaI	iai	2	68	0	4							-2	239.96	2	125.58	2	159.64	2	188.82	2	243.62																																																													-2	100.72	-2	105.25999999999999																																																													-2	107.2	-2	113.38
33	OiA	oia	2	70	0	4	2	125.08	2	175.36	2	200.72000000000003	2	241.96					-2	186.82	-2	241.62																																																													-2	98.72	-2	103.25999999999999																																													-2	103.82	-2	107.32000000000001													-2	105.2	-2	111.38
34	aIa	AiA	2	72	0	4			-2	173.36	-2	198.72000000000003	-2	239.96	2	127.58	2	161.64	2	188.82	2	243.62																																																																																																																																
35	Ae	aE	2	74	0	4			2	175.36	2	200.72000000000003	2	241.96			-2	159.64	-2	186.82	-2	241.62																																																																																																																																
36	OOO	ooo	2	76	0	4	2	127.08	2	177.36	2	202.72000000000003	2	243.96					-2	184.82	-2	239.62																																																																																																																																
39	IIa	iia	2	78	0	4							-2	241.96	2	129.57999999999998	2	161.64	2	186.82	2	241.62																																																													-2	96.72	-2	101.25999999999999																																																																
40	II	Ii			2	6							-2	239.96	2	131.57999999999998	2	163.64	2	188.82	2	243.62																																																																													-2	97.94	-2	99.18													-2	101.84	-2	104.36													-2	101.82	-2	105.32000000000001													-2	103.2	-2	109.38
41	eyy	Euu	2	80	0	6			2	179.36	2	204.72000000000003	2	241.96			-2	161.64	-2	186.82	-2	241.62																																																																																																																																
44	yyy	uuu	2	82	0	6			2	181.36	2	206.72000000000003	2	243.96							-2	239.62																																																																																																																																
45	IaI	iAi	2	84	0	6			-2	179.36	-2	204.72000000000003	-2	241.96	2	133.57999999999998	2	163.64	2	188.82	2	241.62																																																																																																																																
47	iii	Iii	2	86	0	6							2	243.96	-2	131.57999999999998	-2	161.64	-2	186.82	-2	239.62																																																																													-2	95.94	-2	97.18													-2	99.84	-2	102.36													-2	99.82	-2	103.32000000000001													-2	101.2	-2	107.38
50	oIo	OiO	2	88	0	6	-2	125.08	-2	177.36	-2	202.72000000000003	-2	241.96	2	133.57999999999998	2	163.64	2	188.82	2	241.62																																																																																																																																
52	IEa	iEa	2	90	0	6							-2	239.96	2	135.57999999999998	2	165.64	2	190.82	2	243.62																																																					-2	101.42	-2	100.74	-2	101.6	-2	100.08	-2	94.72	-2	99.25999999999999																																																																
53	yO	uo	2	92	0	6	2	127.08	2	179.36	2	204.72000000000003	2	241.96					-2	188.82	-2	241.62																																																																																																																																
54	EIu	Eiu			2	8							-2	239.96	2	137.57999999999998	2	167.64	2	190.82	2	243.62																																																													-2	92.72	-2	97.25999999999999																													-2	97.84	-2	100.36													-2	97.82	-2	101.32000000000001													-2	99.2	-2	105.38
57	OAA	oaa	2	94	0	8	2	129.07999999999998	2	181.36	2	206.72000000000003	2	241.96					-2	188.82	-2	241.62																																																																																																																																
58	yyi	uui	2	96	0	8			2	183.36	2	208.72000000000003	2	243.96							-2	239.62																																																																																																																													-2	97.2	-2	103.38
59	EIo	eiO	2	98	0	8	-2	127.07999999999998	-2	181.36	-2	206.72000000000003	-2	241.96	2	139.57999999999998	2	169.64	2	190.82	2	241.62																																																																																																																																
60	uoa	yOA	2	100	0	8	-2	125.07999999999998	-2	179.36	-2	204.72000000000003	-2	239.96					2	192.82	2	243.62																																																																																																																																
