trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		128.84		188.12		239.74		293.84000000000003		100.0		100.0		130.04		190.48000000000002		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		103.84		105.54		112.2		116.94		100.0		100.0		100.0		100.0		107.72		109.92		123.7		130.44		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		103.76		104.98		107.8		109.58		100.0		100.0		100.0		100.0		110.72		114.76		122.48		128.7
0	Apriori	Id(Bk)Syl1>>Id(Bk)	40	40																																																																																																																																																		
1	oIo	oio			2	2							-2	291.84000000000003	2	102.0	2	102.0	2	132.04	2	192.48000000000002																																																									-2	105.72	-2	107.92	-2	121.7	-2	128.44																																													-2	105.8	-2	107.58													-2	120.48	-2	126.69999999999999
1	Apriori	Id(Bk)Syl1>>Id(Bk)	2	42																																																																																																																																																			
2	EEE	eee	2	44	0	2					-2	237.74	-2	289.84000000000003			2	104.0	2	134.04	2	194.48000000000002																																																																																																																																
3	Ioa	iOA	2	46	0	2	-2	126.84	-2	186.12	-2	235.74	-2	287.84000000000003	2	104.0	2	106.0	2	136.04	2	196.48000000000002																																																																																																																																
4	ouE	oue			2	4					-2	233.74	-2	285.84000000000003			2	108.0	2	138.04	2	198.48000000000002																																																																																																											-2	102.98			-2	105.58									-2	108.72	-2	112.76	-2	118.48	-2	124.69999999999999
5	oEu	Oey	2	48	0	4	-2	124.84	-2	184.12	-2	231.74	-2	283.84000000000003			2	110.0	2	140.04	2	200.48000000000002																																																																																																																																
6	uIE	uie			2	6					-2	229.74	-2	281.84000000000003	2	106.0	2	112.0	2	142.04	2	202.48000000000002																																																																																																																											-2	110.76	-2	116.48	-2	122.69999999999999
8	aEI	Aei	2	50	0	6			-2	182.12	-2	227.74	-2	279.84000000000003	2	108.0	2	114.0	2	144.04	2	204.48000000000002																																																																																																																																
9	oaI	OAi	2	52	0	6	-2	122.84	-2	180.12	-2	225.74	-2	277.84000000000003	2	110.0	2	116.0	2	146.04	2	206.48000000000002																																																																																																																																
10	EoE	eOe	2	54	0	6	-2	120.84	-2	178.12	-2	223.74	-2	275.84000000000003			2	118.0	2	148.04	2	208.48000000000002																																																																																																																																
11	uoa	yOA	2	56	0	6	-2	118.84	-2	176.12	-2	221.74	-2	273.84000000000003					2	150.04	2	210.48000000000002																																																																																																																																
12	Eou	eOy	2	58	0	6	-2	116.84	-2	174.12	-2	219.74	-2	271.84000000000003			2	120.0	2	152.04	2	212.48000000000002																																																																																																																																
13	uEa	uea			2	8					-2	217.74	-2	269.84000000000003			2	122.0	2	154.04	2	214.48000000000002																																													-2	110.2	-2	114.94													-2	119.7	-2	126.44																																																									-2	106.72	-2	108.76	-2	114.48	-2	120.69999999999999
14	aoE	aoe			2	10					-2	215.74	-2	267.84000000000003			2	124.0	2	156.04	2	216.48000000000002																																																																																																									-2	101.76	-2	100.98	-2	103.8	-2	103.58									-2	104.72	-2	106.76	-2	112.48	-2	118.69999999999999
15	Ioo	ioo	2	60	0	10							-2	265.84000000000003	2	112.0	2	126.0	2	158.04	2	218.48000000000002																																																									-2	103.72	-2	105.92	-2	117.7	-2	124.44																																																																
16	aEE	Aee	2	62	0	10			-2	172.12	-2	213.74	-2	263.84000000000003			2	128.0	2	160.04	2	220.48000000000002																																																																																																																																
17	aEu	aeu			2	12					-2	211.74	-2	261.84000000000003			2	130.0	2	162.04	2	222.48000000000002																																													-2	108.2	-2	112.94													-2	115.7	-2	122.44																																																									-2	102.72	-2	104.76	-2	110.48	-2	116.69999999999999
18	uoE	uoe			2	14					-2	209.74	-2	259.84000000000003			2	132.0	2	164.04	2	224.48000000000002																																																																																																									-2	99.76	-2	98.98	-2	101.8	-2	101.58									-2	100.72	-2	102.76	-2	108.48	-2	114.69999999999999
19	EEa	eeA	2	64	0	14			-2	170.12	-2	207.74	-2	257.84000000000003			2	134.0	2	166.04	2	226.48000000000002																																																																																																																																
20	uEI	uei			2	16					-2	205.74	-2	255.84000000000003	2	114.0	2	136.0	2	168.04	2	228.48000000000002																																																																																																																									-2	98.72	-2	100.76	-2	106.48	-2	112.69999999999999
21	Io	io	2	66	0	16							-2	253.84000000000003	2	116.0	2	138.0	2	170.04	2	230.48000000000002																																																									-2	101.72	-2	103.92	-2	113.7	-2	120.44																																																																
23	Eoo	eOO	2	68	0	16	-2	114.84	-2	168.12	-2	203.74	-2	251.84000000000003			2	140.0	2	172.04	2	232.48000000000002																																																																																																																																
24	IEo	ieo	2	70	0	16					-2	201.74	-2	249.84000000000003	2	118.0	2	142.0	2	174.04	2	234.48000000000002																																									-2	101.84	-2	103.54	-2	106.2	-2	110.94									-2	99.72	-2	101.92	-2	111.7	-2	118.44																																																																
25	uE	ue			2	18					-2	199.74	-2	247.84000000000003			2	144.0	2	176.04	2	236.48000000000002																																																																																																																									-2	96.72	-2	98.76	-2	104.48	-2	110.69999999999999
26	Iuu	iyy	2	72	0	18			-2	166.12	-2	197.74	-2	245.84000000000003	2	120.0	2	146.0	2	178.04	2	238.48000000000002																																																																																																																																
27	uEI	uei			2	20					-2	195.74	-2	243.84000000000003	2	122.0	2	148.0	2	180.04	2	240.48000000000002																																																																																																																									-2	94.72	-2	96.76	-2	102.48	-2	108.69999999999999
