trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		131.48000000000002		191.2		244.6		296.46		100.0		100.0		129.64		188.2		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		103.96		105.38		111.12		115.3		100.0		100.0		100.0		100.0		107.76		109.96		121.96		128.5		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		103.48		104.84		107.14		108.94		100.0		100.0		100.0		100.0		111.3		115.28		122.2		128.4
1	IuI	iyi	1.0	1.0	0	0			-2	189.2	-2	242.6	-2	294.46	1.0	101.0	1.0	101.0	1.0	130.64	1.0	189.2																																																																																																																																
2	EIa	eia	1.6666666666666667	2.666666666666667	0	0					-2	240.6	-2	292.46	1.6666666666666667	102.66666666666667	1.6666666666666667	102.66666666666667	1.6666666666666667	132.30666666666664	1.6666666666666667	190.86666666666665																																															-2	113.3													-2	119.96	-2	126.5																																																																
3	Ea	ea	2.4	5.066666666666666	0	0					-2	238.6	-2	290.46			2.4	105.06666666666668	2.4	134.70666666666665	2.4	193.26666666666665																																													-2	109.12	-2	111.3													-2	117.96	-2	124.5																																																																
4	auu	Ayy	2.0	7.066666666666666	0	0			-2	187.2	-2	236.6	-2	288.46							2.0	195.26666666666665																																																																																																																																
5	ouu	Oyy	2.0	9.066666666666666	0	0	-2	129.48000000000002	-2	185.2	-2	234.6	-2	286.46					2.0	136.70666666666665	2.0	197.26666666666665																																																																																																																																
6	uuI	yyi	1.0	10.066666666666666	0	0			-2	183.2	-2	232.6	-2	284.46	1.0	103.66666666666667	1.0	106.06666666666668	1.0	137.70666666666665	1.0	198.26666666666665																																																																																																																																
7	aaI	aai			1.0	1.0							-2	282.46	1.0	104.66666666666667	1.0	107.06666666666668	1.0	138.70666666666665	1.0	199.26666666666665																																																																																																																													-2	120.2	-2	126.4
8	uoE	yOe	1.6	11.666666666666666	0	1.0	-2	127.48000000000002	-2	181.2	-2	230.6	-2	280.46			1.6	108.66666666666667	1.6	140.30666666666664	1.6	200.86666666666665																																																																																																																																
9	EaE	eAe	1.2	12.866666666666665	0	1.0			-2	179.2	-2	228.6	-2	278.46			1.2	109.86666666666667	1.2	141.50666666666663	1.2	202.06666666666663																																																																																																																																
