trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		162.52		187.65		200.27		227.72		154.69		169.23		184.78		214.14		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		151.79		152.37		153.94		155.19		157.59		160.14		150.0		150.0		150.0		150.0		150.0		150.0		150.9		151.58		150.0		150.0		150.0		150.0		150.0		150.0		152.86		154.24		150.0		150.0		150.0		150.0		150.0		150.0		154.96		156.96		150.0		150.0		150.0		150.0		150.0		150.0		158.51		161.64
0	Apriori	Id(Bk)Syl1>>Id(Bk)	10	10																																																																																																																																																		
1	uIE	uiE			2	2							-2	225.72	2	156.69	2	171.23	2	186.78	2	216.14																																																					-2	149.79	-2	150.37	-2	151.94	-2	153.19	-2	155.59	-2	158.14																																																													-2	156.51	-2	159.64
1	Apriori	Id(Bk)Syl1>>Id(Bk)	2	12																																																																																																																																																			
2	IIo	iiO	2	14	0	2	-2	160.52	-2	185.65	-2	198.27	-2	223.72	2	158.69	2	173.23	2	188.78	2	218.14																																																																																																																																
4	ooo	OOO	2	16	0	2	-2	158.52	-2	183.65	-2	196.27	-2	221.72					2	190.78	2	220.14																																																																																																																																
5	IuE	iye	2	18	0	2			-2	181.65	-2	194.27	-2	219.72	2	160.69	2	175.23	2	192.78	2	222.14																																																																																																																																
6	AAO	aao	2	20	0	2	2	160.52	2	183.65	2	196.27	2	221.72					-2	190.78	-2	220.14																																																																																																																																
7	IIE	iie	2	22	0	2					-2	194.27	-2	219.72	2	162.69	2	177.23	2	192.78	2	222.14																																																																																																																																
8	yOe	uoE	2	24	0	2	2	162.52	2	185.65	2	196.27	2	221.72			-2	175.23	-2	190.78	-2	220.14																																																																																																																																
9	auE	Aye	2	26	0	2			-2	183.65	-2	194.27	-2	219.72			2	177.23	2	192.78	2	222.14																																																																																																																																
10	iyi	iui			2	4			2	185.65	2	196.27	2	221.72							-2	220.14																																																													-2	153.59	-2	156.14																																																													-2	154.51	-2	157.64
11	oIE	Oie	2	28	0	4	-2	160.52	-2	183.65	-2	194.27	-2	219.72	2	164.69	2	179.23	2	194.78	2	222.14																																																																																																																																
13	Ae	aE	2	30	0	4			2	185.65	2	196.27	2	221.72			-2	177.23	-2	192.78	-2	220.14																																																																																																																																
14	Iou	iou	2	32	0	4							-2	219.72	2	166.69	2	179.23	2	194.78	2	222.14																																																									-2	149.94	-2	151.19	-2	151.59	-2	154.14																																																																
15	iAO	iao			2	6	2	162.52	2	187.65	2	198.27	2	221.72					-2	192.78	-2	220.14																																																											-2	149.19	-2	149.59	-2	152.14																																																																
16	IuE	iye	2	34	0	6			-2	185.65	-2	196.27	-2	219.72	2	168.69	2	181.23	2	194.78	2	222.14																																																																																																																																
17	ee	EE	2	36	0	6					2	198.27	2	221.72			-2	179.23	-2	192.78	-2	220.14																																																																																																																																
18	EuI	Eui			2	8							-2	219.72	2	170.69	2	181.23	2	194.78	2	222.14																																																																																															-2	152.24															-2	154.96													-2	152.51	-2	155.64
20	yy	uu	2	38	0	8			2	187.65	2	200.27	2	221.72							-2	220.14																																																																																																																																
21	uIo	uio			2	10							-2	219.72	2	172.69	2	183.23	2	196.78	2	222.14																																																									-2	147.94	-2	147.19	-2	147.59	-2	150.14																																																													-2	150.51	-2	153.64
22	iyO	iuo			2	12	2	164.52	2	189.65	2	202.27	2	221.72					-2	194.78	-2	220.14																																																											-2	145.19	-2	145.59	-2	148.14																																																																
23	ouu	Oyy	2	40	0	12	-2	162.52	-2	187.65	-2	200.27	-2	219.72					2	196.78	2	222.14																																																																																																																																
24	yOi	uoi	2	42	0	12	2	164.52	2	189.65	2	202.27	2	221.72					-2	194.78	-2	220.14																																																																																																													-2	152.96	-2	152.96													-2	148.51	-2	151.64
25	iee	IEE	2	44	0	12					2	204.27	2	223.72	-2	170.69	-2	181.23	-2	192.78	-2	218.14																																																																																																																																
26	EuI	Eui			2	14							-2	221.72	2	172.69	2	183.23	2	194.78	2	220.14																																																																																															-2	150.24															-2	150.96													-2	146.51	-2	149.64
27	eAA	Eaa	2	46	0	14			2	191.65	2	206.27	2	223.72			-2	181.23	-2	192.78	-2	218.14																																																																																																																																
29	uIa	uia			2	16							-2	221.72	2	174.69	2	183.23	2	194.78	2	220.14																																																													-2	143.59	-2	146.14																																																													-2	144.51	-2	147.64
31	OyO	ouo	2	48	0	16	2	166.52	2	193.65	2	208.27	2	223.72					-2	192.78	-2	218.14																																																																																																																																
32	uuu	yyy	2	50	0	16			-2	191.65	-2	206.27	-2	221.72							2	220.14																																																																																																																																
33	ieO	IEo	2	52	0	16	2	168.52	2	193.65	2	208.27	2	223.72	-2	172.69	-2	181.23	-2	190.78	-2	218.14																																																																																																																																
34	Eau	eAy	2	54	0	16			-2	191.65	-2	206.27	-2	221.72			2	183.23	2	192.78	2	220.14																																																																																																																																
35	ouo	OyO	2	56	0	16	-2	166.52	-2	189.65	-2	204.27	-2	219.72					2	194.78	2	222.14																																																																																																																																
37	iyO	iuo			2	18	2	168.52	2	191.65	2	206.27	2	221.72					-2	192.78	-2	220.14																																																											-2	143.19	-2	141.59	-2	144.14																																																																
40	IaI	iai	2	58	0	18							-2	219.72	2	174.69	2	185.23	2	194.78	2	222.14																																																													-2	139.59	-2	142.14																																																													-2	142.51	-2	145.64
41	OeO	oEo	2	60	0	18	2	170.52	2	193.65	2	208.27	2	221.72			-2	183.23	-2	192.78	-2	220.14																																																																																																																																
42	iee	IEE	2	62	0	18					2	210.27	2	223.72	-2	172.69	-2	181.23	-2	190.78	-2	218.14																																																																																																																																
43	oEu	Oey	2	64	0	18	-2	168.52	-2	191.65	-2	208.27	-2	221.72			2	183.23	2	192.78	2	220.14																																																																																																																																
44	III	Iii			2	20							-2	219.72	2	174.69	2	185.23	2	194.78	2	222.14																																																																													-2	148.9	-2	149.58													-2	150.86	-2	148.24													-2	150.96	-2	148.96													-2	140.51	-2	143.64
46	Iua	iua	2	66	0	20							-2	217.72	2	176.69	2	187.23	2	196.78	2	224.14																																																													-2	137.59	-2	140.14																																																																
53	iiy	iiu			2	22			2	193.65	2	210.27	2	219.72							-2	222.14																																																													-2	135.59	-2	138.14																																																																
54	iee	iEE			2	24					2	212.27	2	221.72			-2	185.23	-2	194.78	-2	220.14																																																					-2	147.79	-2	148.37	-2	145.94	-2	141.19	-2	133.59	-2	136.14																																																																
56	oIu	Oiy	2	68	0	24	-2	166.52	-2	191.65	-2	210.27	-2	219.72	2	178.69	2	187.23	2	196.78	2	222.14																																																																																																																																
58	iAe	iaE			2	26			2	193.65	2	212.27	2	221.72			-2	185.23	-2	194.78	-2	220.14																																																							-2	146.37			-2	139.19	-2	131.59	-2	134.14																																																																
59	aou	AOy	2	70	0	26	-2	164.52	-2	191.65	-2	210.27	-2	219.72					2	196.78	2	222.14																																																																																																																																
61	eyA	Eua	2	72	0	26			2	193.65	2	212.27	2	221.72			-2	183.23	-2	194.78	-2	220.14																																																																																																																																
62	IaI	iAi	2	74	0	26			-2	191.65	-2	210.27	-2	219.72	2	180.69	2	185.23	2	196.78	2	222.14																																																																																																																																
63	OAy	oau	2	76	0	26	2	166.52	2	193.65	2	212.27	2	221.72					-2	194.78	-2	220.14																																																																																																																																
68	Eua	eyA	2	78	0	26			-2	191.65	-2	210.27	-2	219.72			2	187.23	2	196.78	2	222.14																																																																																																																																
69	iii	Iii	2	80	0	26							2	221.72	-2	178.69	-2	185.23	-2	194.78	-2	220.14																																																																													-2	146.9	-2	147.58													-2	148.86	-2	146.24													-2	148.96	-2	146.96													-2	138.51	-2	141.64
71	EoE	eOe	2	82	0	26	-2	164.52	-2	189.65	-2	208.27	-2	219.72			2	187.23	2	196.78	2	222.14																																																																																																																																
72	yee	uEE	2	84	0	26			2	191.65	2	210.27	2	221.72			-2	185.23	-2	194.78	-2	220.14																																																																																																																																
73	uuI	yyi	2	86	0	26			-2	189.65	-2	208.27	-2	219.72	2	180.69	2	187.23	2	196.78	2	222.14																																																																																																																																
74	uu	yy	2	88	0	26			-2	187.65	-2	206.27	-2	217.72							2	224.14																																																																																																																																
75	yye	uuE	2	90	0	26			2	189.65	2	208.27	2	219.72			-2	185.23	-2	194.78	-2	222.14																																																																																																																																
78	yey	uEu	2	92	0	26			2	191.65	2	210.27	2	221.72			-2	183.23	-2	192.78	-2	220.14																																																																																																																																
80	OO	oo	2	94	0	26	2	166.52	2	193.65	2	212.27	2	223.72					-2	190.78	-2	218.14																																																																																																																																
