trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		164.93		193.96		220.8		247.33		150.0		150.0		165.1		194.98		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		152.0		152.73		156.01		158.14		150.0		150.0		150.0		150.0		153.77		154.69		161.26		164.24		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		152.13		152.9		154.06		155.23		150.0		150.0		150.0		150.0		155.85		157.99		161.67		164.9
1	Ioo	ioo	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.3333333333333333							-2	245.33	0.3333333333333333	150.33333333333334	0.3333333333333333	150.33333333333334	0.3333333333333333	165.43333333333334	0.3333333333333333	195.31333333333333																																																									-2	151.77	-2	152.69	-2	159.26	-2	162.24																																																																
2	uEI	uei			0.4	0.7333333333333334					-2	218.8	-2	243.33	0.4	150.73333333333335	0.4	150.73333333333335	0.4	165.83333333333334	0.4	195.71333333333334																																																																																																																									-2	153.85	-2	155.99	-2	159.67	-2	162.9
3	oao	OAO	0.5	0.8333333333333333	0.5	1.2333333333333334	-2	162.93	-2	191.96	-2	216.8	-2	241.33					0.5	166.33333333333334	0.5	196.21333333333334																																																																																																																																
4	IoE	iOe	0.3333333333333333	1.1666666666666665	0.3333333333333333	1.5666666666666667	-2	160.93	-2	189.96	-2	214.8	-2	239.33	0.3333333333333333	151.0666666666667	0.3333333333333333	151.0666666666667	0.3333333333333333	166.66666666666669	0.3333333333333333	196.54666666666668																																																																																																																																
5	oao	OAO	0.5	1.6666666666666665	0.5	2.0666666666666664	-2	158.93	-2	187.96	-2	212.8	-2	237.33					0.5	167.16666666666669	0.5	197.04666666666668																																																																																																																																
6	uII	uii			0.4	2.4666666666666663							-2	235.33	0.4	151.4666666666667	0.4	151.4666666666667	0.4	167.5666666666667	0.4	197.4466666666667																																																																																																																													-2	157.67	-2	160.9
7	Eoa	eoa	0.4	2.0666666666666664	0.4	2.8666666666666663					-2	210.8	-2	233.33			0.4	151.8666666666667	0.4	167.9666666666667	0.4	197.8466666666667																																									-2	150.0	-2	150.73	-2	154.01	-2	156.14									-2	149.77	-2	150.69	-2	157.26	-2	160.24																																																																
10	oEE	oee			0.5	3.3666666666666663					-2	208.8	-2	231.33			0.5	152.3666666666667	0.5	168.4666666666667	0.5	198.3466666666667																																																																																																									-2	150.13	-2	150.9	-2	152.06	-2	153.23									-2	151.85	-2	153.99	-2	155.67	-2	158.9
11	uuI	yyi	0.3333333333333333	2.4	0.3333333333333333	3.6999999999999997			-2	185.96	-2	206.8	-2	229.33	0.3333333333333333	151.80000000000004	0.3333333333333333	152.70000000000005	0.3333333333333333	168.80000000000004	0.3333333333333333	198.68000000000004																																																																																																																																
12	Ioo	iOO	0.3333333333333333	2.7333333333333334	0.3333333333333333	4.033333333333333	-2	156.93	-2	183.96	-2	204.8	-2	227.33	0.3333333333333333	152.13333333333338	0.3333333333333333	153.0333333333334	0.3333333333333333	169.13333333333338	0.3333333333333333	199.01333333333338																																																																																																																																
13	oIo	oio			0.4	4.433333333333334							-2	225.33	0.4	152.5333333333334	0.4	153.4333333333334	0.4	169.5333333333334	0.4	199.41333333333338																																																									-2	147.77	-2	148.69	-2	155.26	-2	158.24																																													-2	150.06	-2	151.23													-2	153.67	-2	156.9
14	Ia	ia	0.3333333333333333	3.066666666666667	0.3333333333333333	4.766666666666667							-2	223.33	0.3333333333333333	152.86666666666673	0.3333333333333333	153.76666666666674	0.3333333333333333	169.86666666666673	0.3333333333333333	199.74666666666673																																																													-2	153.26	-2	156.24																																																																
15	Eu	eu	0.4	3.466666666666667	0.4	5.166666666666667					-2	202.8	-2	221.33			0.4	154.16666666666674	0.4	170.26666666666674	0.4	200.14666666666673																																													-2	152.01	-2	154.14													-2	151.26	-2	154.24																																																																
16	oIu	oiu			0.4	5.566666666666667							-2	219.33	0.4	153.26666666666674	0.4	154.56666666666675	0.4	170.66666666666674	0.4	200.54666666666674																																																													-2	149.26	-2	152.24																																													-2	148.06	-2	149.23													-2	151.67	-2	154.9
17	Eoo	eoo	0.4	3.8666666666666667	0.4	5.966666666666668					-2	200.8	-2	217.33			0.4	154.96666666666675	0.4	171.06666666666675	0.4	200.94666666666674																																									-2	148.0	-2	148.73	-2	150.01	-2	152.14									-2	145.77	-2	146.69	-2	147.26	-2	150.24																																																																
18	uaI	uai			0.4	6.366666666666668							-2	215.33	0.4	153.66666666666674	0.4	155.36666666666676	0.4	171.46666666666675	0.4	201.34666666666675																																																																																																																													-2	149.67	-2	152.9
19	uE	ue			0.5	6.866666666666668					-2	198.8	-2	213.33			0.5	155.86666666666676	0.5	171.96666666666675	0.5	201.84666666666675																																																																																																																									-2	149.85	-2	151.99	-2	147.67	-2	150.9
21	EaE	eae	0.4	4.266666666666667	0.4	7.266666666666668					-2	196.8	-2	211.33			0.4	156.26666666666677	0.4	172.36666666666676	0.4	202.24666666666675																																													-2	148.01	-2	150.14													-2	145.26	-2	148.24																																																									-2	147.85	-2	149.99	-2	145.67	-2	148.9
22	oao	OAO	0.5	4.766666666666667	0.5	7.766666666666668	-2	154.93	-2	181.96	-2	194.8	-2	209.33					0.5	172.86666666666676	0.5	202.74666666666675																																																																																																																																
23	uou	yOy	0.5	5.266666666666667	0.5	8.26666666666667	-2	152.93	-2	179.96	-2	192.8	-2	207.33					0.5	173.36666666666676	0.5	203.24666666666675																																																																																																																																
24	Iu	iy	0.3333333333333333	5.6	0.3333333333333333	8.600000000000003			-2	177.96	-2	190.8	-2	205.33	0.3333333333333333	154.00000000000009	0.3333333333333333	156.6000000000001	0.3333333333333333	173.7000000000001	0.3333333333333333	203.5800000000001																																																																																																																																
25	uuI	yyi	0.3333333333333333	5.933333333333333	0.3333333333333333	8.933333333333337			-2	175.96	-2	188.8	-2	203.33	0.3333333333333333	154.33333333333343	0.3333333333333333	156.93333333333345	0.3333333333333333	174.03333333333345	0.3333333333333333	203.91333333333344																																																																																																																																
27	yOA	uoa	0.3333333333333333	6.266666666666666	0.3333333333333333	9.266666666666671	0.3333333333333333	153.26333333333335	0.3333333333333333	176.29333333333335	0.3333333333333333	189.13333333333335	0.3333333333333333	203.66333333333336					-2	172.03333333333345	-2	201.91333333333344																																																																																																																																
28	Iau	iau	0.3333333333333333	6.599999999999999	0.3333333333333333	9.600000000000005							-2	201.66333333333336	0.3333333333333333	154.66666666666677	0.3333333333333333	157.2666666666668	0.3333333333333333	172.3666666666668	0.3333333333333333	202.24666666666678																																																													-2	143.26	-2	146.24																																																																
