trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		163.23		189.19		202.53		229.57999999999998		154.79		169.23		183.66		212.53		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		151.83		152.34		153.61		154.67		157.32		159.65		150.0		150.0		150.0		150.0		150.0		150.0		151.07		151.76		150.0		150.0		150.0		150.0		150.0		150.0		152.95		154.25		150.0		150.0		150.0		150.0		150.0		150.0		154.93		156.93		150.0		150.0		150.0		150.0		150.0		150.0		158.51		161.68
1	oII	Oii	0.4	0.4	0	0	-2	161.23	-2	187.19	-2	200.53	-2	227.57999999999998	0.4	155.19	0.4	169.63	0.4	184.06	0.4	212.93																																																																																																																																
6	uI	ui			0.4	0.4							-2	225.57999999999998	0.4	155.59	0.4	170.03	0.4	184.46	0.4	213.33																																																																																																																													-2	156.51	-2	159.68
8	EI	ei	0.4	0.8	0	0.4					-2	198.53	-2	223.57999999999998	0.4	155.99	0.4	170.43	0.4	184.86	0.4	213.73000000000002																																																																																																																																
10	Iuu	iyy	0.4	1.2000000000000002	0	0.4			-2	185.19	-2	196.53	-2	221.57999999999998	0.4	156.39000000000001	0.4	170.83	0.4	185.26000000000002	0.4	214.13000000000002																																																																																																																																
12	oIo	OiO	0.4	1.6	0	0.4	-2	159.23	-2	183.19	-2	194.53	-2	219.57999999999998	0.4	156.79000000000002	0.4	171.23000000000002	0.4	185.66000000000003	0.4	214.53000000000003																																																																																																																																
13	IoI	ioi	0.4	2.0	0	0.4							-2	217.57999999999998	0.4	157.19000000000003	0.4	171.63000000000002	0.4	186.06000000000003	0.4	214.93000000000004																																																									-2	151.61	-2	152.67	-2	155.32	-2	157.65																																													-2	152.93	-2	154.93													-2	154.51	-2	157.68
15	iOi	ioi			0.4	0.8	0.4	159.63	0.4	183.59	0.4	194.93	0.4	217.98					-2	184.06000000000003	-2	212.93000000000004																																																									-2	149.61	-2	150.67	-2	153.32	-2	155.65																																													-2	150.93	-2	152.93													-2	152.51	-2	155.68
16	Ioa	ioa	0.4	2.4	0	0.8							-2	215.98	0.4	157.59000000000003	0.4	172.03000000000003	0.4	184.46000000000004	0.4	213.33000000000004																																																									-2	147.61	-2	148.67	-2	151.32	-2	153.65																																																																
17	EuI	Eui			0.4	1.2000000000000002							-2	213.98	0.4	157.99000000000004	0.4	172.43000000000004	0.4	184.86000000000004	0.4	213.73000000000005																																																																																															-2	152.25															-2	150.93													-2	150.51	-2	153.68
