trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		155.83		167.05		190.06		214.24		150.0		155.44		179.7		227.64		150.0		150.0		150.0		150.0		151.06		152.0		153.49		156.52		150.0		150.0		150.0		150.0		153.47		156.65		160.38		169.29		150.0		150.0		150.0		150.0		156.09		159.16		168.44		177.79		150.0		150.0		150.0		150.0		158.95		161.98		176.85		185.82		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		151.1		151.76		152.15		153.2		150.0		150.0		150.0		150.0		153.71		155.16		157.66		159.99		150.0		150.0		150.0		150.0		159.11		161.97		168.63		173.31
0	Apriori	Id(Bk)Syl1>>Id(Bk)	20	20																																																																																																																																																		
1	iAe	iae			0.5	0.5			0.5	167.55	0.5	190.56	0.5	214.74							-2	225.64																																																													-2	174.85	-2	183.82																																																									-2	157.11	-2	159.97	-2	166.63	-2	171.31
1	Apriori	Id(Bk)Syl1>>Id(Bk)	0.5	20.5																																																																																																																																																			
2	iyA	iua			0.5	1.0			0.5	168.05	0.5	191.06	0.5	215.24							-2	223.64																																																													-2	172.85	-2	181.82																																																																
2	Apriori	Id(Bk)Syl1>>Id(Bk)	0.5	21.0																																																																																																																																																			
3	Ayy	Auu			0.5	1.5			0.5	168.55	0.5	191.56	0.5	215.74							-2	221.64																													-2	158.38	-2	167.29													-2	166.44	-2	175.79													-2	170.85	-2	179.82																																																																
3	Apriori	Id(Bk)Syl1>>Id(Bk)	0.5	21.5																																																																																																																																																			
4	Aey	Aeu			0.5	2.0			0.5	169.05	0.5	192.06	0.5	216.24							-2	219.64																															-2	165.29													-2	164.44	-2	173.79													-2	168.85	-2	177.82																																																																
4	Apriori	Id(Bk)Syl1>>Id(Bk)	0.5	22.0																																																																																																																																																			
6	Oi	oi	0.4	22.4	0	2.0	0.4	156.23000000000002	0.4	169.45000000000002	0.4	192.46	0.4	216.64000000000001					-2	177.7	-2	217.64																																																																																																													-2	155.66	-2	157.99													-2	164.63	-2	169.31
7	yee	uee	0.5	22.9	0	2.0			0.5	169.95000000000002	0.5	192.96	0.5	217.14000000000001							-2	215.64																																																																																																																									-2	155.11	-2	157.97	-2	162.63	-2	167.31
8	Ay	au	0.5	23.4	0	2.0			0.5	170.45000000000002	0.5	193.46	0.5	217.64000000000001							-2	213.64																																																																																																																																
9	ouI	oui			0.4	2.4							-2	215.64000000000001	0.4	150.4	0.4	155.84	0.4	178.1	0.4	214.04																																																																																																															-2	155.99													-2	160.63	-2	165.31
11	aoa	Aoa	1.0	24.4	0	2.4			-2	168.45000000000002	-2	191.46	-2	213.64000000000001							1.0	215.04																									-2	151.47	-2	154.65	-2	156.38	-2	163.29									-2	154.09	-2	157.16	-2	162.44	-2	171.79									-2	156.95	-2	159.98	-2	166.85	-2	175.82																																																																
12	AiA	Aia			0.5	2.9			0.5	168.95000000000002	0.5	191.96	0.5	214.14000000000001							-2	213.04																															-2	161.29															-2	169.79													-2	164.85	-2	173.82																																																																
13	ye	ue	0.5	24.9	0	2.9			0.5	169.45000000000002	0.5	192.46	0.5	214.64000000000001							-2	211.04																																																																																																																									-2	153.11	-2	155.97	-2	158.63	-2	163.31
14	eiy	eiu			0.5	3.4			0.5	169.95000000000002	0.5	192.96	0.5	215.14000000000001							-2	209.04																																															-2	167.79													-2	162.85	-2	171.82																																																																
15	Ea	ea	0.5	25.4	0	3.4					-2	190.96	-2	213.14000000000001			0.5	156.34	0.5	178.6	0.5	209.54																																													-2	160.44	-2	165.79													-2	160.85	-2	169.82																																																																
16	auo	Auo	1.0	26.4	0	3.4			-2	167.95000000000002	-2	188.96	-2	211.14000000000001							1.0	210.54																											-2	152.65	-2	154.38	-2	159.29											-2	155.16	-2	158.44	-2	163.79											-2	157.98	-2	158.85	-2	167.82																																																																
17	Aiy	aiu	0.5	26.9	0	3.4			0.5	168.45000000000002	0.5	189.46	0.5	211.64000000000001							-2	208.54																																																													-2	156.85	-2	165.82																																																													-2	156.63	-2	161.31
18	EuI	Eui			0.4	3.8							-2	209.64000000000001	0.4	150.8	0.4	156.74	0.4	179.0	0.4	208.94																																																																																															-2	151.2															-2	153.99													-2	154.63	-2	159.31
19	uoE	yoe	0.5	27.4	0	3.8			-2	166.45000000000002	-2	187.46	-2	207.64000000000001			0.5	157.24	0.5	179.5	0.5	209.44																									-2	149.47	-2	150.65	-2	152.38	-2	157.29									-2	152.09	-2	153.16	-2	156.44	-2	161.79									-2	154.95	-2	155.98	-2	154.85	-2	163.82																																									-2	151.71	-2	153.16	-2	153.66	-2	151.99									-2	151.11	-2	153.97	-2	152.63	-2	157.31
20	eAe	Eae	0.5	27.9	0	3.8			0.5	166.95000000000002	0.5	187.96	0.5	208.14000000000001			-2	155.24	-2	177.5	-2	207.44																																																																																											-2	149.76			-2	149.2											-2	151.16			-2	149.99									-2	149.11	-2	151.97	-2	150.63	-2	155.31
23	oaE	oae			0.5	4.3					-2	185.96	-2	206.14000000000001			0.5	155.74	0.5	178.0	0.5	207.94																																																																																																											-2	149.16			-2	147.99									-2	147.11	-2	149.97	-2	148.63	-2	153.31
24	aEu	Aeu	0.5	28.4	0	4.3			-2	164.95000000000002	-2	183.96	-2	204.14000000000001			0.5	156.24	0.5	178.5	0.5	208.44																															-2	155.29													-2	154.44	-2	159.79													-2	152.85	-2	161.82																																																																
25	ey	Eu	0.5	28.9	0	4.3			0.5	165.45000000000002	0.5	184.46	0.5	204.64000000000001			-2	154.24	-2	176.5	-2	206.44																																																																																																																																
26	aoo	Aoo	1.0	29.9	0	4.3			-2	163.45000000000002	-2	182.46	-2	202.64000000000001							1.0	207.44																									-2	147.47	-2	148.65	-2	150.38	-2	153.29									-2	150.09	-2	151.16	-2	152.44	-2	157.79									-2	152.95	-2	153.98	-2	150.85	-2	159.82																																																																
27	OA	oa	0.4	30.299999999999997	0	4.3	0.4	156.63000000000002	0.4	163.85000000000002	0.4	182.86	0.4	203.04000000000002					-2	174.5	-2	205.44																																																																																																																																
28	yy	yu			0.5	4.8			0.5	164.35000000000002	0.5	183.36	0.5	203.54000000000002							-2	203.44																													-2	148.38	-2	151.29													-2	150.44	-2	155.79													-2	148.85	-2	157.82																																																																
29	EEo	eeo	0.5	30.799999999999997	0	4.8					-2	181.36	-2	201.54000000000002			0.5	154.74	0.5	175.0	0.5	203.94																																									-2	148.09	-2	149.16	-2	148.44	-2	153.79									-2	150.95	-2	151.98	-2	146.85	-2	155.82																																																																
30	yiy	yiu			0.5	5.3			0.5	164.85000000000002	0.5	181.86	0.5	202.04000000000002							-2	201.94																															-2	149.29															-2	151.79													-2	144.85	-2	153.82																																																																
32	yeA	yea			0.5	5.8			0.5	165.35000000000002	0.5	182.36	0.5	202.54000000000002							-2	199.94																															-2	147.29													-2	146.44	-2	149.79													-2	142.85	-2	151.82																																																																
33	uou	you	1.0	31.799999999999997	0	5.8			-2	163.35000000000002	-2	180.36	-2	200.54000000000002							1.0	200.94																									-2	145.47	-2	146.65	-2	146.38	-2	145.29									-2	146.09	-2	147.16	-2	144.44	-2	147.79									-2	148.95	-2	149.98	-2	140.85	-2	149.82																																																																
35	OOO	ooo	0.4	32.199999999999996	0	5.8	0.4	157.03000000000003	0.4	163.75000000000003	0.4	180.76000000000002	0.4	200.94000000000003					-2	173.0	-2	198.94																																																																																																																																
36	eyy	euu			0.5	6.3			0.5	164.25000000000003	0.5	181.26000000000002	0.5	201.44000000000003							-2	196.94																																													-2	142.44	-2	145.79													-2	138.85	-2	147.82																																																																
37	ooI	Ooi	0.4	32.599999999999994	0	6.3	-2	155.03000000000003	-2	162.25000000000003	-2	179.26000000000002	-2	199.44000000000003	0.4	151.20000000000002	0.4	155.14000000000001	0.4	173.4	0.4	197.34									-2	149.06	-2	150.0	-2	151.49	-2	154.52									-2	143.47	-2	144.65	-2	144.38	-2	143.29									-2	144.09	-2	145.16	-2	140.44	-2	143.79									-2	146.95	-2	147.98	-2	136.85	-2	145.82																																													-2	151.66	-2	145.99													-2	146.63	-2	151.31
38	IEE	iee	0.4	32.99999999999999	0	6.3					-2	177.26000000000002	-2	197.44000000000003	0.4	151.60000000000002	0.4	155.54000000000002	0.4	173.8	0.4	197.74																																																																																																																																
39	uEI	uei			0.4	6.7					-2	175.26000000000002	-2	195.44000000000003	0.4	152.00000000000003	0.4	155.94000000000003	0.4	174.20000000000002	0.4	198.14000000000001																																																																																																																									-2	145.11	-2	147.97	-2	144.63	-2	149.31
40	eyy	Euu	0.5	33.49999999999999	0	6.7			0.5	162.75000000000003	0.5	175.76000000000002	0.5	195.94000000000003			-2	153.94000000000003	-2	172.20000000000002	-2	196.14000000000001																																																																																																																																
41	iOy	iou			0.4	7.1000000000000005	0.4	155.43000000000004	0.4	163.15000000000003	0.4	176.16000000000003	0.4	196.34000000000003					-2	170.20000000000002	-2	194.14000000000001																																																									-2	144.95	-2	145.98	-2	134.85	-2	143.82																																																																
42	uEE	uee			0.5	7.6000000000000005					-2	174.16000000000003	-2	194.34000000000003			0.5	154.44000000000003	0.5	170.70000000000002	0.5	194.64000000000001																																																																																																																									-2	143.11	-2	145.97	-2	142.63	-2	147.31
44	AAy	Aau			0.5	8.100000000000001			0.5	163.65000000000003	0.5	174.66000000000003	0.5	194.84000000000003							-2	192.64000000000001																													-2	142.38	-2	141.29													-2	138.44	-2	141.79													-2	132.85	-2	141.82																																																																
46	Iua	iua	0.4	33.89999999999999	0	8.100000000000001							-2	192.84000000000003	0.4	152.40000000000003	0.4	154.84000000000003	0.4	171.10000000000002	0.4	193.04000000000002																																																													-2	130.85	-2	139.82																																																																
47	AyA	aua	0.5	34.39999999999999	0	8.100000000000001			0.5	164.15000000000003	0.5	175.16000000000003	0.5	193.34000000000003							-2	191.04000000000002																																																																																																																																
48	EoE	Eoe			0.5	8.600000000000001					-2	173.16000000000003	-2	191.34000000000003			0.5	155.34000000000003	0.5	171.60000000000002	0.5	191.54000000000002																																																																																											-2	147.76			-2	147.2									-2	149.71	-2	147.16	-2	149.66	-2	143.99									-2	141.11	-2	143.97	-2	140.63	-2	145.31
49	EoE	Eoe			0.5	9.100000000000001					-2	171.16000000000003	-2	189.34000000000003			0.5	155.84000000000003	0.5	172.10000000000002	0.5	192.04000000000002																																																																																											-2	145.76			-2	145.2									-2	147.71	-2	145.16	-2	147.66	-2	141.99									-2	139.11	-2	141.97	-2	138.63	-2	143.31
50	Oe	oe	0.4	34.79999999999999	0	9.100000000000001	0.4	155.83000000000004	0.4	164.55000000000004	0.4	171.56000000000003	0.4	189.74000000000004					-2	170.10000000000002	-2	190.04000000000002																																																																																																									-2	145.71	-2	143.16	-2	145.66	-2	139.99									-2	137.11	-2	139.97	-2	136.63	-2	141.31
52	eAO	eao			0.4	9.500000000000002	0.4	156.23000000000005	0.4	164.95000000000005	0.4	171.96000000000004	0.4	190.14000000000004					-2	168.10000000000002	-2	188.04000000000002																																											-2	143.16	-2	136.44	-2	139.79											-2	143.98	-2	128.85	-2	137.82																																																																
53	iyA	iua			0.5	10.000000000000002			0.5	165.45000000000005	0.5	172.46000000000004	0.5	190.64000000000004							-2	186.04000000000002																																																													-2	126.85	-2	135.82																																																																
54	EIa	Eia			0.4	10.400000000000002							-2	188.64000000000004	0.4	152.80000000000004	0.4	156.24000000000004	0.4	168.50000000000003	0.4	186.44000000000003																																																													-2	124.85	-2	133.82																													-2	150.15	-2	143.2													-2	143.66	-2	137.99													-2	134.63	-2	139.31
55	uu	yu	1.0	35.79999999999999	0	10.400000000000002			-2	163.45000000000005	-2	170.46000000000004	-2	186.64000000000004							1.0	187.44000000000003																													-2	140.38	-2	139.29													-2	134.44	-2	137.79													-2	122.85	-2	131.82																																																																
56	yeA	uea	0.5	36.29999999999999	0	10.400000000000002			0.5	163.95000000000005	0.5	170.96000000000004	0.5	187.14000000000004							-2	185.44000000000003																																													-2	132.44	-2	135.79													-2	120.85	-2	129.82																																																									-2	135.11	-2	137.97	-2	132.63	-2	137.31
57	IE	ie	0.4	36.69999999999999	0	10.400000000000002					-2	168.96000000000004	-2	185.14000000000004	0.4	153.20000000000005	0.4	156.64000000000004	0.4	168.90000000000003	0.4	185.84000000000003																																																																																																																																
58	AOi	aoi	0.4	37.09999999999999	0	10.400000000000002	0.4	156.63000000000005	0.4	164.35000000000005	0.4	169.36000000000004	0.4	185.54000000000005					-2	166.90000000000003	-2	183.84000000000003																																																																																																													-2	141.66	-2	135.99													-2	130.63	-2	135.31
59	aoI	Aoi	0.4	37.499999999999986	0	10.400000000000002			-2	162.35000000000005	-2	167.36000000000004	-2	183.54000000000005	0.4	153.60000000000005	0.4	157.04000000000005	0.4	167.30000000000004	0.4	184.24000000000004																									-2	141.47	-2	142.65	-2	138.38	-2	137.29									-2	142.09	-2	141.16	-2	130.44	-2	133.79									-2	142.95	-2	141.98	-2	118.85	-2	127.82																																													-2	139.66	-2	133.99													-2	128.63	-2	133.31
60	auu	Auu	1.0	38.499999999999986	0	10.400000000000002			-2	160.35000000000005	-2	165.36000000000004	-2	181.54000000000005							1.0	185.24000000000004																													-2	136.38	-2	135.29													-2	128.44	-2	131.79													-2	116.85	-2	125.82																																																																
61	AyA	aua	0.5	38.999999999999986	0	10.400000000000002			0.5	160.85000000000005	0.5	165.86000000000004	0.5	182.04000000000005							-2	183.24000000000004																																																																																																																																
62	yOi	yoi			0.4	10.800000000000002	0.4	157.03000000000006	0.4	161.25000000000006	0.4	166.26000000000005	0.4	182.44000000000005					-2	165.30000000000004	-2	181.24000000000004																									-2	139.47	-2	140.65	-2	134.38	-2	133.29									-2	140.09	-2	139.16	-2	126.44	-2	129.79									-2	140.95	-2	139.98	-2	114.85	-2	123.82																																													-2	137.66	-2	131.99													-2	126.63	-2	131.31
64	IoI	ioi	0.4	39.399999999999984	0	10.800000000000002							-2	180.44000000000005	0.4	154.00000000000006	0.4	157.44000000000005	0.4	165.70000000000005	0.4	181.64000000000004																																																									-2	138.95	-2	137.98	-2	112.85	-2	121.82																																													-2	135.66	-2	129.99													-2	124.63	-2	129.31
66	yi	ui	0.5	39.899999999999984	0	10.800000000000002			0.5	161.75000000000006	0.5	166.76000000000005	0.5	180.94000000000005							-2	179.64000000000004																																																																																																																													-2	122.63	-2	127.31
67	Iuu	iuu	0.4	40.29999999999998	0	10.800000000000002							-2	178.94000000000005	0.4	154.40000000000006	0.4	157.84000000000006	0.4	166.10000000000005	0.4	180.04000000000005																																																													-2	110.85	-2	119.82																																																																
68	uo	yo	1.0	41.29999999999998	0	10.800000000000002			-2	159.75000000000006	-2	164.76000000000005	-2	176.94000000000005							1.0	181.04000000000005																									-2	137.47	-2	138.65	-2	132.38	-2	131.29									-2	138.09	-2	137.16	-2	124.44	-2	127.78999999999999									-2	136.95	-2	135.98	-2	108.85	-2	117.82																																																																
