trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		164.04		192.67000000000002		219.7		246.81		150.0		150.0		164.99		195.39		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		151.99		152.78		155.69		157.98		150.0		150.0		150.0		150.0		153.8		155.09		161.9		165.5		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		151.67		152.33		153.64		154.61		150.0		150.0		150.0		150.0		155.86		157.93		161.73		164.82
0	Apriori	Id(Bk)Syl1>>Id(Bk)	30	30																																																																																																																																																		
1	Iou	iou	0.4	30.4	0	0							-2	244.81	0.4	150.4	0.4	150.4	0.4	165.39000000000001	0.4	195.79																																																									-2	151.8	-2	153.09	-2	159.9	-2	163.5																																																																
2	ooI	OOi	0.4	30.799999999999997	0	0	-2	162.04	-2	190.67000000000002	-2	217.7	-2	242.81	0.4	150.8	0.4	150.8	0.4	165.79000000000002	0.4	196.19																																																																																																																																
3	aEa	AeA	0.5	31.299999999999997	0	0			-2	188.67000000000002	-2	215.7	-2	240.81			0.5	151.3	0.5	166.29000000000002	0.5	196.69																																																																																																																																
4	Eoo	eoo	0.5	31.799999999999997	0	0					-2	213.7	-2	238.81			0.5	151.8	0.5	166.79000000000002	0.5	197.19																																									-2	149.99	-2	150.78	-2	153.69	-2	155.98									-2	149.8	-2	151.09	-2	157.9	-2	161.5																																																																
7	Eu	ey	0.5	32.3	0	0			-2	186.67000000000002	-2	211.7	-2	236.81			0.5	152.3	0.5	167.29000000000002	0.5	197.69																																																																																																																																
8	uu	yy	1.0	33.3	0	0			-2	184.67000000000002	-2	209.7	-2	234.81							1.0	198.69																																																																																																																																
9	auI	aui			0.4	0.4							-2	232.81	0.4	151.20000000000002	0.4	152.70000000000002	0.4	167.69000000000003	0.4	199.09																																																																																																																													-2	159.73	-2	162.82
10	Iau	iAy	0.4	33.699999999999996	0	0.4			-2	182.67000000000002	-2	207.7	-2	230.81	0.4	151.60000000000002	0.4	153.10000000000002	0.4	168.09000000000003	0.4	199.49																																																																																																																																
11	uIa	uia			0.4	0.8							-2	228.81	0.4	152.00000000000003	0.4	153.50000000000003	0.4	168.49000000000004	0.4	199.89000000000001																																																													-2	155.9	-2	159.5																																																													-2	157.73	-2	160.82
