trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		162.29		188.21		201.31		227.85		154.78		170.04		184.37		213.72		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		151.81		152.47		153.66		154.98		157.24		159.86		150.0		150.0		150.0		150.0		150.0		150.0		150.99		151.58		150.0		150.0		150.0		150.0		150.0		150.0		152.87		153.99		150.0		150.0		150.0		150.0		150.0		150.0		154.51		156.32		150.0		150.0		150.0		150.0		150.0		150.0		158.25		161.16
1	IaE	iaE	0.9090909090909091	0.9090909090909091	0.9090909090909091	0.9090909090909091							-2	225.85	0.9090909090909091	155.6890909090909	0.9090909090909091	170.9490909090909	0.9090909090909091	185.2790909090909	0.9090909090909091	214.6290909090909																																																							-2	150.47			-2	152.98	-2	155.24	-2	157.86																																																																
3	III	iii	0.2857142857142857	1.1948051948051948	0.2857142857142857	1.1948051948051948							-2	223.85	0.2857142857142857	155.97480519480519	0.2857142857142857	171.23480519480518	0.2857142857142857	185.5648051948052	0.2857142857142857	214.91480519480518																																																																																																																																
6	Eoo	eOO	0.8888888888888888	2.0836940836940836	0.8888888888888888	2.0836940836940836	-2	160.29	-2	186.21	-2	199.31	-2	221.85			0.8888888888888888	172.12369408369406	0.8888888888888888	186.45369408369407	0.8888888888888888	215.80369408369407																																																																																																																																
9	uIa	uia			1.0	3.0836940836940836							-2	219.85	1.0	156.97480519480519	1.0	173.12369408369406	1.0	187.45369408369407	1.0	216.80369408369407																																																													-2	153.24	-2	155.86																																																													-2	156.25	-2	159.16
10	Iu	iu	0.6666666666666666	2.75036075036075	0.6666666666666666	3.75036075036075							-2	217.85	0.6666666666666666	157.64147186147184	0.6666666666666666	173.79036075036072	0.6666666666666666	188.12036075036073	0.6666666666666666	217.47036075036073																																																													-2	151.24	-2	153.86																																																																
11	IuI	iui	0.9090909090909091	3.6594516594516593	0.9090909090909091	4.659451659451659							-2	215.85	0.9090909090909091	158.55056277056275	0.9090909090909091	174.69945165945163	0.9090909090909091	189.02945165945164	0.9090909090909091	218.37945165945163																																																													-2	149.24	-2	151.86																																																													-2	154.25	-2	157.16
13	iAi	iai			1.1111111111111112	5.770562770562771			1.1111111111111112	187.32111111111112	1.1111111111111112	200.42111111111112	1.1111111111111112	216.9611111111111							-2	216.37945165945163																																																													-2	147.24	-2	149.86																																																													-2	152.25	-2	155.16
14	AeA	aEa	0.75	4.409451659451659	0.75	6.520562770562771			0.75	188.07111111111112	0.75	201.17111111111112	0.75	217.7111111111111			-2	172.69945165945163	-2	187.02945165945164	-2	214.37945165945163																																																																																																																																
15	EEE	eee	0.5714285714285714	4.9808802308802305	0.5714285714285714	7.091991341991342					-2	199.17111111111112	-2	215.7111111111111			0.5714285714285714	173.2708802308802	0.5714285714285714	187.60088023088022	0.5714285714285714	214.95088023088022																																																																																																																																
17	EII	Eii			1.1666666666666667	8.258658008658008							-2	213.7111111111111	1.1666666666666667	159.7172294372294	1.1666666666666667	174.43754689754687	1.1666666666666667	188.76754689754688	1.1666666666666667	216.11754689754687																																																																																													-2	150.87	-2	151.99													-2	152.51	-2	154.32													-2	150.25	-2	153.16
20	aII	aii			0.75	9.008658008658008							-2	211.7111111111111	0.75	160.4672294372294	0.75	175.18754689754687	0.75	189.51754689754688	0.75	216.86754689754687																																																																																																																													-2	148.25	-2	151.16
