trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		176.07999999999998		229.51999999999998		255.48		309.4		159.52		188.08		216.18		273.84		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		153.74		154.9		157.14		159.58		164.44		169.32		150.0		150.0		150.0		150.0		150.0		150.0		152.0		153.34		150.0		150.0		150.0		150.0		150.0		150.0		155.98		158.46		150.0		150.0		150.0		150.0		150.0		150.0		159.6		163.16		150.0		150.0		150.0		150.0		150.0		150.0		166.9		172.96
1	uIu	uiu			2	2							-2	307.4	2	161.52	2	190.08	2	218.18	2	275.84																																																													-2	162.44	-2	167.32																																																													-2	164.9	-2	170.96
2	IaI	iAi	2	2	2	4			-2	227.51999999999998	-2	253.48	-2	305.4	2	163.52	2	192.08	2	220.18	2	277.84																																																																																																																																
3	auo	AyO	2	4	2	6	-2	174.07999999999998	-2	225.51999999999998	-2	251.48	-2	303.4					2	222.18	2	279.84																																																																																																																																
6	uIu	yiy	2	6	2	8			-2	223.51999999999998	-2	249.48	-2	301.4	2	165.52	2	194.08	2	224.18	2	281.84																																																																																																																																
10	oI	Oi	2	8	2	10	-2	172.07999999999998	-2	221.51999999999998	-2	247.48	-2	299.4	2	167.52	2	196.08	2	226.18	2	283.84																																																																																																																																
11	uIa	yiA	2	10	2	12			-2	219.51999999999998	-2	245.48	-2	297.4	2	169.52	2	198.08	2	228.18	2	285.84																																																																																																																																
12	uaI	yAi	2	12	2	14			-2	217.51999999999998	-2	243.48	-2	295.4	2	171.52	2	200.08	2	230.18	2	287.84																																																																																																																																
13	EE	ee	2	14	2	16					-2	241.48	-2	293.4			2	202.08	2	232.18	2	289.84																																																																																																																																
14	aE	Ae	2	16	2	18			-2	215.51999999999998	-2	239.48	-2	291.4			2	204.08	2	234.18	2	291.84																																																																																																																																
