trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		161.0		183.06		231.34		278.6		150.0		161.06		209.34		304.24		150.0		150.0		150.0		150.0		152.28		153.84		156.64		162.1		150.0		150.0		150.0		150.0		156.88		161.94		169.76		186.46		150.0		150.0		150.0		150.0		162.86		168.04		186.8		203.8		150.0		150.0		150.0		150.0		168.92000000000002		173.82		203.72		219.57999999999998		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		152.46		153.78		154.56		156.76		150.0		150.0		150.0		150.0		158.24		161.42		165.86		170.74		150.0		150.0		150.0		150.0		169.66		175.64		188.46		197.78
1	yOe	yoe			2	2	2	163.0	2	185.06	2	233.34	2	280.6					-2	207.34	-2	302.24																									-2	154.88	-2	159.94	-2	167.76	-2	184.46									-2	160.86	-2	166.04	-2	184.8	-2	201.8									-2	166.92000000000002	-2	171.82	-2	201.72	-2	217.57999999999998																																									-2	156.24	-2	159.42	-2	163.86	-2	168.74									-2	167.66	-2	173.64	-2	186.46	-2	195.78
2	iyO	iuo			2	4	2	165.0	2	187.06	2	235.34	2	282.6					-2	205.34	-2	300.24																																																											-2	169.82	-2	199.72	-2	215.57999999999998																																																																
3	eyy	Euu	2	2	0	4			2	189.06	2	237.34	2	284.6			-2	159.06	-2	203.34	-2	298.24																																																																																																																																
5	AAA	aaa	2	4	0	4			2	191.06	2	239.34	2	286.6							-2	296.24																																																																																																																																
6	ei	Ei	2	6	0	4					2	241.34	2	288.6			-2	157.06	-2	201.34	-2	294.24																																																																																													-2	152.56	-2	154.76													-2	161.86	-2	166.74													-2	184.46	-2	193.78
7	OA	Oa			2	6			2	193.06	2	243.34	2	290.6							-2	292.24													-2	154.64	-2	160.1													-2	165.76	-2	182.46													-2	182.8	-2	199.8													-2	197.72	-2	213.57999999999998																																																																
9	AOi	Aoi			2	8	2	167.0	2	195.06	2	245.34	2	292.6					-2	199.34	-2	290.24																									-2	152.88	-2	157.94	-2	163.76	-2	180.46									-2	158.86	-2	164.04	-2	180.8	-2	197.8									-2	164.92000000000002	-2	167.82	-2	195.72	-2	211.57999999999998																																													-2	159.86	-2	164.74													-2	182.46	-2	191.78
10	EEE	Eee			2	10					-2	243.34	-2	290.6			2	159.06	2	201.34	2	292.24																																																																																									-2	150.46	-2	151.78	-2	150.56	-2	152.76									-2	154.24	-2	157.42	-2	157.86	-2	162.74									-2	165.66	-2	171.64	-2	180.46	-2	189.78
11	yii	uii	2	8	0	10			2	197.06	2	245.34	2	292.6							-2	290.24																																																																																																																													-2	178.46	-2	187.78
