trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		179.8		237.4		291.12		344.3		150.0		150.0		179.64		239.26		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		153.9		155.12		160.72		164.38		150.0		150.0		150.0		150.0		157.12		159.16		171.94		177.8		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		153.64		155.34		157.38		159.76		150.0		150.0		150.0		150.0		161.48		165.8		173.12		179.44
3	uua	yyA	0.6666666666666666	0.6666666666666666	0.6666666666666666	0.6666666666666666			-2	235.4	-2	289.12	-2	342.3							0.6666666666666666	239.92666666666665																																																																																																																																
5	oaI	OAi	0.3333333333333333	1.0	0.3333333333333333	1.0	-2	177.8	-2	233.4	-2	287.12	-2	340.3	0.3333333333333333	150.33333333333334	0.3333333333333333	150.33333333333334	0.3333333333333333	179.97333333333333	0.3333333333333333	240.26																																																																																																																																
7	EEI	eei	0.3333333333333333	1.3333333333333333	0.3333333333333333	1.3333333333333333					-2	285.12	-2	338.3	0.3333333333333333	150.66666666666669	0.3333333333333333	150.66666666666669	0.3333333333333333	180.30666666666667	0.3333333333333333	240.59333333333333																																																																																																																																
8	Ea	eA	0.4	1.7333333333333334	0.4	1.7333333333333334			-2	231.4	-2	283.12	-2	336.3			0.4	151.0666666666667	0.4	180.70666666666668	0.4	240.99333333333334																																																																																																																																
9	aaI	aai			0.4	2.1333333333333333							-2	334.3	0.4	151.0666666666667	0.4	151.4666666666667	0.4	181.10666666666668	0.4	241.39333333333335																																																																																																																													-2	171.12	-2	177.44
10	oII	oii			0.4	2.533333333333333							-2	332.3	0.4	151.4666666666667	0.4	151.8666666666667	0.4	181.5066666666667	0.4	241.79333333333335																																																																																																													-2	155.38	-2	157.76													-2	169.12	-2	175.44
12	Iaa	iAA	0.3333333333333333	2.066666666666667	0.3333333333333333	2.8666666666666667			-2	229.4	-2	281.12	-2	330.3	0.3333333333333333	151.80000000000004	0.3333333333333333	152.20000000000005	0.3333333333333333	181.84000000000003	0.3333333333333333	242.1266666666667																																																																																																																																
13	IIE	iie	0.3333333333333333	2.4000000000000004	0.3333333333333333	3.2					-2	279.12	-2	328.3	0.3333333333333333	152.13333333333338	0.3333333333333333	152.5333333333334	0.3333333333333333	182.17333333333337	0.3333333333333333	242.46000000000004																																																																																																																																
14	Euu	euu	0.4	2.8000000000000003	0.4	3.6					-2	277.12	-2	326.3			0.4	152.9333333333334	0.4	182.57333333333338	0.4	242.86000000000004																																													-2	158.72	-2	162.38													-2	169.94	-2	175.8																																																																
15	aau	AAy	0.6666666666666666	3.466666666666667	0.6666666666666666	4.266666666666667			-2	227.4	-2	275.12	-2	324.3							0.6666666666666666	243.5266666666667																																																																																																																																
16	uI	ui			0.4	4.666666666666667							-2	322.3	0.4	152.5333333333334	0.4	153.3333333333334	0.4	182.9733333333334	0.4	243.9266666666667																																																																																																																													-2	167.12	-2	173.44
17	EIu	eiy	0.3333333333333333	3.8000000000000003	0.3333333333333333	5.0			-2	225.4	-2	273.12	-2	320.3	0.3333333333333333	152.86666666666673	0.3333333333333333	153.66666666666674	0.3333333333333333	183.30666666666673	0.3333333333333333	244.26000000000005																																																																																																																																
18	oEa	OeA	0.4	4.2	0.4	5.4	-2	175.8	-2	223.4	-2	271.12	-2	318.3			0.4	154.06666666666675	0.4	183.70666666666673	0.4	244.66000000000005																																																																																																																																
19	oIa	oia			0.4	5.800000000000001							-2	316.3	0.4	153.26666666666674	0.4	154.46666666666675	0.4	184.10666666666674	0.4	245.06000000000006																																																													-2	167.94	-2	173.8																																													-2	153.38	-2	155.76													-2	165.12	-2	171.44
21	Eoa	eoa	0.4	4.6000000000000005	0.4	6.200000000000001					-2	269.12	-2	314.3			0.4	154.86666666666676	0.4	184.50666666666675	0.4	245.46000000000006																																									-2	151.9	-2	153.12	-2	156.72	-2	160.38									-2	155.12	-2	157.16	-2	165.94	-2	171.8																																																																
22	oEE	Oee	0.4	5.000000000000001	0.4	6.600000000000001	-2	173.8	-2	221.4	-2	267.12	-2	312.3			0.4	155.26666666666677	0.4	184.90666666666675	0.4	245.86000000000007																																																																																																																																
24	IoI	ioi	0.3333333333333333	5.333333333333334	0.3333333333333333	6.9333333333333345							-2	310.3	0.3333333333333333	153.60000000000008	0.3333333333333333	155.6000000000001	0.3333333333333333	185.2400000000001	0.3333333333333333	246.1933333333334																																																									-2	153.12	-2	155.16	-2	163.94	-2	169.8																																													-2	151.38	-2	153.76													-2	163.12	-2	169.44
25	oEa	OeA	0.4	5.733333333333334	0.4	7.333333333333335	-2	171.8	-2	219.4	-2	265.12	-2	308.3			0.4	156.0000000000001	0.4	185.6400000000001	0.4	246.59333333333342																																																																																																																																
26	IoE	iOe	0.3333333333333333	6.066666666666667	0.3333333333333333	7.666666666666668	-2	169.8	-2	217.4	-2	263.12	-2	306.3	0.3333333333333333	153.93333333333342	0.3333333333333333	156.33333333333346	0.3333333333333333	185.97333333333344	0.3333333333333333	246.92666666666676																																																																																																																																
29	IIo	iio	0.3333333333333333	6.4	0.3333333333333333	8.000000000000002							-2	304.3	0.3333333333333333	154.26666666666677	0.3333333333333333	156.6666666666668	0.3333333333333333	186.30666666666679	0.3333333333333333	247.2600000000001																																																									-2	151.12	-2	153.16	-2	161.94	-2	167.8																																																																
30	oIo	oio			0.4	8.400000000000002							-2	302.3	0.4	154.66666666666677	0.4	157.0666666666668	0.4	186.7066666666668	0.4	247.6600000000001																																																									-2	149.12	-2	151.16	-2	159.94	-2	165.8																																													-2	149.38	-2	151.76													-2	161.12	-2	167.44
31	uu	yy	0.6666666666666666	7.066666666666667	0.6666666666666666	9.066666666666668			-2	215.4	-2	261.12	-2	300.3							0.6666666666666666	248.32666666666677																																																																																																																																
32	EoI	eoi	0.3333333333333333	7.4	0.3333333333333333	9.400000000000002					-2	259.12	-2	298.3	0.3333333333333333	155.0000000000001	0.3333333333333333	157.40000000000015	0.3333333333333333	187.04000000000013	0.3333333333333333	248.6600000000001																																									-2	149.9	-2	151.12	-2	154.72	-2	158.38									-2	147.12	-2	149.16	-2	157.94	-2	163.8																																													-2	147.38	-2	149.76													-2	159.12	-2	165.44
33	aE	Ae	0.4	7.800000000000001	0.4	9.800000000000002			-2	213.4	-2	257.12	-2	296.3			0.4	157.80000000000015	0.4	187.44000000000014	0.4	249.06000000000012																																																																																																																																
