trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		46.81818181818181		90.45454545454545		112.27272727272727		134.0909090909091		46.81818181818181		68.63636363636363		90.45454545454545		134.0909090909091		26.431818181818183		27.045454545454547		27.863636363636363		29.09090909090909		29.295454545454547		31.136363636363637		32.15909090909091		35.22727272727273		29.295454545454547		30.727272727272727		33.59090909090909		36.45454545454545		37.88636363636363		42.18181818181819		46.47727272727273		53.63636363636364		30.727272727272727		32.36363636363636		36.45454545454545		39.72727272727273		42.18181818181819		47.09090909090909		53.63636363636364		61.81818181818182		32.15909090909091		33.86363636363636		39.31818181818182		42.72727272727273		46.47727272727273		51.59090909090909		60.79545454545455		69.31818181818181		26.431818181818183		27.045454545454547		29.295454545454547		30.727272727272727		30.727272727272727		32.36363636363636		32.15909090909091		33.86363636363636		27.863636363636363		29.09090909090909		33.59090909090909		36.45454545454545		36.45454545454545		39.72727272727273		39.31818181818182		42.72727272727273		29.295454545454547		31.136363636363637		37.88636363636363		42.18181818181819		42.18181818181819		47.09090909090909		46.47727272727273		51.59090909090909		32.15909090909091		35.22727272727273		46.47727272727273		53.63636363636364		53.63636363636364		61.81818181818182		60.79545454545455		69.31818181818181
1	aEu	aeu			2	2					-2	110.27272727272727	-2	132.0909090909091			2	70.63636363636363	2	92.45454545454545	2	136.0909090909091																																													-2	51.63636363636364	-2	59.81818181818182													-2	58.79545454545455	-2	67.31818181818181																																																									-2	51.63636363636364	-2	59.81818181818182	-2	58.79545454545455	-2	67.31818181818181
2	aEa	Aea	2	2	2	4			-2	88.45454545454545	-2	108.27272727272727	-2	130.0909090909091			2	72.63636363636363	2	94.45454545454545	2	138.0909090909091																															-2	51.63636363636364													-2	49.63636363636364	-2	57.81818181818182													-2	56.79545454545455	-2	65.31818181818181																																																																
3	OeA	oea	2	4	2	6	2	48.81818181818181	2	90.45454545454545	2	110.27272727272727	2	132.0909090909091					-2	92.45454545454545	-2	136.0909090909091																																													-2	47.63636363636364	-2	55.81818181818182													-2	54.79545454545455	-2	63.31818181818181																																									-2	40.18181818181819	-2	45.09090909090909	-2	44.47727272727273	-2	49.59090909090909									-2	49.63636363636364	-2	57.81818181818182	-2	56.79545454545455	-2	65.31818181818181
4	AyO	Auo			2	8	2	50.81818181818181	2	92.45454545454545	2	112.27272727272727	2	134.0909090909091					-2	90.45454545454545	-2	134.0909090909091																											-2	40.18181818181819	-2	44.47727272727273	-2	49.63636363636364											-2	45.09090909090909	-2	45.63636363636364	-2	53.81818181818182											-2	49.59090909090909	-2	52.79545454545455	-2	61.31818181818181																																																																
5	OiO	oio	2	6	2	10	2	52.81818181818181	2	94.45454545454545	2	114.27272727272727	2	136.0909090909091					-2	88.45454545454545	-2	132.0909090909091																																																									-2	44.47727272727273	-2	47.59090909090909	-2	50.79545454545455	-2	59.31818181818181																																													-2	42.47727272727273	-2	47.59090909090909													-2	54.79545454545455	-2	63.31818181818181
6	oIu	oiu			2	12							-2	134.0909090909091	2	48.81818181818181	2	74.63636363636363	2	90.45454545454545	2	134.0909090909091																																																													-2	48.79545454545455	-2	57.31818181818181																																													-2	40.47727272727273	-2	45.59090909090909													-2	52.79545454545455	-2	61.31818181818181
7	uEI	uei			2	14					-2	112.27272727272727	-2	132.0909090909091	2	50.81818181818181	2	76.63636363636363	2	92.45454545454545	2	136.0909090909091																																																																																																																									-2	47.63636363636364	-2	55.81818181818182	-2	50.79545454545455	-2	59.31818181818181
8	yey	yeu			2	16			2	96.45454545454545	2	114.27272727272727	2	134.0909090909091							-2	134.0909090909091																															-2	47.63636363636364													-2	43.63636363636364	-2	51.81818181818182													-2	46.79545454545455	-2	55.31818181818181																																																																
9	ouo	Ouo	2	8	2	18	-2	50.81818181818181	-2	94.45454545454545	-2	112.27272727272727	-2	132.0909090909091					2	94.45454545454545	2	136.0909090909091											-2	29.136363636363637	-2	30.159090909090907	-2	33.22727272727273											-2	38.18181818181819	-2	42.47727272727273	-2	45.63636363636364											-2	43.09090909090909	-2	41.63636363636364	-2	49.81818181818182											-2	45.59090909090909	-2	44.79545454545455	-2	53.31818181818181																																																																
