trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		46.81818181818181		90.45454545454545		112.27272727272727		134.0909090909091		46.81818181818181		68.63636363636363		90.45454545454545		134.0909090909091		26.431818181818183		27.045454545454547		27.863636363636363		29.09090909090909		29.295454545454547		31.136363636363637		32.15909090909091		35.22727272727273		29.295454545454547		30.727272727272727		33.59090909090909		36.45454545454545		37.88636363636363		42.18181818181819		46.47727272727273		53.63636363636364		30.727272727272727		32.36363636363636		36.45454545454545		39.72727272727273		42.18181818181819		47.09090909090909		53.63636363636364		61.81818181818182		32.15909090909091		33.86363636363636		39.31818181818182		42.72727272727273		46.47727272727273		51.59090909090909		60.79545454545455		69.31818181818181		26.431818181818183		27.045454545454547		29.295454545454547		30.727272727272727		30.727272727272727		32.36363636363636		32.15909090909091		33.86363636363636		27.863636363636363		29.09090909090909		33.59090909090909		36.45454545454545		36.45454545454545		39.72727272727273		39.31818181818182		42.72727272727273		29.295454545454547		31.136363636363637		37.88636363636363		42.18181818181819		42.18181818181819		47.09090909090909		46.47727272727273		51.59090909090909		32.15909090909091		35.22727272727273		46.47727272727273		53.63636363636364		53.63636363636364		61.81818181818182		60.79545454545455		69.31818181818181
0	Apriori	Id(Bk)Syl1>>Id(Bk)	20	20																																																																																																																																																		
2	ouI	oui			0.3333333333333333	0.3333333333333333							-2	132.0909090909091	0.3333333333333333	47.15151515151515	0.3333333333333333	68.96969696969695	0.3333333333333333	90.78787878787878	0.3333333333333333	134.42424242424244																																																																																																															-2	49.59090909090909													-2	58.79545454545455	-2	67.31818181818181
2	Apriori	Id(Bk)Syl1>>Id(Bk)	0.33333333333333215	20.333333333333332																																																																																																																																																			
3	iAy	iau			0.4	0.7333333333333334			0.4	90.85454545454546	0.4	112.67272727272727	0.4	132.4909090909091							-2	132.42424242424244																																																													-2	58.79545454545455	-2	67.31818181818181																																																																
3	Apriori	Id(Bk)Syl1>>Id(Bk)	0.40000000000000213	20.733333333333334																																																																																																																																																			
4	Ayi	aui	0.4	21.133333333333333	0	0.7333333333333334			0.4	91.25454545454546	0.4	113.07272727272728	0.4	132.8909090909091							-2	130.42424242424244																																																																																																																													-2	56.79545454545455	-2	65.31818181818181
5	IE	ie	0.3333333333333333	21.466666666666665	0	0.7333333333333334					-2	111.07272727272728	-2	130.8909090909091	0.3333333333333333	47.484848484848484	0.3333333333333333	69.30303030303028	0.3333333333333333	91.12121212121211	0.3333333333333333	130.75757575757578																																																																																																																																
6	oao	OAO	0.5	21.966666666666665	0	0.7333333333333334	-2	44.81818181818181	-2	89.25454545454546	-2	109.07272727272728	-2	128.8909090909091					0.5	91.62121212121211	0.5	131.25757575757578																																																																																																																																
8	yyi	uui	0.4	22.366666666666664	0	0.7333333333333334			0.4	89.65454545454547	0.4	109.47272727272728	0.4	129.2909090909091							-2	129.25757575757578																																																																																																																													-2	54.79545454545455	-2	63.31818181818181
10	iOy	iou			0.3333333333333333	1.0666666666666667	0.3333333333333333	45.15151515151515	0.3333333333333333	89.9878787878788	0.3333333333333333	109.80606060606061	0.3333333333333333	129.62424242424245					-2	89.62121212121211	-2	127.25757575757578																																																									-2	44.47727272727273	-2	49.59090909090909	-2	56.79545454545455	-2	65.31818181818181																																																																
11	uoI	yOi	0.3333333333333333	22.699999999999996	0	1.0666666666666667	-2	43.15151515151515	-2	87.9878787878788	-2	107.80606060606061	-2	127.62424242424245	0.3333333333333333	47.81818181818182	0.3333333333333333	69.63636363636361	0.3333333333333333	89.95454545454544	0.3333333333333333	127.59090909090911																																																																																																																																
12	aaI	AAi	0.3333333333333333	23.033333333333328	0	1.0666666666666667			-2	85.9878787878788	-2	105.80606060606061	-2	125.62424242424245	0.3333333333333333	48.151515151515156	0.3333333333333333	69.96969696969694	0.3333333333333333	90.28787878787877	0.3333333333333333	127.92424242424244																																																																																																																																
13	eOe	eoe			0.3333333333333333	1.4	0.3333333333333333	43.484848484848484	0.3333333333333333	86.32121212121213	0.3333333333333333	106.13939393939394	0.3333333333333333	125.95757575757578					-2	88.28787878787877	-2	125.92424242424244																																									-2	40.18181818181819	-2	45.09090909090909	-2	51.63636363636364	-2	59.81818181818182									-2	42.47727272727273	-2	47.59090909090909	-2	54.79545454545455	-2	63.31818181818181																																									-2	40.18181818181819	-2	45.09090909090909	-2	44.47727272727273	-2	47.59090909090909									-2	51.63636363636364	-2	59.81818181818182	-2	52.79545454545455	-2	61.31818181818181
14	uo	yO	0.5	23.533333333333328	0	1.4	-2	41.484848484848484	-2	84.32121212121213	-2	104.13939393939394	-2	123.95757575757578					0.5	88.78787878787877	0.5	126.42424242424244																																																																																																																																
16	iAA	iaa			0.4	1.7999999999999998			0.4	84.72121212121213	0.4	104.53939393939395	0.4	124.35757575757579							-2	124.42424242424244																																																													-2	52.79545454545455	-2	61.31818181818181																																																																
17	aaE	AAe	0.4	23.933333333333326	0	1.7999999999999998			-2	82.72121212121213	-2	102.53939393939395	-2	122.35757575757579			0.4	70.36969696969695	0.4	89.18787878787877	0.4	124.82424242424244																																																																																																																																
20	iyA	iua			0.4	2.1999999999999997			0.4	83.12121212121214	0.4	102.93939393939395	0.4	122.7575757575758							-2	122.82424242424244																																																													-2	50.79545454545455	-2	59.31818181818181																																																																
21	EEE	eee	0.4	24.333333333333325	0	2.1999999999999997					-2	100.93939393939395	-2	120.7575757575758			0.4	70.76969696969695	0.4	89.58787878787878	0.4	123.22424242424245																																																																																																																																
