trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		96.81818181818181		140.45454545454544		162.27272727272725		184.0909090909091		96.81818181818181		118.63636363636363		140.45454545454544		184.0909090909091		76.43181818181819		77.04545454545455		77.86363636363636		79.0909090909091		79.29545454545455		81.13636363636364		82.1590909090909		85.22727272727272		79.29545454545455		80.72727272727273		83.5909090909091		86.45454545454545		87.88636363636364		92.18181818181819		96.47727272727272		103.63636363636364		80.72727272727273		82.36363636363636		86.45454545454545		89.72727272727272		92.18181818181819		97.0909090909091		103.63636363636364		111.81818181818181		82.1590909090909		83.86363636363636		89.31818181818181		92.72727272727272		96.47727272727272		101.5909090909091		110.79545454545455		119.31818181818181		76.43181818181819		77.04545454545455		79.29545454545455		80.72727272727273		80.72727272727273		82.36363636363636		82.1590909090909		83.86363636363636		77.86363636363636		79.0909090909091		83.5909090909091		86.45454545454545		86.45454545454545		89.72727272727272		89.31818181818181		92.72727272727272		79.29545454545455		81.13636363636364		87.88636363636364		92.18181818181819		92.18181818181819		97.0909090909091		96.47727272727272		101.5909090909091		82.1590909090909		85.22727272727272		96.47727272727272		103.63636363636364		103.63636363636364		111.81818181818181		110.79545454545455		119.31818181818181
0	Apriori	Id(Bk)Syl1>>Id(Bk)	20	20																																																																																																																																																		
1	yyA	yua			0.4	0.4			0.4	140.85454545454544	0.4	162.67272727272726	0.4	184.4909090909091							-2	182.0909090909091																													-2	94.47727272727272	-2	101.63636363636364													-2	101.63636363636364	-2	109.81818181818181													-2	108.79545454545455	-2	117.31818181818181																																																																
1	Apriori	Id(Bk)Syl1>>Id(Bk)	0.3999999999999986	20.4																																																																																																																																																			
2	au	Au	0.6666666666666666	21.066666666666666	0	0.4			-2	138.85454545454544	-2	160.67272727272726	-2	182.4909090909091							0.6666666666666666	182.75757575757575																													-2	92.47727272727272	-2	99.63636363636364													-2	99.63636363636364	-2	107.81818181818181													-2	106.79545454545455	-2	115.31818181818181																																																																
3	yAO	uao	0.3333333333333333	21.4	0	0.4	0.3333333333333333	97.15151515151514	0.3333333333333333	139.1878787878788	0.3333333333333333	161.0060606060606	0.3333333333333333	182.82424242424244					-2	138.45454545454544	-2	180.75757575757575																																																																																																																																
4	oEa	Oea	0.4	21.799999999999997	0	0.4	-2	95.15151515151514	-2	137.1878787878788	-2	159.0060606060606	-2	180.82424242424244			0.4	119.03636363636363	0.4	138.85454545454544	0.4	181.15757575757576															-2	83.22727272727272															-2	97.63636363636364													-2	97.63636363636364	-2	105.81818181818181													-2	104.79545454545455	-2	113.31818181818181																																																																
6	yAi	uai	0.4	22.199999999999996	0	0.4			0.4	137.5878787878788	0.4	159.4060606060606	0.4	181.22424242424245							-2	179.15757575757576																																																																																																																													-2	108.79545454545455	-2	117.31818181818181
7	Iua	iua	0.3333333333333333	22.533333333333328	0	0.4							-2	179.22424242424245	0.3333333333333333	97.15151515151514	0.3333333333333333	119.36969696969696	0.3333333333333333	139.1878787878788	0.3333333333333333	179.4909090909091																																																													-2	102.79545454545455	-2	111.31818181818181																																																																
8	uuE	uue			0.4	0.8					-2	157.4060606060606	-2	177.22424242424245			0.4	119.76969696969697	0.4	139.5878787878788	0.4	179.8909090909091																																																																																																																									-2	101.63636363636364	-2	109.81818181818181	-2	106.79545454545455	-2	115.31818181818181
9	eyO	Euo	0.3333333333333333	22.86666666666666	0	0.8	0.3333333333333333	95.48484848484847	0.3333333333333333	137.92121212121214	0.3333333333333333	157.73939393939395	0.3333333333333333	177.5575757575758			-2	117.76969696969697	-2	137.5878787878788	-2	177.8909090909091																																																																																																																																
10	uEu	yeu	0.4	23.26666666666666	0	0.8			-2	135.92121212121214	-2	155.73939393939395	-2	175.5575757575758			0.4	118.16969696969697	0.4	137.9878787878788	0.4	178.2909090909091																															-2	95.63636363636364													-2	95.63636363636364	-2	103.81818181818181													-2	100.79545454545455	-2	109.31818181818181																																																																
11	eOe	Eoe	0.3333333333333333	23.59999999999999	0	0.8	0.3333333333333333	95.8181818181818	0.3333333333333333	136.25454545454548	0.3333333333333333	156.0727272727273	0.3333333333333333	175.89090909090913			-2	116.16969696969697	-2	135.9878787878788	-2	176.2909090909091																																																																																											-2	87.72727272727272			-2	90.72727272727272									-2	90.18181818181819	-2	95.0909090909091	-2	94.47727272727272	-2	99.5909090909091									-2	99.63636363636364	-2	107.81818181818181	-2	104.79545454545455	-2	113.31818181818181
12	EEa	Eea			0.4	1.2000000000000002					-2	154.0727272727273	-2	173.89090909090913			0.4	116.56969696969698	0.4	136.3878787878788	0.4	176.69090909090912																																													-2	93.63636363636364	-2	101.81818181818181													-2	98.79545454545455	-2	107.31818181818181																									-2	84.45454545454545	-2	85.72727272727272	-2	87.31818181818181	-2	88.72727272727272									-2	88.18181818181819	-2	93.0909090909091	-2	92.47727272727272	-2	97.5909090909091									-2	97.63636363636364	-2	105.81818181818181	-2	102.79545454545455	-2	111.31818181818181
13	OAe	Oae			0.4	1.6			0.4	136.65454545454548	0.4	154.4727272727273	0.4	174.29090909090914							-2	174.69090909090912													-2	80.1590909090909	-2	81.22727272727272													-2	90.47727272727272	-2	93.63636363636364													-2	91.63636363636364	-2	99.81818181818181													-2	96.79545454545455	-2	105.31818181818181																																																									-2	95.63636363636364	-2	103.81818181818181	-2	100.79545454545455	-2	109.31818181818181
