trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		64.54545454545455		93.63636363636363		108.18181818181819		122.72727272727273		64.54545454545455		79.0909090909091		93.63636363636363		122.72727272727273		50.95454545454545		51.36363636363637		51.90909090909091		52.72727272727273		52.86363636363637		54.09090909090909		54.77272727272727		56.81818181818182		52.86363636363637		53.81818181818182		55.72727272727273		57.63636363636364		58.59090909090909		61.45454545454545		64.31818181818181		69.0909090909091		53.81818181818182		54.90909090909091		57.63636363636364		59.81818181818182		61.45454545454545		64.72727272727273		69.0909090909091		74.54545454545455		54.77272727272727		55.90909090909091		59.54545454545455		61.81818181818182		64.31818181818181		67.72727272727272		73.86363636363636		79.54545454545455		50.95454545454545		51.36363636363637		52.86363636363637		53.81818181818182		53.81818181818182		54.90909090909091		54.77272727272727		55.90909090909091		51.90909090909091		52.72727272727273		55.72727272727273		57.63636363636364		57.63636363636364		59.81818181818182		59.54545454545455		61.81818181818182		52.86363636363637		54.09090909090909		58.59090909090909		61.45454545454545		61.45454545454545		64.72727272727273		64.31818181818181		67.72727272727272		54.77272727272727		56.81818181818182		64.31818181818181		69.0909090909091		69.0909090909091		74.54545454545455		73.86363636363636		79.54545454545455
0	Apriori	Id(Bk)Syl1>>Id(Bk)	20	20																																																																																																																																																		
1	EoE	eoe	1.6363636363636365	21.636363636363637	0	0					-2	106.18181818181819	-2	120.72727272727273			1.6363636363636365	80.72727272727273	1.6363636363636365	95.27272727272727	1.6363636363636365	124.36363636363637																																									-2	59.45454545454545	-2	62.727272727272734	-2	67.0909090909091	-2	72.54545454545455									-2	62.31818181818181	-2	65.72727272727272	-2	71.86363636363636	-2	77.54545454545455																																									-2	59.45454545454545	-2	62.727272727272734	-2	62.31818181818181	-2	65.72727272727272									-2	67.0909090909091	-2	72.54545454545455	-2	71.86363636363636	-2	77.54545454545455
2	yOe	yoe			1.6296296296296295	1.6296296296296295	1.6296296296296295	66.17508417508418	1.6296296296296295	95.26599326599326	1.6296296296296295	107.81144781144782	1.6296296296296295	122.35690235690237					-2	93.27272727272727	-2	122.36363636363637																									-2	56.59090909090909	-2	59.45454545454545	-2	62.31818181818181	-2	67.0909090909091									-2	57.45454545454545	-2	60.727272727272734	-2	65.0909090909091	-2	70.54545454545455									-2	60.31818181818181	-2	63.72727272727272	-2	69.86363636363636	-2	75.54545454545455																																									-2	57.45454545454545	-2	60.727272727272734	-2	60.31818181818181	-2	63.72727272727272									-2	65.0909090909091	-2	70.54545454545455	-2	69.86363636363636	-2	75.54545454545455
3	uuE	yue	1.5294117647058822	23.165775401069517	0	1.6296296296296295			-2	93.26599326599326	-2	105.81144781144782	-2	120.35690235690237			1.5294117647058822	82.25668449197862	1.5294117647058822	94.80213903743315	1.5294117647058822	123.89304812834226																													-2	60.31818181818181	-2	65.0909090909091													-2	63.09090909090909	-2	68.54545454545455													-2	67.86363636363636	-2	73.54545454545455																																																									-2	63.09090909090909	-2	68.54545454545455	-2	67.86363636363636	-2	73.54545454545455
4	eiO	Eio	1.4444444444444444	24.61021984551396	0	1.6296296296296295	1.4444444444444444	67.61952861952862	1.4444444444444444	94.7104377104377	1.4444444444444444	107.25589225589226	1.4444444444444444	121.80134680134681			-2	80.25668449197862	-2	92.80213903743315	-2	121.89304812834226																																																									-2	58.31818181818181	-2	61.72727272727272	-2	65.86363636363636	-2	71.54545454545455																													-2	57.54545454545455	-2	59.81818181818182													-2	58.31818181818181	-2	61.72727272727272													-2	65.86363636363636	-2	71.54545454545455
5	yei	uei	1.1111111111111112	25.72133095662507	0	1.6296296296296295			1.1111111111111112	95.82154882154882	1.1111111111111112	108.36700336700338	1.1111111111111112	122.91245791245792							-2	119.89304812834226																																																																																																																									-2	61.09090909090909	-2	66.54545454545455	-2	63.86363636363636	-2	69.54545454545455
6	uEa	uea			1.4285714285714286	3.058201058201058					-2	106.36700336700338	-2	120.91245791245792			1.4285714285714286	81.68525592055005	1.4285714285714286	94.23071046600458	1.4285714285714286	121.32161955691369																																													-2	61.09090909090909	-2	66.54545454545455													-2	63.86363636363636	-2	69.54545454545455																																																									-2	59.09090909090909	-2	64.54545454545455	-2	61.86363636363636	-2	67.54545454545455
7	eiA	Eia	1.4666666666666666	27.187997623291736	0	3.058201058201058			1.4666666666666666	97.28821548821549	1.4666666666666666	107.83367003367005	1.4666666666666666	122.37912457912459			-2	79.68525592055005	-2	92.23071046600458	-2	119.32161955691369																																																													-2	61.86363636363636	-2	67.54545454545455																													-2	55.54545454545455	-2	57.81818181818182													-2	56.31818181818181	-2	59.72727272727272													-2	59.86363636363636	-2	65.54545454545455
10	IIa	iia	0.75	27.937997623291736	0	3.058201058201058							-2	120.37912457912459	0.75	65.29545454545455	0.75	80.43525592055005	0.75	92.98071046600458	0.75	120.07161955691369																																																													-2	59.86363636363636	-2	65.54545454545455																																																																
