trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		64.54545454545455		93.63636363636363		108.18181818181819		122.72727272727273		64.54545454545455		79.0909090909091		93.63636363636363		122.72727272727273		50.95454545454545		51.36363636363637		51.90909090909091		52.72727272727273		52.86363636363637		54.09090909090909		54.77272727272727		56.81818181818182		52.86363636363637		53.81818181818182		55.72727272727273		57.63636363636364		58.59090909090909		61.45454545454545		64.31818181818181		69.0909090909091		53.81818181818182		54.90909090909091		57.63636363636364		59.81818181818182		61.45454545454545		64.72727272727273		69.0909090909091		74.54545454545455		54.77272727272727		55.90909090909091		59.54545454545455		61.81818181818182		64.31818181818181		67.72727272727272		73.86363636363636		79.54545454545455		50.95454545454545		51.36363636363637		52.86363636363637		53.81818181818182		53.81818181818182		54.90909090909091		54.77272727272727		55.90909090909091		51.90909090909091		52.72727272727273		55.72727272727273		57.63636363636364		57.63636363636364		59.81818181818182		59.54545454545455		61.81818181818182		52.86363636363637		54.09090909090909		58.59090909090909		61.45454545454545		61.45454545454545		64.72727272727273		64.31818181818181		67.72727272727272		54.77272727272727		56.81818181818182		64.31818181818181		69.0909090909091		69.0909090909091		74.54545454545455		73.86363636363636		79.54545454545455
0	Apriori	Id(Bk)Syl1>>Id(Bk)	20	20																																																																																																																																																		
1	aIE	Aie	0.75	20.75	0	0			-2	91.63636363636363	-2	106.18181818181819	-2	120.72727272727273	0.75	65.29545454545455	0.75	79.8409090909091	0.75	94.38636363636363	0.75	123.47727272727273																																																																																																																																
2	OAA	oaa	0.5714285714285714	21.321428571428573	0	0	0.5714285714285714	65.11688311688312	0.5714285714285714	92.2077922077922	0.5714285714285714	106.75324675324676	0.5714285714285714	121.2987012987013					-2	92.38636363636363	-2	121.47727272727273																																																																																																																																
3	Iuu	iyy	0.75	22.071428571428573	0	0			-2	90.2077922077922	-2	104.75324675324676	-2	119.2987012987013	0.75	66.04545454545455	0.75	80.5909090909091	0.75	93.13636363636363	0.75	122.22727272727273																																																																																																																																
4	auI	Ayi	0.75	22.821428571428573	0	0			-2	88.2077922077922	-2	102.75324675324676	-2	117.2987012987013	0.75	66.79545454545455	0.75	81.3409090909091	0.75	93.88636363636363	0.75	122.97727272727273																																																																																																																																
6	yiO	uio	1.2307692307692308	24.052197802197803	0	0	1.2307692307692308	66.34765234765234	1.2307692307692308	89.43856143856142	1.2307692307692308	103.98401598401598	1.2307692307692308	118.52947052947053					-2	91.88636363636363	-2	120.97727272727273																																																									-2	62.31818181818181	-2	65.72727272727272	-2	71.86363636363636	-2	77.54545454545455																																																													-2	71.86363636363636	-2	77.54545454545455
7	iOi	Ioi	1.3333333333333333	25.385531135531135	0	0	1.3333333333333333	67.68098568098567	1.3333333333333333	90.77189477189475	1.3333333333333333	105.31734931734931	1.3333333333333333	119.86280386280386	-2	64.79545454545455	-2	79.3409090909091	-2	89.88636363636363	-2	118.97727272727273																																																																															-2	53.90909090909091															-2	59.81818181818182													-2	62.31818181818181	-2	65.72727272727272													-2	69.86363636363636	-2	75.54545454545455
8	aou	AOy	1.1428571428571428	26.528388278388277	0	0	-2	65.68098568098567	-2	88.77189477189475	-2	103.31734931734931	-2	117.86280386280386					1.1428571428571428	91.02922077922076	1.1428571428571428	120.12012987012987																																																																																																																																
10	iO	Io	0.8888888888888888	27.417277167277167	0	0	0.8888888888888888	66.56987456987456	0.8888888888888888	89.66078366078364	0.8888888888888888	104.2062382062382	0.8888888888888888	118.75169275169274	-2	62.79545454545455	-2	77.3409090909091	-2	89.02922077922076	-2	118.12012987012987																																																																																																																																
