trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		64.54545454545455		93.63636363636363		108.18181818181819		122.72727272727273		64.54545454545455		79.0909090909091		93.63636363636363		122.72727272727273		50.95454545454545		51.36363636363637		51.90909090909091		52.72727272727273		52.86363636363637		54.09090909090909		54.77272727272727		56.81818181818182		52.86363636363637		53.81818181818182		55.72727272727273		57.63636363636364		58.59090909090909		61.45454545454545		64.31818181818181		69.0909090909091		53.81818181818182		54.90909090909091		57.63636363636364		59.81818181818182		61.45454545454545		64.72727272727273		69.0909090909091		74.54545454545455		54.77272727272727		55.90909090909091		59.54545454545455		61.81818181818182		64.31818181818181		67.72727272727272		73.86363636363636		79.54545454545455		50.95454545454545		51.36363636363637		52.86363636363637		53.81818181818182		53.81818181818182		54.90909090909091		54.77272727272727		55.90909090909091		51.90909090909091		52.72727272727273		55.72727272727273		57.63636363636364		57.63636363636364		59.81818181818182		59.54545454545455		61.81818181818182		52.86363636363637		54.09090909090909		58.59090909090909		61.45454545454545		61.45454545454545		64.72727272727273		64.31818181818181		67.72727272727272		54.77272727272727		56.81818181818182		64.31818181818181		69.0909090909091		69.0909090909091		74.54545454545455		73.86363636363636		79.54545454545455
0	Apriori	Id(Bk)Syl1>>Id(Bk)	35	35																																																																																																																																																		
1	oI	oi			1.0	1.0							-2	120.72727272727273	1.0	65.54545454545455	1.0	80.0909090909091	1.0	94.63636363636363	1.0	123.72727272727273																																																																																																													-2	62.31818181818181	-2	65.72727272727272													-2	71.86363636363636	-2	77.54545454545455
1	Apriori	Id(Bk)Syl1>>Id(Bk)	1.0	36.0																																																																																																																																																			
2	Oye	ouE	0.75	36.75	0	1.0	0.75	65.29545454545455	0.75	94.38636363636363	0.75	108.93181818181819	0.75	121.47727272727273			-2	78.0909090909091	-2	92.63636363636363	-2	121.72727272727273																																																																																																																																
3	aaI	AAi	0.75	37.5	0	1.0			-2	92.38636363636363	-2	106.93181818181819	-2	119.47727272727273	0.75	66.29545454545455	0.75	78.8409090909091	0.75	93.38636363636363	0.75	122.47727272727273																																																																																																																																
5	oEI	Oei	0.8888888888888888	38.388888888888886	0	1.0	-2	63.29545454545455	-2	90.38636363636363	-2	104.93181818181819	-2	117.47727272727273	0.8888888888888888	67.18434343434343	0.8888888888888888	79.72979797979798	0.8888888888888888	94.27525252525251	0.8888888888888888	123.36616161616162																																																																																																																																
6	EIa	Eia			1.2857142857142858	2.2857142857142856							-2	115.47727272727273	1.2857142857142858	68.47005772005772	1.2857142857142858	81.01551226551227	1.2857142857142858	95.5609668109668	1.2857142857142858	124.65187590187591																																																													-2	71.86363636363636	-2	77.54545454545455																													-2	57.54545454545455	-2	59.81818181818182													-2	60.31818181818181	-2	63.72727272727272													-2	69.86363636363636	-2	75.54545454545455
7	iAA	Iaa	1.0	39.388888888888886	0	2.2857142857142856			1.0	91.38636363636363	1.0	105.93181818181819	1.0	116.47727272727273	-2	66.47005772005772	-2	79.01551226551227	-2	93.5609668109668	-2	122.65187590187591																																																																																																																																
9	eO	Eo	0.75	40.138888888888886	0	2.2857142857142856	0.75	64.04545454545455	0.75	92.13636363636363	0.75	106.68181818181819	0.75	117.22727272727273			-2	77.01551226551227	-2	91.5609668109668	-2	120.65187590187591																																																																																																																																
