trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		64.54545454545455		93.63636363636363		108.18181818181819		122.72727272727273		64.54545454545455		79.0909090909091		93.63636363636363		122.72727272727273		50.95454545454545		51.36363636363637		51.90909090909091		52.72727272727273		52.86363636363637		54.09090909090909		54.77272727272727		56.81818181818182		52.86363636363637		53.81818181818182		55.72727272727273		57.63636363636364		58.59090909090909		61.45454545454545		64.31818181818181		69.0909090909091		53.81818181818182		54.90909090909091		57.63636363636364		59.81818181818182		61.45454545454545		64.72727272727273		69.0909090909091		74.54545454545455		54.77272727272727		55.90909090909091		59.54545454545455		61.81818181818182		64.31818181818181		67.72727272727272		73.86363636363636		79.54545454545455		50.95454545454545		51.36363636363637		52.86363636363637		53.81818181818182		53.81818181818182		54.90909090909091		54.77272727272727		55.90909090909091		51.90909090909091		52.72727272727273		55.72727272727273		57.63636363636364		57.63636363636364		59.81818181818182		59.54545454545455		61.81818181818182		52.86363636363637		54.09090909090909		58.59090909090909		61.45454545454545		61.45454545454545		64.72727272727273		64.31818181818181		67.72727272727272		54.77272727272727		56.81818181818182		64.31818181818181		69.0909090909091		69.0909090909091		74.54545454545455		73.86363636363636		79.54545454545455
0	Apriori	Id(Bk)Syl1>>Id(Bk)	35	35																																																																																																																																																		
1	ooo	OOO	0.5	35.5	0	0	-2	62.54545454545455	-2	91.63636363636363	-2	106.18181818181819	-2	120.72727272727273					0.5	94.13636363636363	0.5	123.22727272727273																																																																																																																																
2	iey	IEu	0.4	35.9	0	0			0.4	92.03636363636363	0.4	106.58181818181819	0.4	121.12727272727274	-2	62.54545454545455	-2	77.0909090909091	-2	92.13636363636363	-2	121.22727272727273																																																																																																																																
5	eeA	EEa	0.4	36.3	0	0			0.4	92.43636363636364	0.4	106.9818181818182	0.4	121.52727272727275			-2	75.0909090909091	-2	90.13636363636363	-2	119.22727272727273																																																																																																																																
8	ooI	ooi			0.3333333333333333	0.3333333333333333							-2	119.52727272727275	0.3333333333333333	62.87878787878788	0.3333333333333333	75.42424242424242	0.3333333333333333	90.46969696969695	0.3333333333333333	119.56060606060606																																																																																																													-2	62.31818181818181	-2	65.72727272727272													-2	71.86363636363636	-2	77.54545454545455
12	yOi	uoi	0.3333333333333333	36.63333333333333	0	0.3333333333333333	0.3333333333333333	62.87878787878788	0.3333333333333333	92.76969696969697	0.3333333333333333	107.31515151515153	0.3333333333333333	119.86060606060607					-2	88.46969696969695	-2	117.56060606060606																																																																																																													-2	60.31818181818181	-2	63.72727272727272													-2	69.86363636363636	-2	75.54545454545455
13	uE	ye	0.4	37.03333333333333	0	0.3333333333333333			-2	90.76969696969697	-2	105.31515151515153	-2	117.86060606060607			0.4	75.82424242424243	0.4	88.86969696969696	0.4	117.96060606060607																																																																																																																																
14	iOi	ioi			0.3333333333333333	0.6666666666666666	0.3333333333333333	63.21212121212122	0.3333333333333333	91.1030303030303	0.3333333333333333	105.64848484848486	0.3333333333333333	118.1939393939394					-2	86.86969696969696	-2	115.96060606060607																																																									-2	62.31818181818181	-2	65.72727272727272	-2	71.86363636363636	-2	77.54545454545455																																													-2	58.31818181818181	-2	61.72727272727272													-2	67.86363636363636	-2	73.54545454545455
15	uoa	yOA	0.5	37.53333333333333	0	0.6666666666666666	-2	61.21212121212122	-2	89.1030303030303	-2	103.64848484848486	-2	116.1939393939394					0.5	87.36969696969696	0.5	116.46060606060607																																																																																																																																
