trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		57.45454545454545		92.36363636363636		109.81818181818181		127.27272727272728		57.45454545454545		74.9090909090909		92.36363636363636		127.27272727272728		41.14545454545455		41.63636363636363		42.29090909090909		43.27272727272727		43.43636363636364		44.90909090909091		45.72727272727273		48.18181818181818		43.43636363636364		44.58181818181818		46.872727272727275		49.163636363636364		50.309090909090905		53.74545454545455		57.18181818181818		62.90909090909091		44.58181818181818		45.89090909090909		49.163636363636364		51.78181818181818		53.74545454545455		57.67272727272727		62.90909090909091		69.45454545454545		45.72727272727273		47.09090909090909		51.45454545454545		54.18181818181818		57.18181818181818		61.272727272727266		68.63636363636364		75.45454545454545		41.14545454545455		41.63636363636363		43.43636363636364		44.58181818181818		44.58181818181818		45.89090909090909		45.72727272727273		47.09090909090909		42.29090909090909		43.27272727272727		46.872727272727275		49.163636363636364		49.163636363636364		51.78181818181818		51.45454545454545		54.18181818181818		43.43636363636364		44.90909090909091		50.309090909090905		53.74545454545455		53.74545454545455		57.67272727272727		57.18181818181818		61.272727272727266		45.72727272727273		48.18181818181818		57.18181818181818		62.90909090909091		62.90909090909091		69.45454545454545		68.63636363636364		75.45454545454545
0	Apriori	Id(Bk)Syl1>>Id(Bk)	20	20																																																																																																																																																		
1	Eua	eyA	0.4	20.4	0	0			-2	90.36363636363636	-2	107.81818181818181	-2	125.27272727272728			0.4	75.30909090909091	0.4	92.76363636363637	0.4	127.67272727272729																																																																																																																																
4	ey	Eu	0.4	20.799999999999997	0	0			0.4	90.76363636363637	0.4	108.21818181818182	0.4	125.67272727272729			-2	73.30909090909091	-2	90.76363636363637	-2	125.67272727272729																																																																																																																																
7	ei	Ei	0.5	21.299999999999997	0	0					0.5	108.71818181818182	0.5	126.17272727272729			-2	71.30909090909091	-2	88.76363636363637	-2	123.67272727272729																																																																																													-2	49.45454545454545	-2	52.18181818181818													-2	55.18181818181818	-2	59.272727272727266													-2	66.63636363636364	-2	73.45454545454545
8	oII	Oii	0.3333333333333333	21.63333333333333	0	0	-2	55.45454545454545	-2	88.76363636363637	-2	106.71818181818182	-2	124.17272727272729	0.3333333333333333	57.78787878787879	0.3333333333333333	71.64242424242424	0.3333333333333333	89.0969696969697	0.3333333333333333	124.00606060606061																																																																																																																																
9	eAi	Eai	0.4	22.033333333333328	0	0			0.4	89.16363636363637	0.4	107.11818181818182	0.4	124.57272727272729			-2	69.64242424242424	-2	87.0969696969697	-2	122.00606060606061																																																																																															-2	50.18181818181818															-2	57.272727272727266													-2	64.63636363636364	-2	71.45454545454545
11	uoa	yOA	0.5	22.533333333333328	0	0	-2	53.45454545454545	-2	87.16363636363637	-2	105.11818181818182	-2	122.57272727272729					0.5	87.5969696969697	0.5	122.50606060606061																																																																																																																																
12	uIa	uia			0.3333333333333333	0.3333333333333333							-2	120.57272727272729	0.3333333333333333	58.121212121212125	0.3333333333333333	69.97575757575757	0.3333333333333333	87.93030303030302	0.3333333333333333	122.83939393939394																																																													-2	66.63636363636364	-2	73.45454545454545																																																													-2	62.63636363636364	-2	69.45454545454545
16	ii	Ii	0.6666666666666666	23.199999999999996	0	0.3333333333333333							0.6666666666666666	121.23939393939396	-2	56.121212121212125	-2	67.97575757575757	-2	85.93030303030302	-2	120.83939393939394																																																																													-2	43.72727272727273	-2	45.09090909090909													-2	47.45454545454545	-2	48.18181818181818													-2	53.18181818181818	-2	55.272727272727266													-2	60.63636363636364	-2	67.45454545454545
