trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		61.63636363636364		84.9090909090909		96.54545454545455		108.18181818181819		61.63636363636364		73.27272727272728		84.9090909090909		108.18181818181819		50.763636363636365		51.09090909090909		51.52727272727273		52.18181818181818		52.29090909090909		53.27272727272727		53.81818181818182		55.45454545454545		52.29090909090909		53.054545454545455		54.58181818181818		56.10909090909091		56.872727272727275		59.163636363636364		61.45454545454545		65.27272727272728		53.054545454545455		53.92727272727273		56.10909090909091		57.85454545454546		59.163636363636364		61.78181818181818		65.27272727272728		69.63636363636364		53.81818181818182		54.72727272727273		57.63636363636364		59.45454545454545		61.45454545454545		64.18181818181819		69.0909090909091		73.63636363636364		50.763636363636365		51.09090909090909		52.29090909090909		53.054545454545455		53.054545454545455		53.92727272727273		53.81818181818182		54.72727272727273		51.52727272727273		52.18181818181818		54.58181818181818		56.10909090909091		56.10909090909091		57.85454545454546		57.63636363636364		59.45454545454545		52.29090909090909		53.27272727272727		56.872727272727275		59.163636363636364		59.163636363636364		61.78181818181818		61.45454545454545		64.18181818181819		53.81818181818182		55.45454545454545		61.45454545454545		65.27272727272728		65.27272727272728		69.63636363636364		69.0909090909091		73.63636363636364
0	Apriori	Id(Bk)Syl1>>Id(Bk)	20	20																																																																																																																																																		
2	ouE	oue			0.4	0.4					-2	94.54545454545455	-2	106.18181818181819			0.4	73.67272727272729	0.4	85.30909090909091	0.4	108.58181818181819																																																																																																											-2	59.78181818181818			-2	62.18181818181819									-2	63.27272727272728	-2	67.63636363636364	-2	67.0909090909091	-2	71.63636363636364
2	Apriori	Id(Bk)Syl1>>Id(Bk)	0.3999999999999986	20.4																																																																																																																																																			
3	AA	Aa			0.4	0.8			0.4	85.30909090909091	0.4	94.94545454545455	0.4	106.58181818181819							-2	106.58181818181819																													-2	59.45454545454545	-2	63.27272727272728													-2	63.27272727272728	-2	67.63636363636364													-2	67.0909090909091	-2	71.63636363636364																																																																
3	Apriori	Id(Bk)Syl1>>Id(Bk)	0.40000000000000213	20.8																																																																																																																																																			
6	Eau	eau	0.4	21.2	0	0.8					-2	92.94545454545455	-2	104.58181818181819			0.4	74.07272727272729	0.4	85.70909090909092	0.4	106.9818181818182																																													-2	61.27272727272728	-2	65.63636363636364													-2	65.0909090909091	-2	69.63636363636364																																																																
7	EIE	Eie			0.3333333333333333	1.1333333333333333					-2	90.94545454545455	-2	102.58181818181819	0.3333333333333333	61.969696969696976	0.3333333333333333	74.40606060606062	0.3333333333333333	86.04242424242425	0.3333333333333333	107.31515151515153																																																																																											-2	55.85454545454546	-2	55.63636363636364	-2	57.45454545454545											-2	57.78181818181818	-2	59.45454545454545	-2	60.18181818181819											-2	65.63636363636364	-2	65.0909090909091	-2	69.63636363636364
9	eAy	eau			0.4	1.5333333333333332			0.4	85.70909090909092	0.4	91.34545454545456	0.4	102.9818181818182							-2	105.31515151515153																																													-2	59.27272727272728	-2	63.63636363636364													-2	63.09090909090909	-2	67.63636363636364																																																																
9	Apriori	Id(Bk)Syl1>>Id(Bk)	0.33333333333333215	21.53333333333333																																																																																																																																																			
10	eAO	Eao	0.3333333333333333	21.866666666666664	0	1.5333333333333332	0.3333333333333333	61.969696969696976	0.3333333333333333	86.04242424242425	0.3333333333333333	91.67878787878789	0.3333333333333333	103.31515151515153			-2	72.40606060606062	-2	84.04242424242425	-2	103.31515151515153																																																																																																																																
12	iAy	iau			0.4	1.9333333333333331			0.4	86.44242424242425	0.4	92.07878787878789	0.4	103.71515151515153							-2	101.31515151515153																																																													-2	61.09090909090909	-2	65.63636363636364																																																																
12	Apriori	Id(Bk)Syl1>>Id(Bk)	0.06666666666666998	21.933333333333334																																																																																																																																																			
13	auE	Aue	0.4	22.333333333333332	0	1.9333333333333331			-2	84.44242424242425	-2	90.07878787878789	-2	101.71515151515153			0.4	72.80606060606063	0.4	84.44242424242425	0.4	101.71515151515153																													-2	57.45454545454545	-2	61.27272727272728													-2	57.27272727272728	-2	61.63636363636364													-2	59.09090909090909	-2	63.63636363636364																																																									-2	61.27272727272728	-2	63.63636363636364	-2	63.09090909090909	-2	67.63636363636364
14	AOe	Aoe			0.3333333333333333	2.2666666666666666	0.3333333333333333	62.30303030303031	0.3333333333333333	84.77575757575758	0.3333333333333333	90.41212121212122	0.3333333333333333	102.04848484848486					-2	82.44242424242425	-2	99.71515151515153																									-2	54.872727272727275	-2	57.163636363636364	-2	55.45454545454545	-2	59.27272727272728									-2	57.163636363636364	-2	59.78181818181818	-2	55.27272727272728	-2	59.63636363636364									-2	59.45454545454545	-2	62.18181818181819	-2	57.09090909090909	-2	61.63636363636364																																									-2	57.163636363636364	-2	55.78181818181818	-2	57.45454545454545	-2	58.18181818181819									-2	59.27272727272728	-2	61.63636363636364	-2	61.09090909090909	-2	65.63636363636364
16	au	Au	0.6666666666666666	23.0	0	2.2666666666666666			-2	82.77575757575758	-2	88.41212121212122	-2	100.04848484848486							0.6666666666666666	100.3818181818182																													-2	53.45454545454545	-2	57.27272727272728													-2	53.27272727272728	-2	57.63636363636364													-2	55.09090909090909	-2	59.63636363636364																																																																
