trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		129.0909090909091		187.27272727272725		216.36363636363637		245.45454545454547		129.0909090909091		158.1818181818182		187.27272727272725		245.45454545454547		101.9090909090909		102.72727272727273		103.81818181818181		105.45454545454545		105.72727272727273		108.18181818181819		109.54545454545455		113.63636363636364		105.72727272727273		107.63636363636364		111.45454545454545		115.27272727272728		117.18181818181819		122.9090909090909		128.63636363636363		138.1818181818182		107.63636363636364		109.81818181818181		115.27272727272728		119.63636363636364		122.9090909090909		129.45454545454547		138.1818181818182		149.0909090909091		109.54545454545455		111.81818181818181		119.0909090909091		123.63636363636364		128.63636363636363		135.45454545454544		147.72727272727272		159.0909090909091		101.9090909090909		102.72727272727273		105.72727272727273		107.63636363636364		107.63636363636364		109.81818181818181		109.54545454545455		111.81818181818181		103.81818181818181		105.45454545454545		111.45454545454545		115.27272727272728		115.27272727272728		119.63636363636364		119.0909090909091		123.63636363636364		105.72727272727273		108.18181818181819		117.18181818181819		122.9090909090909		122.9090909090909		129.45454545454547		128.63636363636363		135.45454545454544		109.54545454545455		113.63636363636364		128.63636363636363		138.1818181818182		138.1818181818182		149.0909090909091		147.72727272727272		159.0909090909091
1	AOy	aou	2	2	2	2	2	131.0909090909091	2	189.27272727272725	2	218.36363636363637	2	247.45454545454547					-2	185.27272727272725	-2	243.45454545454547																																																																																																																																
3	uIa	uia			2	4							-2	245.45454545454547	2	131.0909090909091	2	160.1818181818182	2	187.27272727272725	2	245.45454545454547																																																													-2	145.72727272727272	-2	157.0909090909091																																																													-2	145.72727272727272	-2	157.0909090909091
6	yOO	uoo	2	4	2	6	2	133.0909090909091	2	191.27272727272725	2	220.36363636363637	2	247.45454545454547					-2	185.27272727272725	-2	243.45454545454547																																																																																																																																
8	aEa	aea			2	8					-2	218.36363636363637	-2	245.45454545454547			2	162.1818181818182	2	187.27272727272725	2	245.45454545454547																																													-2	136.1818181818182	-2	147.0909090909091													-2	143.72727272727272	-2	155.0909090909091																																																									-2	136.1818181818182	-2	147.0909090909091	-2	143.72727272727272	-2	155.0909090909091
9	OAe	oae	2	6	2	10	2	135.0909090909091	2	193.27272727272725	2	220.36363636363637	2	247.45454545454547					-2	185.27272727272725	-2	243.45454545454547																																																																																																											-2	127.45454545454547			-2	133.45454545454544									-2	134.1818181818182	-2	145.0909090909091	-2	141.72727272727272	-2	153.0909090909091
10	au	Ay	2	8	2	12			-2	191.27272727272725	-2	218.36363636363637	-2	245.45454545454547							2	245.45454545454547																																																																																																																																
11	yy	uu	2	10	2	14			2	193.27272727272725	2	220.36363636363637	2	247.45454545454547							-2	243.45454545454547																																																																																																																																
12	IuE	iue	2	12	2	16					-2	218.36363636363637	-2	245.45454545454547	2	133.0909090909091	2	164.1818181818182	2	187.27272727272725	2	245.45454545454547																																																													-2	141.72727272727272	-2	153.0909090909091																																																									-2	132.1818181818182	-2	143.0909090909091	-2	139.72727272727272	-2	151.0909090909091
13	aEu	aeu			2	18					-2	216.36363636363637	-2	243.45454545454547			2	166.1818181818182	2	189.27272727272725	2	247.45454545454547																																													-2	134.1818181818182	-2	145.0909090909091													-2	139.72727272727272	-2	151.0909090909091																																																									-2	130.1818181818182	-2	141.0909090909091	-2	137.72727272727272	-2	149.0909090909091
14	yei	uei	2	14	2	20			2	195.27272727272725	2	218.36363636363637	2	245.45454545454547							-2	245.45454545454547																																																																																																																									-2	128.1818181818182	-2	139.0909090909091	-2	135.72727272727272	-2	147.0909090909091
15	Eoa	eOA	2	16	2	22	-2	133.0909090909091	-2	193.27272727272725	-2	216.36363636363637	-2	243.45454545454547			2	168.1818181818182	2	191.27272727272725	2	247.45454545454547																																																																																																																																
16	iiO	iio			2	24	2	135.0909090909091	2	195.27272727272725	2	218.36363636363637	2	245.45454545454547					-2	189.27272727272725	-2	245.45454545454547																																																									-2	126.63636363636363	-2	133.45454545454544	-2	137.72727272727272	-2	149.0909090909091																																																																
17	AOO	aoo	2	18	2	26	2	137.0909090909091	2	197.27272727272725	2	220.36363636363637	2	247.45454545454547					-2	187.27272727272725	-2	243.45454545454547																																																																																																																																
19	auI	aui			2	28							-2	245.45454545454547	2	135.0909090909091	2	170.1818181818182	2	189.27272727272725	2	245.45454545454547																																																																																																																													-2	133.72727272727272	-2	145.0909090909091
21	eO	eo			2	30	2	139.0909090909091	2	199.27272727272725	2	222.36363636363637	2	247.45454545454547					-2	187.27272727272725	-2	243.45454545454547																																									-2	120.9090909090909	-2	127.45454545454547	-2	132.1818181818182	-2	143.0909090909091									-2	124.63636363636363	-2	131.45454545454544	-2	135.72727272727272	-2	147.0909090909091																																																																
22	ooo	OOO	2	20	2	32	-2	137.0909090909091	-2	197.27272727272725	-2	220.36363636363637	-2	245.45454545454547					2	189.27272727272725	2	245.45454545454547																																																																																																																																
24	uao	yAO	2	22	2	34	-2	135.0909090909091	-2	195.27272727272725	-2	218.36363636363637	-2	243.45454545454547					2	191.27272727272725	2	247.45454545454547																																																																																																																																
27	iAy	iau			2	36			2	197.27272727272725	2	220.36363636363637	2	245.45454545454547							-2	245.45454545454547																																																													-2	133.72727272727272	-2	145.0909090909091																																																																
29	AAA	aaa	2	24	2	38			2	199.27272727272725	2	222.36363636363637	2	247.45454545454547							-2	243.45454545454547																																																																																																																																
30	aou	AOy	2	26	2	40	-2	133.0909090909091	-2	197.27272727272725	-2	220.36363636363637	-2	245.45454545454547					2	193.27272727272725	2	245.45454545454547																																																																																																																																
32	IEI	iei	2	28	2	42					-2	218.36363636363637	-2	243.45454545454547	2	137.0909090909091	2	172.1818181818182	2	195.27272727272725	2	247.45454545454547																																																																																																																																
