trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		32.27272727272727		46.81818181818181		54.09090909090909		61.36363636363637		32.27272727272727		39.54545454545455		46.81818181818181		61.36363636363637		25.477272727272727		25.681818181818183		25.954545454545453		26.363636363636363		26.431818181818183		27.045454545454547		27.386363636363637		28.40909090909091		26.431818181818183		26.90909090909091		27.863636363636363		28.81818181818182		29.295454545454547		30.727272727272727		32.15909090909091		34.54545454545455		26.90909090909091		27.454545454545453		28.81818181818182		29.90909090909091		30.727272727272727		32.36363636363637		34.54545454545455		37.27272727272727		27.386363636363637		27.954545454545453		29.772727272727273		30.90909090909091		32.15909090909091		33.86363636363636		36.93181818181818		39.77272727272727		25.477272727272727		25.681818181818183		26.431818181818183		26.90909090909091		26.90909090909091		27.454545454545453		27.386363636363637		27.954545454545453		25.954545454545453		26.363636363636363		27.863636363636363		28.81818181818182		28.81818181818182		29.90909090909091		29.772727272727273		30.90909090909091		26.431818181818183		27.045454545454547		29.295454545454547		30.727272727272727		30.727272727272727		32.36363636363637		32.15909090909091		33.86363636363636		27.386363636363637		28.40909090909091		32.15909090909091		34.54545454545455		34.54545454545455		37.27272727272727		36.93181818181818		39.77272727272727
0	Apriori	Id(Bk)Syl1>>Id(Bk)	20	20																																																																																																																																																		
3	ie	iE			0.5	0.5					0.5	54.59090909090909	0.5	61.86363636363637			-2	37.54545454545455	-2	44.81818181818181	-2	59.36363636363637																																																					-2	27.772727272727273	-2	28.90909090909091	-2	30.159090909090907	-2	31.86363636363636	-2	34.93181818181818	-2	37.77272727272727																																																																
3	Apriori	Id(Bk)Syl1>>Id(Bk)	0.5	20.5																																																																																																																																																			
6	yyA	uua	0.4	20.9	0	0.5			0.4	47.21818181818181	0.4	54.99090909090909	0.4	62.263636363636365							-2	57.36363636363637																																																																																																																																
7	aaE	AAe	0.4	21.299999999999997	0	0.5			-2	45.21818181818181	-2	52.99090909090909	-2	60.263636363636365			0.4	37.945454545454545	0.4	45.21818181818181	0.4	57.763636363636365																																																																																																																																
8	aII	aii			0.3333333333333333	0.8333333333333333							-2	58.263636363636365	0.3333333333333333	32.60606060606061	0.3333333333333333	38.27878787878788	0.3333333333333333	45.55151515151515	0.3333333333333333	58.0969696969697																																																																																																																													-2	34.93181818181818	-2	37.77272727272727
10	aIE	aiE			0.3333333333333333	1.1666666666666665							-2	56.263636363636365	0.3333333333333333	32.939393939393945	0.3333333333333333	38.61212121212122	0.3333333333333333	45.88484848484848	0.3333333333333333	58.43030303030304																																																					-2	25.772727272727273	-2	26.90909090909091	-2	28.159090909090907	-2	29.86363636363636	-2	32.93181818181818	-2	35.77272727272727																																																													-2	32.93181818181818	-2	35.77272727272727
11	eOe	EoE	0.3333333333333333	21.63333333333333	0	1.1666666666666665	0.3333333333333333	32.60606060606061	0.3333333333333333	45.55151515151515	0.3333333333333333	53.32424242424243	0.3333333333333333	56.5969696969697			-2	36.61212121212122	-2	43.88484848484848	-2	56.43030303030304																																																																																																																																
12	uIE	uiE			0.3333333333333333	1.4999999999999998							-2	54.5969696969697	0.3333333333333333	33.27272727272728	0.3333333333333333	36.94545454545455	0.3333333333333333	44.21818181818182	0.3333333333333333	56.76363636363637																																																					-2	23.772727272727273	-2	24.90909090909091	-2	26.159090909090907	-2	27.86363636363636	-2	30.93181818181818	-2	33.77272727272727																																																													-2	30.93181818181818	-2	33.77272727272727
15	oaa	OAA	0.5	22.13333333333333	0	1.4999999999999998	-2	30.60606060606061	-2	43.55151515151515	-2	51.32424242424243	-2	52.5969696969697					0.5	44.71818181818182	0.5	57.26363636363637																																																																																																																																
16	eei	EEi	0.5	22.63333333333333	0	1.4999999999999998					0.5	51.82424242424243	0.5	53.0969696969697			-2	34.94545454545455	-2	42.71818181818182	-2	55.26363636363637																																																																																													-2	27.772727272727273	-2	28.90909090909091													-2	30.159090909090907	-2	31.86363636363636													-2	28.93181818181818	-2	31.772727272727273
18	eAy	Eau	0.4	23.033333333333328	0	1.4999999999999998			0.4	43.951515151515146	0.4	52.224242424242426	0.4	53.4969696969697			-2	32.94545454545455	-2	40.71818181818182	-2	53.26363636363637																																																																																																																																
20	OOO	ooo	0.3333333333333333	23.36666666666666	0	1.4999999999999998	0.3333333333333333	30.93939393939394	0.3333333333333333	44.28484848484848	0.3333333333333333	52.55757575757576	0.3333333333333333	53.830303030303035					-2	38.71818181818182	-2	51.26363636363637																																																																																																																																
21	EEE	eee	0.4	23.76666666666666	0	1.4999999999999998					-2	50.55757575757576	-2	51.830303030303035			0.4	33.34545454545455	0.4	39.11818181818182	0.4	51.66363636363637																																																																																																																																
23	oiE	Oie	0.13333333333333333	23.89999999999999	0	1.4999999999999998	-2	28.93939393939394	-2	42.28484848484848	-2	48.55757575757576	-2	49.830303030303035			0.13333333333333333	33.478787878787884	0.13333333333333333	39.25151515151515	0.13333333333333333	51.796969696969704																																																					0.13333333333333333	23.906060606060606	0.13333333333333333	25.042424242424243	0.13333333333333333	26.29242424242424	0.13333333333333333	27.996969696969693	0.13333333333333333	31.065151515151513	0.13333333333333333	33.906060606060606																																													0.13333333333333333	30.29242424242424	0.13333333333333333	31.996969696969693													0.13333333333333333	29.065151515151513	0.13333333333333333	31.906060606060606
24	eOA	Eoa	0.3333333333333333	24.233333333333324	0	1.4999999999999998	0.3333333333333333	29.272727272727273	0.3333333333333333	42.61818181818182	0.3333333333333333	48.8909090909091	0.3333333333333333	50.16363636363637			-2	31.478787878787884	-2	37.25151515151515	-2	49.796969696969704																																																																																																																																
25	OeO	oEo	0.3333333333333333	24.566666666666656	0	1.4999999999999998	0.3333333333333333	29.606060606060606	0.3333333333333333	42.95151515151515	0.3333333333333333	49.22424242424243	0.3333333333333333	50.49696969696971			-2	29.478787878787884	-2	35.25151515151515	-2	47.796969696969704																																																																																																																																
