trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		140		140		140		140		140		140		140		140		100		120		100		120		100		120		100		120		100		120		100		120		100		120		100		120		100		120		100		120		100		120		100		120		100		120		100		120		100		120		100		120		100		120		100		120		100		120		100		120		100		120		100		120		100		120		100		120		100		120		100		120		100		120		100		120		100		120		100		120		100		120		100		120
1	uoI	uoi			0.4	0.4							-2	138	0.4	140.4	0.4	140.4	0.4	140.4	0.4	140.4																																																																																																													-2	98	-2	118													-2	98	-2	118
2	au	Ay	0.6666666666666666	0.6666666666666666	0.6666666666666666	1.0666666666666667			-2	138	-2	138	-2	136							0.6666666666666666	141.06666666666666																																																																																																																																
3	uau	yAy	0.6666666666666666	1.3333333333333333	0.6666666666666666	1.7333333333333334			-2	136	-2	136	-2	134							0.6666666666666666	141.73333333333332																																																																																																																																
6	ieu	iey			0.3333333333333333	2.066666666666667			-2	134	-2	134	-2	132							0.3333333333333333	142.06666666666666																																													0.3333333333333333	100.33333333333333	0.3333333333333333	120.33333333333333													0.3333333333333333	100.33333333333333	0.3333333333333333	120.33333333333333																																																																
7	iie	iiE			0.6666666666666666	2.7333333333333334					0.6666666666666666	134.66666666666666	0.6666666666666666	132.66666666666666			-2	138.4	-2	138.4	-2	140.06666666666666																																																					-2	98	-2	118	-2	98	-2	118	-2	98.33333333333333	-2	118.33333333333333																																																																
8	ae	aE			0.2857142857142857	3.019047619047619					0.2857142857142857	134.95238095238093	0.2857142857142857	132.95238095238093			-2	136.4	-2	136.4	-2	138.06666666666666																																																																																																																									0.2857142857142857	100.28571428571429	0.2857142857142857	120.28571428571429	0.2857142857142857	98.28571428571429	0.2857142857142857	118.28571428571429
11	iyo	iyO			0.13333333333333333	3.1523809523809523	-2	138	-2	132	-2	132.95238095238093	-2	130.95238095238093					0.13333333333333333	136.53333333333333	0.13333333333333333	138.2																									0.13333333333333333	100.13333333333334	0.13333333333333333	120.13333333333334	0.13333333333333333	100.13333333333334	0.13333333333333333	120.13333333333334									0.13333333333333333	100.13333333333334	0.13333333333333333	120.13333333333334	0.13333333333333333	100.46666666666667	0.13333333333333333	120.46666666666667									0.13333333333333333	98.13333333333334	0.13333333333333333	118.13333333333334	0.13333333333333333	98.46666666666667	0.13333333333333333	118.46666666666667																																																																
12	eAe	EaE	0.4	1.7333333333333334	0.4	3.552380952380952			0.4	132.4	0.4	133.35238095238094	0.4	131.35238095238094			-2	134.4	-2	134.53333333333333	-2	136.2																																																																																																																																
13	iyy	Iuu	0.4	2.1333333333333333	0.4	3.952380952380952			0.4	132.8	0.4	133.75238095238095	0.4	131.75238095238095	-2	138.4	-2	132.4	-2	132.53333333333333	-2	134.2																																																																																																																																
