trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		140		140		140		140		140		140		140		140		100		120		100		120		100		120		100		120		100		120		100		120		100		120		100		120		100		120		100		120		100		120		100		120		100		120		100		120		100		120		100		120		100		120		100		120		100		120		100		120		100		120		100		120		100		120		100		120		100		120		100		120		100		120		100		120		100		120		100		120		100		120		100		120
2	aIo	AiO	0.4	0.4	0	0	-2	138	-2	138	-2	138	-2	138	0.4	140.4	0.4	140.4	0.4	140.4	0.4	140.4																																																																																																																																
4	eOO	eoo			0.4	0.4	0.4	138.4	0.4	138.4	0.4	138.4	0.4	138.4					-2	138.4	-2	138.4																																									-2	98	-2	118	-2	98	-2	118									-2	98	-2	118	-2	98	-2	118																																																																
5	iua	iyA			0.5	0.9			-2	136.4	-2	136.4	-2	136.4							0.5	138.9																																																													0.5	98.5	0.5	118.5																																																																
6	iy	iu			0.5	1.4			0.5	136.9	0.5	136.9	0.5	136.9							-2	136.9																																																													-2	96.5	-2	116.5																																																																
7	ey	eu			0.5	1.9			0.5	137.4	0.5	137.4	0.5	137.4							-2	134.9																																													-2	96	-2	116													-2	94.5	-2	114.5																																																																
8	iOa	ioa			0.18181818181818182	2.0818181818181816	0.18181818181818182	138.5818181818182	0.18181818181818182	137.5818181818182	0.18181818181818182	137.5818181818182	0.18181818181818182	137.5818181818182					-2	136.4	-2	132.9													0.18181818181818182	100.18181818181819	0.18181818181818182	120.18181818181819													0.18181818181818182	100.18181818181819	0.18181818181818182	120.18181818181819													0.18181818181818182	96.18181818181819	0.18181818181818182	116.18181818181819									-2	96	-2	116			-2	112.5																																																																
9	eoi	eOi			0.13333333333333333	2.215151515151515	-2	136.5818181818182	-2	135.5818181818182	-2	135.5818181818182	-2	135.5818181818182					0.13333333333333333	136.53333333333333	0.13333333333333333	133.03333333333333																																									0.13333333333333333	98.13333333333334	0.13333333333333333	118.13333333333334	0.13333333333333333	96.31515151515153	0.13333333333333333	116.31515151515153									0.13333333333333333	96.13333333333334	0.13333333333333333	116.13333333333334	0.13333333333333333	94.63333333333334	0.13333333333333333	112.63333333333334																																													0.13333333333333333	100.13333333333334	0.13333333333333333	120.13333333333334													0.13333333333333333	100.13333333333334	0.13333333333333333	120.13333333333334
13	eO	eo			0.4	2.615151515151515	0.4	136.9818181818182	0.4	135.9818181818182	0.4	135.9818181818182	0.4	135.9818181818182					-2	134.53333333333333	-2	131.03333333333333																																									-2	96.13333333333334	-2	116.13333333333334	-2	94.31515151515153	-2	114.31515151515153									-2	94.13333333333334	-2	114.13333333333334	-2	92.63333333333334	-2	110.63333333333334																																																																
14	aee	Aee	0.3333333333333333	0.7333333333333334	0	2.615151515151515			-2	133.9818181818182	-2	133.9818181818182	-2	133.9818181818182							0.3333333333333333	131.36666666666667																																																																																																																									0.3333333333333333	100.33333333333333	0.3333333333333333	120.33333333333333	0.3333333333333333	100.46666666666667	0.3333333333333333	120.46666666666667
16	oai	OAi	0.3333333333333333	1.0666666666666667	0	2.615151515151515	-2	134.9818181818182	-2	131.9818181818182	-2	131.9818181818182	-2	131.9818181818182					0.3333333333333333	134.86666666666667	0.3333333333333333	131.70000000000002																																																																																																															0.3333333333333333	120.46666666666667													0.3333333333333333	100.8	0.3333333333333333	120.8
18	iOa	iOA			0.2	2.815151515151515			-2	129.9818181818182	-2	129.9818181818182	-2	129.9818181818182							0.2	131.9													0.2	100.38181818181819	0.2	120.38181818181819													0.2	100.38181818181819	0.2	120.38181818181819													0.2	94.51515151515153	0.2	114.51515151515153													0.2	92.83333333333334	0.2	110.83333333333334																																																																
19	Oe	oe	0.4	1.4666666666666668	0	2.815151515151515	0.4	135.3818181818182	0.4	130.3818181818182	0.4	130.3818181818182	0.4	130.3818181818182					-2	132.86666666666667	-2	129.9																																																																																																									-2	98	-2	118	-2	98.13333333333334	-2	118.46666666666667									-2	98.33333333333333	-2	118.33333333333333	-2	98.8	-2	118.8
24	oio	OiO	0.18181818181818182	1.6484848484848487	0	2.815151515151515	-2	133.3818181818182	-2	128.3818181818182	-2	128.3818181818182	-2	128.3818181818182					0.18181818181818182	133.04848484848486	0.18181818181818182	130.0818181818182																																																									0.18181818181818182	94.31515151515153	0.18181818181818182	114.31515151515153	0.18181818181818182	93.01515151515153	0.18181818181818182	111.01515151515153																																													0.18181818181818182	98.31515151515153	0.18181818181818182	118.64848484848486													0.18181818181818182	98.98181818181818	0.18181818181818182	118.98181818181818
29	oyi	Oyi	0.13333333333333333	1.781818181818182	0	2.815151515151515	-2	131.3818181818182	-2	126.3818181818182	-2	126.3818181818182	-2	126.3818181818182					0.13333333333333333	133.1818181818182	0.13333333333333333	130.21515151515152																																																																																																					0.13333333333333333	100.13333333333334	0.13333333333333333	120.13333333333334	0.13333333333333333	98.13333333333334	0.13333333333333333	118.13333333333334	0.13333333333333333	98.44848484848487	0.13333333333333333	118.7818181818182					0.13333333333333333	100.13333333333334	0.13333333333333333	120.13333333333334	0.13333333333333333	98.46666666666667	0.13333333333333333	118.46666666666667	0.13333333333333333	99.11515151515152	0.13333333333333333	119.11515151515152
30	eoy	eOy			0.08695652173913043	2.9021080368906453	-2	129.3818181818182	-2	124.3818181818182	-2	124.3818181818182	-2	124.3818181818182					0.08695652173913043	133.2687747035573	0.08695652173913043	130.30210803689064																																									0.08695652173913043	96.22028985507247	0.08695652173913043	116.22028985507247	0.08695652173913043	94.60210803689066	0.08695652173913043	114.60210803689066									0.08695652173913043	94.40210803689065	0.08695652173913043	114.40210803689065	0.08695652173913043	93.10210803689066	0.08695652173913043	111.10210803689066																																					0.08695652173913043	100.22028985507247	0.08695652173913043	120.22028985507247	0.08695652173913043	98.22028985507247	0.08695652173913043	118.22028985507247	0.08695652173913043	98.53544137022399	0.08695652173913043	118.86877470355732					0.08695652173913043	100.22028985507247	0.08695652173913043	120.22028985507247	0.08695652173913043	98.5536231884058	0.08695652173913043	118.5536231884058	0.08695652173913043	99.20210803689065	0.08695652173913043	119.20210803689065
32	OO	oo	0.4	2.181818181818182	0	2.9021080368906453	0.4	129.7818181818182	0.4	124.78181818181821	0.4	124.78181818181821	0.4	124.78181818181821					-2	131.2687747035573	-2	128.30210803689064																																																																																																																																
33	Oau	OAy			0.2	3.1021080368906455			-2	122.78181818181821	-2	122.78181818181821	-2	122.78181818181821							0.2	128.50210803689063													0.2	100.58181818181819	0.2	120.58181818181819													0.2	100.58181818181819	0.2	120.58181818181819													0.2	94.80210803689066	0.2	114.80210803689066													0.2	93.30210803689066	0.2	111.30210803689066																																																																
38	Ayi	aui	0.5	2.681818181818182	0	3.1021080368906455			0.5	123.28181818181821	0.5	123.28181818181821	0.5	123.28181818181821							-2	126.50210803689063																																																																																																																													-2	97.20210803689065	-2	117.20210803689065
39	eA	ea			0.5	3.6021080368906455			0.5	123.78181818181821	0.5	123.78181818181821	0.5	123.78181818181821							-2	124.50210803689063																																													-2	92.80210803689066	-2	112.80210803689066													-2	91.30210803689066	-2	109.30210803689066																																																																
41	uai	yAi	0.5	3.181818181818182	0	3.6021080368906455			-2	121.78181818181821	-2	121.78181818181821	-2	121.78181818181821							0.5	125.00210803689063																																																																																																																													0.5	97.70210803689065	0.5	117.70210803689065
42	Oi	oi	0.4	3.581818181818182	0	3.6021080368906455	0.4	130.18181818181822	0.4	122.18181818181822	0.4	122.18181818181822	0.4	122.18181818181822					-2	129.2687747035573	-2	123.00210803689063																																																																																																													-2	96.53544137022399	-2	116.86877470355732													-2	95.70210803689065	-2	115.70210803689065
44	oeu	Oey	0.13333333333333333	3.7151515151515153	0	3.6021080368906455	-2	128.18181818181822	-2	120.18181818181822	-2	120.18181818181822	-2	120.18181818181822					0.13333333333333333	129.40210803689064	0.13333333333333333	123.13544137022397																																													0.13333333333333333	92.935441370224	0.13333333333333333	112.935441370224													0.13333333333333333	91.435441370224	0.13333333333333333	109.435441370224																																									0.13333333333333333	98.3536231884058	0.13333333333333333	118.3536231884058	0.13333333333333333	96.66877470355733	0.13333333333333333	117.00210803689066									0.13333333333333333	98.68695652173913	0.13333333333333333	118.68695652173913	0.13333333333333333	95.83544137022399	0.13333333333333333	115.83544137022399
46	Oiy	oiu	0.4	4.115151515151515	0	3.6021080368906455	0.4	128.58181818181822	0.4	120.58181818181822	0.4	120.58181818181822	0.4	120.58181818181822					-2	127.40210803689064	-2	121.13544137022397																																																													-2	89.435441370224	-2	107.435441370224																																													-2	94.66877470355733	-2	115.00210803689066													-2	93.83544137022399	-2	113.83544137022399
49	eoi	eOi			0.13333333333333333	3.735441370223979	-2	126.58181818181822	-2	118.58181818181822	-2	118.58181818181822	-2	118.58181818181822					0.13333333333333333	127.53544137022398	0.13333333333333333	121.26877470355731																																									0.13333333333333333	96.3536231884058	0.13333333333333333	116.3536231884058	0.13333333333333333	93.06877470355734	0.13333333333333333	113.06877470355734									0.13333333333333333	94.53544137022399	0.13333333333333333	114.53544137022399	0.13333333333333333	89.56877470355734	0.13333333333333333	107.56877470355734																																													0.13333333333333333	94.80210803689067	0.13333333333333333	115.135441370224													0.13333333333333333	93.96877470355733	0.13333333333333333	113.96877470355733
51	AOy	aou	0.4	4.515151515151516	0	3.735441370223979	0.4	126.98181818181823	0.4	118.98181818181823	0.4	118.98181818181823	0.4	118.98181818181823					-2	125.53544137022398	-2	119.26877470355731																																																																																																																																
