trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		100		140		160		180		100		120		140		180		100		100		120		120		140		140		180		180		140		140		140		140		140		140		180		180		160		160		160		160		160		160		180		180		180		180		180		180		180		180		180		180		100		100		140		140		160		160		180		180		120		120		140		140		160		160		180		180		140		140		140		140		160		160		180		180		180		180		180		180		180		180		180		180
2	III	Iii			2	2							-2	178	2	102	2	122	2	142	2	182																																																																													-2	178	-2	178													-2	178	-2	178													-2	178	-2	178													-2	178	-2	178
3	yiy	uiu	2	2	2	4			2	142	2	162	2	180							-2	180																																																													-2	178	-2	178																																																													-2	176	-2	176
5	ao	AO	2	4	2	6	-2	98	-2	140	-2	160	-2	178					2	144	2	182																																																																																																																																
6	yOi	uoi	2	6	2	8	2	100	2	142	2	162	2	180					-2	142	-2	180																																																																																																													-2	176	-2	176													-2	174	-2	174
8	uoI	uoi			2	10							-2	178	2	104	2	124	2	144	2	182																																																																																																													-2	174	-2	174													-2	172	-2	172
10	eie	EiE	2	8	2	12					2	164	2	180			-2	122	-2	142	-2	180																																																					-2	178	-2	178	-2	178	-2	178	-2	176	-2	176																													-2	176	-2	176													-2	172	-2	172													-2	170	-2	170
12	eOA	Eoa	2	10	2	14	2	102	2	144	2	166	2	182			-2	120	-2	140	-2	178																																																																																																																																
14	IuI	iyi	2	12	2	16			-2	142	-2	164	-2	180	2	106	2	122	2	142	2	180																																																																																																																																
15	aoE	AOe	2	14	2	18	-2	100	-2	140	-2	162	-2	178			2	124	2	144	2	182																																																																																																																																
17	eOy	Eou	2	16	2	20	2	102	2	142	2	164	2	180			-2	122	-2	142	-2	180																																																																																																																																
19	oEu	Oey	2	18	2	22	-2	100	-2	140	-2	162	-2	178			2	124	2	144	2	182																																																																																																																																
20	AOi	aoi	2	20	2	24	2	102	2	142	2	164	2	180					-2	142	-2	180																																																																																																													-2	170	-2	170													-2	168	-2	168
22	EIu	eiy	2	22	2	26			-2	140	-2	162	-2	178	2	108	2	126	2	144	2	182																																																																																																																																
23	OOA	ooa	2	24	2	28	2	104	2	142	2	164	2	180					-2	142	-2	180																																																																																																																																
24	auI	aui			2	30							-2	178	2	110	2	128	2	144	2	182																																																																																																																													-2	166	-2	166
25	Aiy	aiu	2	26	2	32			2	144	2	166	2	180							-2	180																																																													-2	174	-2	174																																																													-2	164	-2	164
27	uau	yAy	2	28	2	34			-2	142	-2	164	-2	178							2	182																																																																																																																																
28	OeO	oEo	2	30	2	36	2	106	2	144	2	166	2	180			-2	126	-2	142	-2	180																																																																																																																																
29	IIa	iia	2	32	2	38							-2	178	2	112	2	128	2	144	2	182																																																													-2	172	-2	172																																																																
30	uIu	uiu			2	40							-2	176	2	114	2	130	2	146	2	184																																																													-2	170	-2	170																																																													-2	162	-2	162
31	Oei	oEi	2	34	2	42	2	108	2	146	2	168	2	178			-2	128	-2	144	-2	182																																																																																													-2	174	-2	174													-2	168	-2	168													-2	160	-2	160
33	yye	uuE	2	36	2	44			2	148	2	170	2	180			-2	126	-2	142	-2	180																																																																																																																																
34	ouE	Oye	2	38	2	46	-2	106	-2	146	-2	168	-2	178			2	128	2	144	2	182																																																																																																																																
35	yOe	uoE	2	40	2	48	2	108	2	148	2	170	2	180			-2	126	-2	142	-2	180																																																																																																																																
36	IIo	iiO	2	42	2	50	-2	106	-2	146	-2	168	-2	178	2	116	2	128	2	144	2	182																																																																																																																																
37	OOy	oou	2	44	2	52	2	108	2	148	2	170	2	180					-2	142	-2	180																																																																																																																																
38	eie	EiE	2	46	2	54					2	172	2	182			-2	126	-2	140	-2	178																																																					-2	176	-2	176	-2	176	-2	176	-2	168	-2	168																													-2	172	-2	172													-2	166	-2	166													-2	158	-2	158
41	ou	Oy	2	48	2	56	-2	106	-2	146	-2	170	-2	180					2	142	2	180																																																																																																																																
42	aIu	aiu			2	58							-2	178	2	118	2	128	2	144	2	182																																																													-2	166	-2	166																																																													-2	156	-2	156
48	iOe	IoE	2	50	2	60	2	108	2	148	2	172	2	180	-2	116	-2	126	-2	142	-2	180																																																																																																																																
49	uoI	uoi			2	62							-2	178	2	118	2	128	2	144	2	182																																																																																																													-2	164	-2	164													-2	154	-2	154
50	IIu	iiy	2	52	2	64			-2	146	-2	170	-2	176	2	120	2	130	2	146	2	184																																																																																																																																
52	AAi	aai	2	54	2	66			2	148	2	172	2	178							-2	182																																																																																																																													-2	152	-2	152
54	eA	Ea	2	56	2	68			2	150	2	174	2	180			-2	128	-2	144	-2	180																																																																																																																																
55	eyi	Eui	2	58	2	70			2	152	2	176	2	182			-2	126	-2	142	-2	178																																																																																															-2	170															-2	162													-2	150	-2	150
57	EoE	eOe	2	60	2	72	-2	106	-2	150	-2	174	-2	180			2	128	2	144	2	180																																																																																																																																
58	oIo	oio			2	74							-2	178	2	122	2	130	2	146	2	182																																																									-2	174	-2	174	-2	164	-2	164																																													-2	162	-2	160													-2	148	-2	148
61	OiA	oia	2	62	2	76	2	108	2	152	2	176	2	180					-2	144	-2	180																																																													-2	162	-2	162																																													-2	160	-2	158													-2	146	-2	146
63	EEa	eeA	2	64	2	78			-2	150	-2	174	-2	178			2	132	2	146	2	182																																																																																																																																
64	AeA	aEa	2	66	2	80			2	152	2	176	2	180			-2	130	-2	144	-2	180																																																																																																																																
65	yOe	uoE	2	68	2	82	2	110	2	154	2	178	2	182			-2	128	-2	142	-2	178																																																																																																																																
68	oau	OAy	2	70	2	84	-2	108	-2	152	-2	176	-2	180					2	144	2	180																																																																																																																																
69	ai	Ai	2	72	2	86			-2	150	-2	174	-2	178							2	182																																																																																																																													2	148	2	148
70	Oe	oE	2	74	2	88	2	110	2	152	2	176	2	180			-2	126	-2	142	-2	180																																																																																																																																
71	aIo	aio			2	90							-2	178	2	124	2	128	2	144	2	182																																																									-2	172	-2	172	-2	160	-2	160																																																													-2	146	-2	146
72	yyy	uuu	2	76	2	92			2	154	2	178	2	180							-2	180																																																																																																																																
73	IIu	Iiu			2	94							-2	178	2	126	2	130	2	146	2	182																																																													-2	158	-2	158													-2	176	-2	176													-2	170	-2	168													-2	158	-2	156													-2	144	-2	144
76	OO	oo	2	78	2	96	2	112	2	156	2	180	2	180					-2	144	-2	180																																																																																																																																
78	Eia	eiA	2	80	2	98			-2	154	-2	178	-2	178			2	132	2	146	2	182																																																													2	160	2	160																													2	172	2	170													2	160	2	158													2	146	2	146
80	ouE	Oye	2	82	2	100	-2	110	-2	152	-2	176	-2	176			2	134	2	148	2	184																																																																																																																																
83	ie	iE			2	102					2	178	2	178			-2	132	-2	146	-2	182																																																					-2	174	-2	174	-2	170	-2	170	-2	158	-2	158																																																																
85	eA	Ea	2	84	2	104			2	154	2	180	2	180			-2	130	-2	144	-2	180																																																																																																																																
86	EEI	EEi			2	106							-2	178	2	128	2	132	2	146	2	182																																																																																													-2	170	-2	168													-2	158	-2	156													-2	144	-2	144
89	Ayy	auu	2	86	2	108			2	156	2	182	2	180							-2	180																																																																																																																																
90	iOO	ioo			2	110	2	112	2	158	2	184	2	182					-2	144	-2	178																																																									-2	168	-2	168	-2	156	-2	156																																																																
