trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		100		140		160		180		100		120		140		180		100		100		120		120		140		140		180		180		140		140		140		140		140		140		180		180		160		160		160		160		160		160		180		180		180		180		180		180		180		180		180		180		100		100		140		140		160		160		180		180		120		120		140		140		160		160		180		180		140		140		140		140		160		160		180		180		180		180		180		180		180		180		180		180
2	EaI	Eai			2	2							-2	178	2	102	2	122	2	142	2	182																																																																																															-2	178															-2	178													-2	178	-2	178
3	aau	AAy	2	2	0	2			-2	138	-2	158	-2	176							2	184																																																																																																																																
6	ii	Ii	2	4	0	2							2	178	-2	100	-2	120	-2	140	-2	182																																																																													-2	178	-2	178													-2	178	-2	176													-2	178	-2	176													-2	176	-2	176
7	OOA	ooa	2	6	0	2	2	102	2	140	2	160	2	180					-2	138	-2	180																																																																																																																																
8	Aey	aEu	2	8	0	2			2	142	2	162	2	182			-2	118	-2	136	-2	178																																																																																																																																
9	ooo	OOO	2	10	0	2	-2	100	-2	140	-2	160	-2	180					2	138	2	180																																																																																																																																
10	EEo	eeO	2	12	0	2	-2	98	-2	138	-2	158	-2	178			2	120	2	140	2	182																																																																																																																																
11	iyO	iuo			2	4	2	100	2	140	2	160	2	180					-2	138	-2	180																																																											-2	178	-2	178	-2	178																																																																
16	iOO	Ioo	2	14	0	4	2	102	2	142	2	162	2	182	-2	98	-2	118	-2	136	-2	178																																																																																																																																
22	uoI	yOi	2	16	0	4	-2	100	-2	140	-2	160	-2	180	2	100	2	120	2	138	2	180																																																																																																																																
23	Ay	au	2	18	0	4			2	142	2	162	2	182							-2	178																																																																																																																																
24	oIo	oio			2	6							-2	180	2	102	2	122	2	140	2	180																																																									-2	178	-2	176	-2	176	-2	176																																													-2	176	-2	174													-2	174	-2	174
25	EoE	eOe	2	20	0	6	-2	98	-2	140	-2	160	-2	178			2	124	2	142	2	182																																																																																																																																
27	ee	EE	2	22	0	6					2	162	2	180			-2	122	-2	140	-2	180																																																																																																																																
28	ooa	OOA	2	24	0	6	-2	96	-2	138	-2	160	-2	178					2	142	2	182																																																																																																																																
29	eee	EEE	2	26	0	6					2	162	2	180			-2	120	-2	140	-2	180																																																																																																																																
31	uEE	yee	2	28	0	6			-2	136	-2	160	-2	178			2	122	2	142	2	182																																																																																																																																
32	OyO	ouo	2	30	0	6	2	98	2	138	2	162	2	180					-2	140	-2	180																																																																																																																																
33	uI	ui			2	8							-2	178	2	104	2	124	2	142	2	182																																																																																																																													-2	172	-2	172
34	yyO	uuo	2	32	0	8	2	100	2	140	2	164	2	180					-2	140	-2	180																																																																																																																																
35	iey	iEu			2	10			2	142	2	166	2	182			-2	122	-2	138	-2	178																																																					-2	178	-2	178	-2	176	-2	174	-2	174	-2	174																																																																
36	II	Ii			2	12							-2	180	2	106	2	124	2	140	2	180																																																																													-2	176	-2	176													-2	176	-2	174													-2	174	-2	172													-2	170	-2	170
37	OOA	ooa	2	34	0	12	2	102	2	144	2	168	2	182					-2	138	-2	178																																																																																																																																
40	aIo	AiO	2	36	0	12	-2	100	-2	142	-2	166	-2	180	2	108	2	126	2	140	2	180																																																																																																																																
41	iOO	ioo			2	14	2	102	2	144	2	168	2	182					-2	138	-2	178																																																									-2	174	-2	172	-2	172	-2	172																																																																
42	uIu	yiy	2	38	0	14			-2	142	-2	166	-2	180	2	110	2	128	2	140	2	180																																																																																																																																
44	oIa	oia			2	16							-2	178	2	112	2	130	2	142	2	182																																																													-2	170	-2	170																																													-2	172	-2	170													-2	168	-2	168
45	Aey	aEu	2	40	0	16			2	144	2	168	2	180			-2	128	-2	140	-2	180																																																																																																																																
46	Eoa	eOA	2	42	0	16	-2	100	-2	142	-2	166	-2	178			2	130	2	142	2	182																																																																																																																																
49	uII	uii			2	18							-2	176	2	114	2	132	2	144	2	184																																																																																																																													-2	166	-2	166
50	iA	Ia	2	44	0	18			2	144	2	168	2	178	-2	112	-2	130	-2	142	-2	182																																																																																																																																
51	iAe	IaE	2	46	0	18			2	146	2	170	2	180	-2	110	-2	128	-2	140	-2	180																																																																																																																																
52	iii	Iii	2	48	0	18							2	182	-2	108	-2	126	-2	138	-2	178																																																																													-2	174	-2	174													-2	174	-2	172													-2	170	-2	168													-2	164	-2	164
53	uua	yyA	2	50	0	18			-2	144	-2	168	-2	180							2	180																																																																																																																																
54	yey	uEu	2	52	0	18			2	146	2	170	2	182			-2	124	-2	136	-2	178																																																																																																																																
56	iie	IiE	2	54	0	18					2	172	2	184	-2	106	-2	122	-2	134	-2	176																																																					-2	176	-2	176	-2	172	-2	170	-2	168	-2	168													-2	172	-2	172													-2	172	-2	170													-2	168	-2	166													-2	162	-2	162
59	auE	Aye	2	56	0	18			-2	144	-2	170	-2	182			2	124	2	136	2	178																																																																																																																																
60	EE	ee	2	58	0	18					-2	168	-2	180			2	126	2	138	2	180																																																																																																																																
61	OA	oa	2	60	0	18	2	102	2	146	2	170	2	182					-2	136	-2	178																																																																																																																																
62	yie	uiE	2	62	0	18			2	148	2	172	2	184			-2	124	-2	134	-2	176																																																					-2	174	-2	174	-2	170	-2	168	-2	166	-2	166																																																													-2	160	-2	160
63	uI	ui			2	20							-2	182	2	108	2	126	2	136	2	178																																																																																																																													-2	158	-2	158
64	eO	Eo	2	64	0	20	2	104	2	150	2	174	2	184			-2	124	-2	134	-2	176																																																																																																																																
65	aIE	Aie	2	66	0	20			-2	148	-2	172	-2	182	2	110	2	126	2	136	2	178																																																																																																																																
66	aoa	AOA	2	68	0	20	-2	102	-2	146	-2	170	-2	180					2	138	2	180																																																																																																																																
67	aEo	AeO	2	70	0	20	-2	100	-2	144	-2	168	-2	178			2	128	2	140	2	182																																																																																																																																
72	OOO	ooo	2	72	0	20	2	102	2	146	2	170	2	180					-2	138	-2	180																																																																																																																																
74	EoI	eOi	2	74	0	20	-2	100	-2	144	-2	168	-2	178	2	112	2	130	2	140	2	182																																																																																																																																
75	yiO	uio	2	76	0	20	2	102	2	146	2	170	2	180					-2	138	-2	180																																																									-2	168	-2	166	-2	164	-2	164																																																													-2	156	-2	156
76	eOA	Eoa	2	78	0	20	2	104	2	148	2	172	2	182			-2	128	-2	136	-2	178																																																																																																																																
77	III	Iii			2	22							-2	180	2	114	2	130	2	138	2	180																																																																													-2	170	-2	170													-2	170	-2	168													-2	166	-2	164													-2	154	-2	154
78	aII	aii			2	24							-2	178	2	116	2	132	2	140	2	182																																																																																																																													-2	152	-2	152
80	Oei	oEi	2	80	0	24	2	106	2	150	2	174	2	180			-2	130	-2	138	-2	180																																																																																													-2	168	-2	166													-2	164	-2	162													-2	150	-2	150
83	iOe	IoE	2	82	0	24	2	108	2	152	2	176	2	182	-2	114	-2	128	-2	136	-2	178																																																																																																																																
84	IoI	Ioi			2	26							-2	180	2	116	2	130	2	138	2	180																																																																															-2	168															-2	164													-2	162	-2	160													-2	148	-2	148
85	uIo	yiO	2	84	0	26	-2	106	-2	150	-2	174	-2	178	2	118	2	132	2	140	2	182																																																																																																																																
86	iOy	Iou	2	86	0	26	2	108	2	152	2	176	2	180	-2	116	-2	130	-2	138	-2	180																																																																																																																																
87	Ia	ia	2	88	0	26							-2	178	2	118	2	132	2	140	2	182																																																													-2	162	-2	162																																																																
89	AOO	aoo	2	90	0	26	2	110	2	154	2	178	2	180					-2	138	-2	180																																																																																																																																
90	Iuu	iuu	2	92	0	26							-2	178	2	120	2	134	2	140	2	182																																																													-2	160	-2	160																																																																
91	aII	Aii	2	94	0	26			-2	152	-2	176	-2	176	2	122	2	136	2	142	2	184																																																																																																																																
92	iiy	Iiu	2	96	0	26			2	154	2	178	2	178	-2	120	-2	134	-2	140	-2	182																																																													-2	158	-2	158													-2	168	-2	166													-2	166	-2	162													-2	160	-2	158													-2	146	-2	146
94	AeO	aEo	2	98	0	26	2	112	2	156	2	180	2	180			-2	132	-2	138	-2	180																																																																																																																																
96	Aiy	aiu	2	100	0	26			2	158	2	182	2	182							-2	178																																																													-2	156	-2	156																																																													-2	144	-2	144
97	uau	yAy	2	102	0	26			-2	156	-2	180	-2	180							2	180																																																																																																																																
98	Eoa	eOA	2	104	0	26	-2	110	-2	154	-2	178	-2	178			2	134	2	140	2	182																																																																																																																																
99	AAO	aao	2	106	0	26	2	112	2	156	2	180	2	180					-2	138	-2	180																																																																																																																																
101	uEE	yee	2	108	0	26			-2	154	-2	178	-2	178			2	136	2	140	2	182																																																																																																																																
102	OOe	ooE	2	110	0	26	2	114	2	156	2	180	2	180			-2	134	-2	138	-2	180																																																																																																																																
