trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		100		140		160		180		100		120		140		180		100		100		120		120		140		140		180		180		140		140		140		140		140		140		180		180		160		160		160		160		160		160		180		180		180		180		180		180		180		180		180		180		100		100		140		140		160		160		180		180		120		120		140		140		160		160		180		180		140		140		140		140		160		160		180		180		180		180		180		180		180		180		180		180
1	yye	uuE	2	2	0	0			2	142	2	162	2	182			-2	118	-2	138	-2	178																																																																																																																																
3	IaE	iaE	2	4	0	0							-2	180	2	102	2	120	2	140	2	180																																																							-2	178			-2	178	-2	178	-2	178																																																																
4	IEI	IEi			2	2							-2	178	2	104	2	122	2	142	2	182																																																																															-2	178													-2	178	-2	178													-2	178	-2	178													-2	178	-2	178
5	iiy	iiu			2	4			2	144	2	164	2	180							-2	180																																																													-2	176	-2	176																																																																
6	aoI	AOi	2	6	0	4	-2	98	-2	142	-2	162	-2	178	2	106	2	124	2	144	2	182																																																																																																																																
9	Oey	oEu	2	8	0	4	2	100	2	144	2	164	2	180			-2	122	-2	142	-2	180																																																																																																																																
10	EI	ei	2	10	0	4					-2	162	-2	178	2	108	2	124	2	144	2	182																																																																																																																																
11	OA	oa	2	12	0	4	2	102	2	146	2	164	2	180					-2	142	-2	180																																																																																																																																
12	AAe	aaE	2	14	0	4			2	148	2	166	2	182			-2	122	-2	140	-2	178																																																																																																																																
13	uau	yAy	2	16	0	4			-2	146	-2	164	-2	180							2	180																																																																																																																																
14	Ioo	ioo	2	18	0	4							-2	178	2	110	2	124	2	142	2	182																																																									-2	178	-2	176	-2	174	-2	174																																																																
15	eyO	Euo	2	20	0	4	2	104	2	148	2	166	2	180			-2	122	-2	140	-2	180																																																																																																																																
17	EIo	eiO	2	22	0	4	-2	102	-2	146	-2	164	-2	178	2	112	2	124	2	142	2	182																																																																																																																																
18	aEE	Aee	2	24	0	4			-2	144	-2	162	-2	176			2	126	2	144	2	184																																																																																																																																
20	Aye	auE	2	26	0	4			2	146	2	164	2	178			-2	124	-2	142	-2	182																																																																																																																																
21	iiO	iio			2	6	2	104	2	148	2	166	2	180					-2	140	-2	180																																																									-2	176	-2	174	-2	172	-2	172																																																																
22	aaI	aai			2	8							-2	178	2	114	2	126	2	142	2	182																																																																																																																													-2	176	-2	176
