trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		100		140		160		180		100		120		140		180		100		100		120		120		140		140		180		180		140		140		140		140		140		140		180		180		160		160		160		160		160		160		180		180		180		180		180		180		180		180		180		180		100		100		140		140		160		160		180		180		120		120		140		140		160		160		180		180		140		140		140		140		160		160		180		180		180		180		180		180		180		180		180		180
0	Apriori	Id(Bk)Syl1>>Id(Bk)	40	40																																																																																																																																																		
1	oaI	oai			2	2							-2	178	2	102	2	122	2	142	2	182																																																																																																															-2	178													-2	178	-2	178
1	Apriori	Id(Bk)Syl1>>Id(Bk)	2	42																																																																																																																																																			
2	yi	ui	2	44	0	2			2	142	2	162	2	180							-2	180																																																																																																																													-2	176	-2	176
3	Eoa	eOA	2	46	0	2	-2	98	-2	140	-2	160	-2	178			2	124	2	144	2	182																																																																																																																																
5	iAO	iao			2	4	2	100	2	142	2	162	2	180					-2	142	-2	180																																																											-2	178	-2	178	-2	178																																																																
7	iAA	iaa			2	6			2	144	2	164	2	182							-2	178																																																													-2	176	-2	176																																																																
8	uau	yAy	2	48	0	6			-2	142	-2	162	-2	180							2	180																																																																																																																																
9	uuE	yye	2	50	0	6			-2	140	-2	160	-2	178			2	126	2	144	2	182																																																																																																																																
11	OAy	oau	2	52	0	6	2	102	2	142	2	162	2	180					-2	142	-2	180																																																																																																																																
12	uEa	yeA	2	54	0	6			-2	140	-2	160	-2	178			2	128	2	144	2	182																																																																																																																																
13	Oy	ou	2	56	0	6	2	104	2	142	2	162	2	180					-2	142	-2	180																																																																																																																																
15	oaE	oae			2	8					-2	160	-2	178			2	130	2	144	2	182																																																																																																											-2	158			-2	176									-2	178	-2	178	-2	174	-2	174
17	AeO	aeo	2	58	0	8	2	106	2	144	2	162	2	180					-2	142	-2	180																																									-2	158	-2	158	-2	178	-2	178									-2	178	-2	176	-2	174	-2	174																																																									-2	176	-2	176	-2	172	-2	172
18	IoE	iOe	2	60	0	8	-2	104	-2	142	-2	160	-2	178	2	104	2	132	2	144	2	182																																																																																																																																
19	iy	iu			2	10			2	144	2	162	2	180							-2	180																																																													-2	172	-2	172																																																																
20	AOi	aoi	2	62	0	10	2	106	2	146	2	164	2	182					-2	142	-2	178																																																																																																													-2	178	-2	174													-2	170	-2	170
21	EuI	eui	2	64	0	10					-2	162	-2	180	2	106	2	134	2	144	2	180																																													-2	176	-2	176													-2	170	-2	170																																																													-2	168	-2	168
22	uu	yy	2	66	0	10			-2	144	-2	160	-2	178							2	182																																																																																																																																
26	yye	uue	2	68	0	10			2	146	2	162	2	180							-2	180																																																																																																																									-2	174	-2	174	-2	166	-2	166
27	OOe	ooe	2	70	0	10	2	108	2	148	2	164	2	182					-2	142	-2	178																																																																																																									-2	158	-2	156	-2	176	-2	172									-2	172	-2	172	-2	164	-2	164
28	Ioa	iOA	2	72	0	10	-2	106	-2	146	-2	162	-2	180	2	108	2	136	2	144	2	180																																																																																																																																
30	yOi	uoi	2	74	0	10	2	108	2	148	2	164	2	182					-2	142	-2	178																																																																																																													-2	174	-2	170													-2	162	-2	162
31	ooI	ooi			2	12							-2	180	2	110	2	138	2	144	2	180																																																																																																													-2	172	-2	168													-2	160	-2	160
32	iey	ieu			2	14			2	150	2	166	2	182							-2	178																																													-2	174	-2	174													-2	168	-2	168																																																																
33	IoI	iOi	2	76	0	14	-2	106	-2	148	-2	164	-2	180	2	112	2	140	2	146	2	180																																																																																																																																
35	ye	ue	2	78	0	14			2	150	2	166	2	182							-2	178																																																																																																																									-2	170	-2	170	-2	158	-2	158
36	oEa	OeA	2	80	0	14	-2	104	-2	148	-2	164	-2	180			2	142	2	148	2	180																																																																																																																																
38	aEE	Aee	2	82	0	14			-2	146	-2	162	-2	178			2	144	2	150	2	182																																																																																																																																
39	OOi	ooi	2	84	0	14	2	106	2	148	2	164	2	180					-2	148	-2	180																																																																																																													-2	170	-2	166													-2	156	-2	156
40	oEI	oei			2	16					-2	162	-2	178	2	114	2	146	2	150	2	182																																																																																																									-2	156	-2	154	-2	168	-2	164									-2	168	-2	168	-2	154	-2	154
41	eOe	eoe			2	18	2	108	2	150	2	164	2	180					-2	148	-2	180																																									-2	156	-2	156	-2	172	-2	172									-2	176	-2	174	-2	166	-2	166																																									-2	154	-2	152	-2	166	-2	162									-2	166	-2	166	-2	152	-2	152
42	oIu	oiu			2	20							-2	178	2	116	2	148	2	150	2	182																																																													-2	164	-2	164																																													-2	164	-2	160													-2	150	-2	150
45	iAe	iae			2	22			2	152	2	166	2	180							-2	180																																																													-2	162	-2	162																																																									-2	164	-2	164	-2	148	-2	148
46	uII	yii	2	86	0	22			-2	150	-2	164	-2	178	2	118	2	150	2	152	2	182																																																																																																																																
47	ieA	iea			2	24			2	152	2	166	2	180							-2	180																																													-2	170	-2	170													-2	160	-2	160																																																																
48	EIo	eiO	2	88	0	24	-2	106	-2	150	-2	164	-2	178	2	120	2	152	2	154	2	182																																																																																																																																
49	yei	uei	2	90	0	24			2	152	2	166	2	180							-2	180																																																																																																																									-2	162	-2	162	-2	146	-2	146
50	oao	OAO	2	92	0	24	-2	104	-2	150	-2	164	-2	178					2	156	2	182																																																																																																																																
52	eA	ea			2	26			2	152	2	166	2	180							-2	180																																													-2	168	-2	168													-2	158	-2	158																																																																
53	IIo	iio	2	94	0	26							-2	178	2	122	2	154	2	158	2	182																																																									-2	174	-2	172	-2	156	-2	156																																																																
57	eAi	eai			2	28			2	154	2	168	2	180							-2	180																																													-2	166	-2	166													-2	154	-2	154																																																													-2	144	-2	144
58	Iuo	iyO	2	96	0	28	-2	102	-2	152	-2	166	-2	178	2	124	2	156	2	160	2	182																																																																																																																																
60	yyi	uui	2	98	0	28			2	154	2	168	2	180							-2	180																																																																																																																													-2	142	-2	142
61	oua	OyA	2	100	0	28	-2	100	-2	152	-2	166	-2	178					2	162	2	182																																																																																																																																
62	eOe	eoe			2	30	2	102	2	154	2	168	2	180					-2	160	-2	180																																									-2	154	-2	154	-2	164	-2	164									-2	172	-2	170	-2	152	-2	152																																									-2	152	-2	150	-2	162	-2	158									-2	160	-2	160	-2	140	-2	140
63	eAi	eai			2	32			2	156	2	170	2	182							-2	178																																													-2	162	-2	162													-2	150	-2	150																																																													-2	138	-2	138
64	oI	oi			2	34							-2	180	2	126	2	158	2	162	2	180																																																																																																													-2	160	-2	156													-2	136	-2	136
65	yee	uee	2	102	0	34			2	158	2	172	2	182							-2	178																																																																																																																									-2	158	-2	158	-2	134	-2	134
66	auu	Ayy	2	104	0	34			-2	156	-2	170	-2	180							2	180																																																																																																																																
67	Eaa	eaa	2	106	0	34					-2	168	-2	178			2	160	2	164	2	182																																													-2	160	-2	160													-2	148	-2	148																																																																
72	AeO	aeo	2	108	0	34	2	104	2	158	2	170	2	180					-2	162	-2	180																																									-2	152	-2	152	-2	158	-2	158									-2	170	-2	168	-2	146	-2	146																																																									-2	156	-2	156	-2	132	-2	132
73	EIo	eio	2	110	0	34					-2	168	-2	178	2	128	2	162	2	164	2	182																																											-2	150			-2	156									-2	168	-2	166	-2	144	-2	144																																																																
75	Oii	oii	2	112	0	34	2	106	2	160	2	170	2	180					-2	162	-2	180																																																																																																													-2	158	-2	154													-2	130	-2	130
79	oEE	oee			2	36					-2	168	-2	178			2	164	2	164	2	182																																																																																																									-2	150	-2	148	-2	156	-2	152									-2	154	-2	154	-2	128	-2	128
80	AOe	aoe	2	114	0	36	2	108	2	162	2	170	2	180					-2	162	-2	180																																																																																																									-2	148	-2	146	-2	154	-2	150									-2	152	-2	152	-2	126	-2	126
81	Oiy	oiu	2	116	0	36	2	110	2	164	2	172	2	182					-2	160	-2	178																																																													-2	142	-2	142																																													-2	152	-2	148													-2	124	-2	124
82	aoo	AOO	2	118	0	36	-2	108	-2	162	-2	170	-2	180					2	162	2	180																																																																																																																																
83	auI	aui			2	38							-2	178	2	130	2	166	2	164	2	182																																																																																																																													-2	122	-2	122
84	OAy	oau	2	120	0	38	2	110	2	164	2	172	2	180					-2	162	-2	180																																																																																																																																
88	Oee	oee	2	122	0	38	2	112	2	166	2	174	2	182					-2	160	-2	178																																																																																																									-2	146	-2	144	-2	150	-2	146									-2	150	-2	150	-2	120	-2	120
90	Eou	eou	2	124	0	38					-2	172	-2	180			2	168	2	162	2	180																																									-2	150	-2	148	-2	156	-2	154									-2	166	-2	164	-2	140	-2	140																																																																
92	auu	Ayy	2	126	0	38			-2	164	-2	170	-2	178							2	182																																																																																																																																
94	iAy	iau			2	40			2	166	2	172	2	180							-2	180																																																													-2	138	-2	138																																																																
97	EE	ee	2	128	0	40					-2	170	-2	178			2	170	2	164	2	182																																																																																																																																
99	iAi	iai			2	42			2	168	2	172	2	180							-2	180																																																													-2	136	-2	136																																																													-2	118	-2	118
100	uuo	yyO	2	130	0	42	-2	110	-2	166	-2	170	-2	178					2	166	2	182																																																																																																																																
103	iOi	ioi			2	44	2	112	2	168	2	172	2	180					-2	164	-2	180																																																									-2	164	-2	162	-2	134	-2	134																																													-2	148	-2	144													-2	116	-2	116
