trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		100		140		160		180		100		120		140		180		100		100		120		120		140		140		180		180		140		140		140		140		140		140		180		180		160		160		160		160		160		160		180		180		180		180		180		180		180		180		180		180		100		100		140		140		160		160		180		180		120		120		140		140		160		160		180		180		140		140		140		140		160		160		180		180		180		180		180		180		180		180		180		180
1	eO	Eo	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.3333333333333333	100.33333333333333	0.3333333333333333	140.33333333333334	0.3333333333333333	160.33333333333334	0.3333333333333333	180.33333333333334			-2	118	-2	138	-2	178																																																																																																																																
2	aoI	AOi	0.3333333333333333	0.6666666666666666	0.3333333333333333	0.6666666666666666	-2	98.33333333333333	-2	138.33333333333334	-2	158.33333333333334	-2	178.33333333333334	0.3333333333333333	100.33333333333333	0.3333333333333333	118.33333333333333	0.3333333333333333	138.33333333333334	0.3333333333333333	178.33333333333334																																																																																																																																
4	Aye	auE	0.4	1.0666666666666667	0.4	1.0666666666666667			0.4	138.73333333333335	0.4	158.73333333333335	0.4	178.73333333333335			-2	116.33333333333333	-2	136.33333333333334	-2	176.33333333333334																																																																																																																																
5	EoI	Eoi			0.4	1.4666666666666668							-2	176.73333333333335	0.4	100.73333333333333	0.4	116.73333333333333	0.4	136.73333333333335	0.4	176.73333333333335																																																																																															-2	178													-2	178	-2	178													-2	178	-2	178
6	iOO	ioo			0.4	1.8666666666666667	0.4	98.73333333333333	0.4	139.13333333333335	0.4	159.13333333333335	0.4	177.13333333333335					-2	134.73333333333335	-2	174.73333333333335																																																									-2	178	-2	178	-2	178	-2	178																																																																
7	Eo	eO	0.4	1.4666666666666668	0.4	2.2666666666666666	-2	96.73333333333333	-2	137.13333333333335	-2	157.13333333333335	-2	175.13333333333335			0.4	117.13333333333334	0.4	135.13333333333335	0.4	175.13333333333335																																																																																																																																
8	Iao	iAO	0.3333333333333333	1.8	0.3333333333333333	2.6	-2	94.73333333333333	-2	135.13333333333335	-2	155.13333333333335	-2	173.13333333333335	0.3333333333333333	101.06666666666666	0.3333333333333333	117.46666666666667	0.3333333333333333	135.4666666666667	0.3333333333333333	175.4666666666667																																																																																																																																
9	uEI	yei	0.3333333333333333	2.1333333333333333	0.3333333333333333	2.9333333333333336			-2	133.13333333333335	-2	153.13333333333335	-2	171.13333333333335	0.3333333333333333	101.39999999999999	0.3333333333333333	117.8	0.3333333333333333	135.80000000000004	0.3333333333333333	175.80000000000004																																																																																																																																
10	oaI	OAi	0.3333333333333333	2.466666666666667	0.3333333333333333	3.266666666666667	-2	92.73333333333333	-2	131.13333333333335	-2	151.13333333333335	-2	169.13333333333335	0.3333333333333333	101.73333333333332	0.3333333333333333	118.13333333333333	0.3333333333333333	136.13333333333338	0.3333333333333333	176.13333333333338																																																																																																																																
