trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		100		140		160		180		100		120		140		180		100		100		120		120		140		140		180		180		140		140		140		140		140		140		180		180		160		160		160		160		160		160		180		180		180		180		180		180		180		180		180		180		100		100		140		140		160		160		180		180		120		120		140		140		160		160		180		180		140		140		140		140		160		160		180		180		180		180		180		180		180		180		180		180
0	Apriori	Id(Bk)Syl1>>Id(Bk)	20	20																																																																																																																																																		
2	Iaa	iaa	0.4	20.4	0	0							-2	178	0.4	100.4	0.4	120.4	0.4	140.4	0.4	180.4																																																													-2	178	-2	178																																																																
5	OOe	ooe	0.4	20.799999999999997	0	0	0.4	100.4	0.4	140.4	0.4	160.4	0.4	178.4					-2	138.4	-2	178.4																																																																																																									-2	158	-2	158	-2	178	-2	178									-2	178	-2	178	-2	178	-2	178
7	oIa	OiA	0.4	21.199999999999996	0	0	-2	98.4	-2	138.4	-2	158.4	-2	176.4	0.4	100.80000000000001	0.4	120.80000000000001	0.4	138.8	0.4	178.8																																																																																																																																
10	yiO	uio	0.4	21.599999999999994	0	0	0.4	98.80000000000001	0.4	138.8	0.4	158.8	0.4	176.8					-2	136.8	-2	176.8																																																									-2	178	-2	178	-2	176	-2	176																																																													-2	176	-2	176
11	oII	Oii	0.4	21.999999999999993	0	0	-2	96.80000000000001	-2	136.8	-2	156.8	-2	174.8	0.4	101.20000000000002	0.4	121.20000000000002	0.4	137.20000000000002	0.4	177.20000000000002																																																																																																																																
13	ouu	Oyy	0.6666666666666666	22.66666666666666	0	0	-2	94.80000000000001	-2	134.8	-2	154.8	-2	172.8					0.6666666666666666	137.86666666666667	0.6666666666666666	177.86666666666667																																																																																																																																
14	AAi	aai	0.5	23.16666666666666	0	0			0.5	135.3	0.5	155.3	0.5	173.3							-2	175.86666666666667																																																																																																																													-2	174	-2	174
16	yeA	uea	0.5	23.66666666666666	0	0			0.5	135.8	0.5	155.8	0.5	173.8							-2	173.86666666666667																																													-2	178	-2	178													-2	174	-2	174																																																									-2	176	-2	176	-2	172	-2	172
17	eiO	eio			0.4	0.4	0.4	95.20000000000002	0.4	136.20000000000002	0.4	156.20000000000002	0.4	174.20000000000002					-2	135.86666666666667	-2	171.86666666666667																																											-2	158			-2	176									-2	176	-2	176	-2	172	-2	172																																																																
18	oEu	Oey	0.5	24.16666666666666	0	0.4	-2	93.20000000000002	-2	134.20000000000002	-2	154.20000000000002	-2	172.20000000000002			0.5	121.70000000000002	0.5	136.36666666666667	0.5	172.36666666666667																																																																																																																																
19	IaE	iAe	0.4	24.56666666666666	0	0.4			-2	132.20000000000002	-2	152.20000000000002	-2	170.20000000000002	0.4	101.60000000000002	0.4	122.10000000000002	0.4	136.76666666666668	0.4	172.76666666666668																																																																																																																																
20	OA	oa	0.4	24.966666666666658	0	0.4	0.4	93.60000000000002	0.4	132.60000000000002	0.4	152.60000000000002	0.4	170.60000000000002					-2	134.76666666666668	-2	170.76666666666668																																																																																																																																
21	eiO	eio			0.4	0.8	0.4	94.00000000000003	0.4	133.00000000000003	0.4	153.00000000000003	0.4	171.00000000000003					-2	132.76666666666668	-2	168.76666666666668																																											-2	156			-2	174									-2	174	-2	174	-2	170	-2	170																																																																
22	uEE	uee			0.5	1.3					-2	151.00000000000003	-2	169.00000000000003			0.5	122.60000000000002	0.5	133.26666666666668	0.5	169.26666666666668																																																																																																																									-2	174	-2	174	-2	170	-2	170
23	aoE	AOe	0.5	25.466666666666658	0	1.3	-2	92.00000000000003	-2	131.00000000000003	-2	149.00000000000003	-2	167.00000000000003			0.5	123.10000000000002	0.5	133.76666666666668	0.5	169.76666666666668																																																																																																																																
26	uEE	yee	0.5	25.966666666666658	0	1.3			-2	129.00000000000003	-2	147.00000000000003	-2	165.00000000000003			0.5	123.60000000000002	0.5	134.26666666666668	0.5	170.26666666666668																																																																																																																																
27	eAA	eaa			0.5	1.8			0.5	129.50000000000003	0.5	147.50000000000003	0.5	165.50000000000003							-2	168.26666666666668																																													-2	176	-2	172													-2	168	-2	168																																																																
30	iyi	iui			0.5	2.3			0.5	130.00000000000003	0.5	148.00000000000003	0.5	166.00000000000003							-2	166.26666666666668																																																													-2	166	-2	166																																																													-2	168	-2	168
31	IuE	iye	0.4	26.366666666666656	0	2.3			-2	128.00000000000003	-2	146.00000000000003	-2	164.00000000000003	0.4	102.00000000000003	0.4	124.00000000000003	0.4	134.66666666666669	0.4	166.66666666666669																																																																																																																																
32	Oei	oei	0.4	26.766666666666655	0	2.3	0.4	92.40000000000003	0.4	128.40000000000003	0.4	146.40000000000003	0.4	164.40000000000003					-2	132.66666666666669	-2	164.66666666666669																																																																																																									-2	156	-2	156	-2	176	-2	176									-2	172	-2	172	-2	166	-2	166
33	oEI	Oei	0.4	27.166666666666654	0	2.3	-2	90.40000000000003	-2	126.40000000000003	-2	144.40000000000003	-2	162.40000000000003	0.4	102.40000000000003	0.4	124.40000000000003	0.4	133.0666666666667	0.4	165.0666666666667																																																																																																																																
