trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		100		140		160		180		100		120		140		180		100		100		120		120		140		140		180		180		140		140		140		140		140		140		180		180		160		160		160		160		160		160		180		180		180		180		180		180		180		180		180		180		100		100		140		140		160		160		180		180		120		120		140		140		160		160		180		180		140		140		140		140		160		160		180		180		180		180		180		180		180		180		180		180
2	aua	Aua	1.5	1.5	1.5	1.5			-2	138	-2	158	-2	178							1.5	181.5																													-2	178	-2	178													-2	178	-2	178													-2	178	-2	178																																																																
3	yei	uei	1.0	2.5	1.0	2.5			1.0	139.0	1.0	159.0	1.0	179.0							-2	179.5																																																																																																																									-2	178	-2	178	-2	178	-2	178
4	AOi	Aoi			1.565217391304348	4.065217391304348	1.565217391304348	101.56521739130434	1.565217391304348	140.56521739130434	1.565217391304348	160.56521739130434	1.565217391304348	180.56521739130434					-2	138	-2	177.5																									-2	138	-2	138	-2	176	-2	176									-2	158	-2	158	-2	176	-2	176									-2	178	-2	178	-2	176	-2	176																																													-2	178	-2	178													-2	176	-2	176
5	oIu	oiu			1.1666666666666667	5.231884057971015							-2	178.56521739130434	1.1666666666666667	101.16666666666667	1.1666666666666667	121.16666666666667	1.1666666666666667	139.16666666666666	1.1666666666666667	178.66666666666666																																																													-2	174	-2	174																																													-2	176	-2	176													-2	174	-2	174
6	uE	ye	0.75	3.25	0.75	5.981884057971015			-2	138.56521739130434	-2	158.56521739130434	-2	176.56521739130434			0.75	121.91666666666667	0.75	139.91666666666666	0.75	179.41666666666666																																																																																																																																
7	yyy	yuu			1.2727272727272727	7.254611330698287			1.2727272727272727	139.83794466403162	1.2727272727272727	159.83794466403162	1.2727272727272727	177.83794466403162							-2	177.41666666666666																													-2	174	-2	174													-2	174	-2	174													-2	172	-2	172																																																																
8	yAA	yaa			1.2727272727272727	8.52733860342556			1.2727272727272727	141.1106719367589	1.2727272727272727	161.1106719367589	1.2727272727272727	179.1106719367589							-2	175.41666666666666																													-2	172	-2	172													-2	172	-2	172													-2	170	-2	170																																																																
9	oau	Oau	1.5	4.75	1.5	10.02733860342556	-2	99.56521739130434	-2	139.1106719367589	-2	159.1106719367589	-2	177.1106719367589					1.5	141.41666666666666	1.5	176.91666666666666													-2	178	-2	178													-2	170	-2	170													-2	170	-2	170													-2	168	-2	168																																																																
10	uEu	ueu			1.4285714285714286	11.45591003199699					-2	157.1106719367589	-2	175.1106719367589			1.4285714285714286	123.3452380952381	1.4285714285714286	142.84523809523807	1.4285714285714286	178.34523809523807																																													-2	168	-2	168													-2	166	-2	166																																																									-2	176	-2	176	-2	172	-2	172
11	eOe	Eoe	1.368421052631579	6.118421052631579	1.368421052631579	12.824331084628568	1.368421052631579	100.93363844393592	1.368421052631579	140.4790929893905	1.368421052631579	158.4790929893905	1.368421052631579	176.4790929893905			-2	121.3452380952381	-2	140.84523809523807	-2	176.34523809523807																																																																																											-2	158			-2	178									-2	158	-2	158	-2	174	-2	174									-2	174	-2	174	-2	170	-2	170
13	iy	iu			0.8571428571428571	13.681473941771426			0.8571428571428571	141.33623584653336	0.8571428571428571	159.33623584653336	0.8571428571428571	177.33623584653336							-2	174.34523809523807																																																													-2	164	-2	164																																																																
15	yiO	uio	1.1428571428571428	7.261278195488721	1.1428571428571428	14.824331084628568	1.1428571428571428	102.07649558679306	1.1428571428571428	142.4790929893905	1.1428571428571428	160.4790929893905	1.1428571428571428	178.4790929893905					-2	138.84523809523807	-2	172.34523809523807																																																									-2	176	-2	176	-2	162	-2	162																																																													-2	168	-2	168
16	aEa	aea			1.4285714285714286	16.252902513199995					-2	158.4790929893905	-2	176.4790929893905			1.4285714285714286	122.77380952380953	1.4285714285714286	140.2738095238095	1.4285714285714286	173.7738095238095																																													-2	166	-2	166													-2	160	-2	160																																																									-2	172	-2	172	-2	166	-2	166
17	aua	Aua	1.5	8.761278195488721	1.5	17.752902513199995			-2	140.4790929893905	-2	156.4790929893905	-2	174.4790929893905							1.5	175.2738095238095																													-2	168	-2	168													-2	164	-2	164													-2	158	-2	158																																																																
18	Oei	oei	1.25	10.011278195488721	1.25	19.002902513199995	1.25	103.32649558679306	1.25	141.7290929893905	1.25	157.7290929893905	1.25	175.7290929893905					-2	138.2738095238095	-2	173.2738095238095																																																																																																									-2	156	-2	156	-2	172	-2	172									-2	170	-2	170	-2	164	-2	164
19	uoa	yoa	1.6666666666666667	11.677944862155387	1.6666666666666667	20.669569179866663			-2	139.7290929893905	-2	155.7290929893905	-2	173.7290929893905							1.6666666666666667	174.94047619047615																									-2	136	-2	136	-2	166	-2	166									-2	156	-2	156	-2	162	-2	162									-2	174	-2	174	-2	156	-2	156																																																																
20	OA	oa	0.5	12.177944862155387	0.5	21.169569179866663	0.5	103.82649558679306	0.5	140.2290929893905	0.5	156.2290929893905	0.5	174.2290929893905					-2	136.2738095238095	-2	172.94047619047615																																																																																																																																
