trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		100		140		160		180		100		120		140		180		100		100		120		120		140		140		180		180		140		140		140		140		140		140		180		180		160		160		160		160		160		160		180		180		180		180		180		180		180		180		180		180		100		100		140		140		160		160		180		180		120		120		140		140		160		160		180		180		140		140		140		140		160		160		180		180		180		180		180		180		180		180		180		180
2	EoI	Eoi			1.0909090909090908	1.0909090909090908							-2	178	1.0909090909090908	101.0909090909091	1.0909090909090908	121.0909090909091	1.0909090909090908	141.0909090909091	1.0909090909090908	181.0909090909091																																																																																															-2	178													-2	178	-2	178													-2	178	-2	178
3	yeO	yeo			1.411764705882353	2.502673796791444	1.411764705882353	101.41176470588235	1.411764705882353	141.41176470588235	1.411764705882353	161.41176470588235	1.411764705882353	179.41176470588235					-2	139.0909090909091	-2	179.0909090909091																											-2	138			-2	178									-2	158	-2	158	-2	178	-2	178									-2	178	-2	178	-2	178	-2	178																																																																
4	uuo	yuo	1.7142857142857142	1.7142857142857142	0	2.502673796791444			-2	139.41176470588235	-2	159.41176470588235	-2	177.41176470588235							1.7142857142857142	180.80519480519482																											-2	136	-2	178	-2	176											-2	156	-2	176	-2	176											-2	176	-2	176	-2	176																																																																
5	yOO	uoo	0.5714285714285714	2.2857142857142856	0	2.502673796791444	0.5714285714285714	101.98319327731092	0.5714285714285714	139.98319327731093	0.5714285714285714	159.98319327731093	0.5714285714285714	177.98319327731093					-2	137.0909090909091	-2	178.80519480519482																																																																																																																																
6	aaa	Aaa	1.6363636363636365	3.9220779220779223	0	2.502673796791444			-2	137.98319327731093	-2	157.98319327731093	-2	175.98319327731093							1.6363636363636365	180.44155844155844																													-2	176	-2	174													-2	174	-2	174													-2	174	-2	174																																																																
7	AA	Aa			1.2727272727272727	3.7754010695187166			1.2727272727272727	139.2559205500382	1.2727272727272727	159.2559205500382	1.2727272727272727	177.2559205500382							-2	178.44155844155844																													-2	174	-2	172													-2	172	-2	172													-2	172	-2	172																																																																
8	iOA	ioa			1.0909090909090908	4.866310160427807	1.0909090909090908	103.07410236822001	1.0909090909090908	140.3468296409473	1.0909090909090908	160.3468296409473	1.0909090909090908	178.3468296409473					-2	135.0909090909091	-2	176.44155844155844																																																									-2	176	-2	174	-2	170	-2	170																																																																
9	Eou	eou	1.4285714285714286	5.350649350649351	0	4.866310160427807					-2	158.3468296409473	-2	176.3468296409473			1.4285714285714286	122.51948051948052	1.4285714285714286	136.5194805194805	1.4285714285714286	177.87012987012986																																									-2	156	-2	154	-2	170	-2	170									-2	174	-2	172	-2	168	-2	168																																																																
10	Oy	ou	0.5714285714285714	5.922077922077922	0	4.866310160427807	0.5714285714285714	103.64553093964858	0.5714285714285714	140.9182582123759	0.5714285714285714	158.9182582123759	0.5714285714285714	176.9182582123759					-2	134.5194805194805	-2	175.87012987012986																																																																																																																																
12	aua	Aua	1.6363636363636365	7.558441558441559	0	4.866310160427807			-2	138.9182582123759	-2	156.9182582123759	-2	174.9182582123759							1.6363636363636365	177.50649350649348																													-2	172	-2	170													-2	168	-2	168													-2	166	-2	166																																																																
13	eOe	eoe			1.565217391304348	6.431527551732155	1.565217391304348	105.21074833095292	1.565217391304348	140.48347560368023	1.565217391304348	158.48347560368023	1.565217391304348	176.48347560368023					-2	132.5194805194805	-2	175.50649350649348																																									-2	154	-2	152	-2	166	-2	166									-2	172	-2	170	-2	164	-2	164																																									-2	158	-2	158	-2	176	-2	176									-2	178	-2	178	-2	176	-2	176
14	aaE	aae			1.2	7.631527551732155					-2	156.48347560368023	-2	174.48347560368023			1.2	123.71948051948053	1.2	133.7194805194805	1.2	176.70649350649347																																																																																																																									-2	176	-2	176	-2	174	-2	174
15	Oyi	oui	1.0	8.558441558441558	0	7.631527551732155	1.0	106.21074833095292	1.0	141.48347560368023	1.0	157.48347560368023	1.0	175.48347560368023					-2	131.7194805194805	-2	174.70649350649347																																																																																																															-2	174													-2	172	-2	172
16	oEa	oea			1.5555555555555556	9.18708310728771					-2	155.48347560368023	-2	173.48347560368023			1.5555555555555556	125.27503607503608	1.5555555555555556	133.27503607503604	1.5555555555555556	176.26204906204902																																													-2	164	-2	164													-2	162	-2	162																																									-2	156	-2	156	-2	174	-2	172									-2	174	-2	174	-2	170	-2	170
17	yeO	yeo			1.411764705882353	10.598847813170064	1.411764705882353	107.62251303683527	1.411764705882353	142.89524030956258	1.411764705882353	156.89524030956258	1.411764705882353	174.89524030956258					-2	131.27503607503604	-2	174.26204906204902																											-2	134			-2	168									-2	152	-2	150	-2	162	-2	162									-2	170	-2	168	-2	160	-2	160																																																																
18	oIE	Oie	0.8888888888888888	9.447330447330447	0	10.598847813170064	-2	105.62251303683527	-2	140.89524030956258	-2	154.89524030956258	-2	172.89524030956258	0.8888888888888888	101.97979797979798	0.8888888888888888	126.16392496392497	0.8888888888888888	132.16392496392493	0.8888888888888888	175.1509379509379																																																																																																																																
19	yO	uo	0.5714285714285714	10.018759018759019	0	10.598847813170064	0.5714285714285714	106.19394160826384	0.5714285714285714	141.46666888099116	0.5714285714285714	155.46666888099116	0.5714285714285714	173.46666888099116					-2	130.16392496392493	-2	173.1509379509379																																																																																																																																
20	oaa	Oaa	1.6	11.618759018759018	0	10.598847813170064	-2	104.19394160826384	-2	139.46666888099116	-2	153.46666888099116	-2	171.46666888099116					1.6	131.76392496392492	1.6	174.7509379509379													-2	178	-2	178													-2	170	-2	166													-2	160	-2	160													-2	158	-2	158																																																																
21	eOA	Eoa	0.75	12.368759018759018	0	10.598847813170064	0.75	104.94394160826384	0.75	140.21666888099116	0.75	154.21666888099116	0.75	172.21666888099116			-2	124.16392496392497	-2	129.76392496392492	-2	172.7509379509379																																																																																																																																
22	OiA	Oia			1.2	11.798847813170063			1.2	141.41666888099115	1.2	155.41666888099115	1.2	173.41666888099115							-2	170.7509379509379															-2	176															-2	164															-2	158													-2	156	-2	156																																																																
23	EII	Eii			1.1666666666666667	12.96551447983673							-2	171.41666888099115	1.1666666666666667	103.14646464646465	1.1666666666666667	125.33059163059164	1.1666666666666667	130.93059163059158	1.1666666666666667	171.91760461760455																																																																																													-2	178	-2	176													-2	172	-2	170													-2	168	-2	168
24	yei	uei	1.1111111111111112	13.479870129870129	0	12.96551447983673			1.1111111111111112	142.52777999210227	1.1111111111111112	156.52777999210227	1.1111111111111112	172.52777999210227							-2	169.91760461760455																																																																																																																									-2	172	-2	172	-2	166	-2	166
25	aI	Ai	0.75	14.229870129870129	0	12.96551447983673			-2	140.52777999210227	-2	154.52777999210227	-2	170.52777999210227	0.75	103.89646464646465	0.75	126.08059163059164	0.75	131.68059163059158	0.75	170.66760461760455																																																																																																																																
26	aaa	Aaa	1.6363636363636365	15.866233766233766	0	12.96551447983673			-2	138.52777999210227	-2	152.52777999210227	-2	168.52777999210227							1.6363636363636365	172.30396825396818																													-2	168	-2	162													-2	158	-2	156													-2	154	-2	154																																																																
28	eye	Eue	1.4666666666666666	17.33290043290043	0	12.96551447983673			1.4666666666666666	139.99444665876894	1.4666666666666666	153.99444665876894	1.4666666666666666	169.99444665876894			-2	124.08059163059164	-2	129.68059163059158	-2	170.30396825396818																																																																																											-2	158			-2	174											-2	154			-2	168									-2	170	-2	170	-2	164	-2	164
29	iiA	iia			0.8571428571428571	13.822657336979587			0.8571428571428571	140.8515895159118	0.8571428571428571	154.8515895159118	0.8571428571428571	170.8515895159118							-2	168.30396825396818																																																													-2	152	-2	152																																																																
30	oII	Oii	0.8888888888888888	18.22178932178932	0	13.822657336979587	-2	102.94394160826384	-2	138.8515895159118	-2	152.8515895159118	-2	168.8515895159118	0.8888888888888888	104.78535353535354	0.8888888888888888	124.96948051948053	0.8888888888888888	130.56948051948046	0.8888888888888888	169.19285714285706																																																																																																																																
31	IaE	iae	1.2307692307692308	19.45255855255855	0	13.822657336979587					-2	150.8515895159118	-2	166.8515895159118	1.2307692307692308	106.01612276612276	1.2307692307692308	126.20024975024975	1.2307692307692308	131.8002497502497	1.2307692307692308	170.4236263736263																																																													-2	150	-2	150																																																									-2	168	-2	168	-2	162	-2	162
32	eAy	Eau	0.8571428571428571	20.309701409701407	0	13.822657336979587			0.8571428571428571	139.70873237305466	0.8571428571428571	151.70873237305466	0.8571428571428571	167.70873237305466			-2	124.20024975024975	-2	129.8002497502497	-2	168.4236263736263																																																																																																																																
33	aE	ae			1.2	15.022657336979586					-2	149.70873237305466	-2	165.70873237305466			1.2	125.40024975024976	1.2	131.00024975024968	1.2	169.62362637362628																																																																																																																									-2	166	-2	166	-2	160	-2	160
34	OAe	oae	1.2307692307692308	21.540470640470637	0	15.022657336979586	1.2307692307692308	104.17471083903307	1.2307692307692308	140.93950160382389	1.2307692307692308	150.93950160382389	1.2307692307692308	166.93950160382389					-2	129.00024975024968	-2	167.62362637362628																																																																																																											-2	152			-2	166									-2	164	-2	164	-2	158	-2	158
35	AOi	aoi	1.0909090909090908	22.631379731379727	0	15.022657336979586	1.0909090909090908	105.26561992994216	1.0909090909090908	142.03041069473298	1.0909090909090908	152.03041069473298	1.0909090909090908	168.03041069473298					-2	127.00024975024968	-2	165.62362637362628																																																																																																													-2	170	-2	164													-2	156	-2	156
36	oEo	oeo			1.6363636363636365	16.65902097334322					-2	150.03041069473298	-2	166.03041069473298			1.6363636363636365	127.0366133866134	1.6363636363636365	128.6366133866133	1.6363636363636365	167.2599900099899																																									-2	150	-2	148	-2	156	-2	154									-2	168	-2	166	-2	148	-2	148																																									-2	154	-2	150	-2	168	-2	162									-2	162	-2	162	-2	154	-2	154
37	eOy	Eou	0.75	23.381379731379727	0	16.65902097334322	0.75	106.01561992994216	0.75	142.78041069473298	0.75	150.78041069473298	0.75	166.78041069473298			-2	125.0366133866134	-2	126.6366133866133	-2	165.2599900099899																																																																																																																																
38	eAO	eao			1.2307692307692308	17.88979020411245	1.2307692307692308	107.24638916071139	1.2307692307692308	144.0111799255022	1.2307692307692308	152.0111799255022	1.2307692307692308	168.0111799255022					-2	124.6366133866133	-2	163.2599900099899																																											-2	146	-2	154	-2	152											-2	164	-2	146	-2	146																																																																
39	aua	Aua	1.6363636363636365	25.017743367743364	0	17.88979020411245			-2	142.0111799255022	-2	150.0111799255022	-2	166.0111799255022							1.6363636363636365	164.89635364635353																													-2	166	-2	160													-2	152	-2	150													-2	144	-2	144																																																																
40	AA	Aa			1.2727272727272727	19.162517476839724			1.2727272727272727	143.28390719822949	1.2727272727272727	151.28390719822949	1.2727272727272727	167.28390719822949							-2	162.89635364635353																													-2	164	-2	158													-2	150	-2	148													-2	142	-2	142																																																																
42	uoE	yoe	1.7037037037037037	26.721447071447066	0	19.162517476839724			-2	141.28390719822949	-2	149.28390719822949	-2	165.28390719822949			1.7037037037037037	126.7403170903171	1.7037037037037037	126.34031709031701	1.7037037037037037	164.60005735005723																									-2	138	-2	132	-2	162	-2	156									-2	148	-2	144	-2	148	-2	146									-2	166	-2	162	-2	140	-2	140																																									-2	152	-2	148	-2	166	-2	160									-2	160	-2	160	-2	152	-2	152
43	uIE	uie			1.0	20.162517476839724					-2	147.28390719822949	-2	163.28390719822949	1.0	107.01612276612276	1.0	127.7403170903171	1.0	127.34031709031701	1.0	165.60005735005723																																																																																																																											-2	158	-2	150	-2	150
44	OiO	Oio			1.411764705882353	21.574282182722076	1.411764705882353	108.65815386659374	1.411764705882353	142.69567190411183	1.411764705882353	148.69567190411183	1.411764705882353	164.69567190411183					-2	125.34031709031701	-2	163.60005735005723											-2	138			-2	174											-2	130			-2	154											-2	142			-2	144									-2	164	-2	160	-2	138	-2	138																																																																
45	oa	Oa	1.6	28.321447071447068	0	21.574282182722076	-2	106.65815386659374	-2	140.69567190411183	-2	146.69567190411183	-2	162.69567190411183					1.6	126.94031709031701	1.6	165.20005735005722													-2	176	-2	172													-2	160	-2	152													-2	146	-2	142													-2	136	-2	136																																																																
46	yAO	uao	0.5714285714285714	28.89287564287564	0	21.574282182722076	0.5714285714285714	107.2295824380223	0.5714285714285714	141.26710047554042	0.5714285714285714	147.26710047554042	0.5714285714285714	163.26710047554042					-2	124.94031709031701	-2	163.20005735005722																																																																																																																																
47	Aiy	Aiu			1.1111111111111112	22.685393293833187			1.1111111111111112	142.37821158665153	1.1111111111111112	148.37821158665153	1.1111111111111112	164.37821158665153							-2	161.20005735005722																															-2	150															-2	140													-2	134	-2	134																																																																
48	uoI	yoi	1.5833333333333333	30.476208976208973	0	22.685393293833187			-2	140.37821158665153	-2	146.37821158665153	-2	162.37821158665153	1.5833333333333333	108.59945609945609	1.5833333333333333	129.32365042365043	1.5833333333333333	126.52365042365034	1.5833333333333333	162.78339068339056																									-2	136	-2	128	-2	158	-2	148									-2	146	-2	140	-2	144	-2	138									-2	162	-2	158	-2	132	-2	132																																													-2	164	-2	158													-2	148	-2	148
49	eye	eue			1.3846153846153846	24.07000867844857			1.3846153846153846	141.76282697126692	1.3846153846153846	147.76282697126692	1.3846153846153846	163.76282697126692							-2	160.78339068339056																																													-2	142	-2	136													-2	130	-2	130																																																									-2	158	-2	156	-2	146	-2	146
51	uIE	yie	0.75	31.226208976208973	0	24.07000867844857			-2	139.76282697126692	-2	145.76282697126692	-2	161.76282697126692	0.75	109.34945609945609	0.75	130.07365042365043	0.75	127.27365042365034	0.75	161.53339068339056																																																																																																																																
52	Eoo	eoo	1.4285714285714286	32.654780404780404	0	24.07000867844857					-2	143.76282697126692	-2	159.76282697126692			1.4285714285714286	131.50222185222185	1.4285714285714286	128.70222185222175	1.4285714285714286	162.96196211196198																																									-2	144	-2	138	-2	140	-2	134									-2	160	-2	156	-2	128	-2	128																																																																
54	AOA	aoa	0.5714285714285714	33.22620897620897	0	24.07000867844857	0.5714285714285714	107.80101100945087	0.5714285714285714	140.3342555426955	0.5714285714285714	144.3342555426955	0.5714285714285714	160.3342555426955					-2	126.70222185222175	-2	160.96196211196198																																																																																																																																
55	eOi	Eoi	1.2307692307692308	34.45697820697821	0	24.07000867844857	1.2307692307692308	109.0317802402201	1.2307692307692308	141.56502477346473	1.2307692307692308	145.56502477346473	1.2307692307692308	161.56502477346473			-2	129.50222185222185	-2	124.70222185222175	-2	158.96196211196198																																																																																															-2	172													-2	162	-2	156													-2	144	-2	144
56	IEa	iea	1.0909090909090908	35.5478872978873	0	24.07000867844857					-2	143.56502477346473	-2	159.56502477346473	1.0909090909090908	110.44036519036518	1.0909090909090908	130.59313094313094	1.0909090909090908	125.79313094313085	1.0909090909090908	160.05287120287107																																													-2	138	-2	132													-2	126	-2	126																																																																
