trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		100		140		160		180		100		120		140		180		100		100		120		120		140		140		180		180		140		140		140		140		140		140		180		180		160		160		160		160		160		160		180		180		180		180		180		180		180		180		180		180		100		100		140		140		160		160		180		180		120		120		140		140		160		160		180		180		140		140		140		140		160		160		180		180		180		180		180		180		180		180		180		180
2	yO	uo	0.3333333333333333	0.3333333333333333	0	0	0.3333333333333333	100.33333333333333	0.3333333333333333	140.33333333333334	0.3333333333333333	160.33333333333334	0.3333333333333333	180.33333333333334					-2	138	-2	178																																																																																																																																
4	oE	Oe	0.4	0.7333333333333334	0	0	-2	98.33333333333333	-2	138.33333333333334	-2	158.33333333333334	-2	178.33333333333334			0.4	120.4	0.4	138.4	0.4	178.4																																																																																																																																
7	iOy	iou			0.3333333333333333	0.3333333333333333	0.3333333333333333	98.66666666666666	0.3333333333333333	138.66666666666669	0.3333333333333333	158.66666666666669	0.3333333333333333	178.66666666666669					-2	136.4	-2	176.4																																																									-2	178	-2	178	-2	178	-2	178																																																																
8	aoa	AOA	0.5	1.2333333333333334	0	0.3333333333333333	-2	96.66666666666666	-2	136.66666666666669	-2	156.66666666666669	-2	176.66666666666669					0.5	136.9	0.5	176.9																																																																																																																																
9	iii	Iii	0.6666666666666666	1.9	0	0.3333333333333333							0.6666666666666666	177.33333333333334	-2	98	-2	118.4	-2	134.9	-2	174.9																																																																													-2	178	-2	178													-2	178	-2	178													-2	178	-2	178													-2	178	-2	178
11	uEo	yeO	0.4	2.3	0	0.3333333333333333	-2	94.66666666666666	-2	134.66666666666669	-2	154.66666666666669	-2	175.33333333333334			0.4	118.80000000000001	0.4	135.3	0.4	175.3																																																																																																																																
12	OOy	oou	0.3333333333333333	2.6333333333333333	0	0.3333333333333333	0.3333333333333333	94.99999999999999	0.3333333333333333	135.00000000000003	0.3333333333333333	155.00000000000003	0.3333333333333333	175.66666666666669					-2	133.3	-2	173.3																																																																																																																																
15	oIE	oiE			0.3333333333333333	0.6666666666666666							-2	173.66666666666669	0.3333333333333333	98.33333333333333	0.3333333333333333	119.13333333333334	0.3333333333333333	133.63333333333335	0.3333333333333333	173.63333333333335																																																					-2	178	-2	178	-2	176	-2	176	-2	176	-2	176																																													-2	176	-2	176													-2	176	-2	176
16	uau	yAy	0.6666666666666666	3.3	0	0.6666666666666666			-2	133.00000000000003	-2	153.00000000000003	-2	171.66666666666669							0.6666666666666666	174.3																																																																																																																																
18	yy	uu	0.4	3.6999999999999997	0	0.6666666666666666			0.4	133.40000000000003	0.4	153.40000000000003	0.4	172.0666666666667							-2	172.3																																																																																																																																
19	aaI	aai			0.3333333333333333	1.0							-2	170.0666666666667	0.3333333333333333	98.66666666666666	0.3333333333333333	119.46666666666667	0.3333333333333333	133.9666666666667	0.3333333333333333	172.63333333333335																																																																																																																													-2	174	-2	174
23	iOi	ioi			0.3333333333333333	1.3333333333333333	0.3333333333333333	95.33333333333331	0.3333333333333333	133.73333333333338	0.3333333333333333	153.73333333333338	0.3333333333333333	170.40000000000003					-2	131.9666666666667	-2	170.63333333333335																																																									-2	174	-2	174	-2	174	-2	174																																													-2	174	-2	174													-2	172	-2	172
24	aII	Aii	0.3333333333333333	4.033333333333333	0	1.3333333333333333			-2	131.73333333333338	-2	151.73333333333338	-2	168.40000000000003	0.3333333333333333	98.99999999999999	0.3333333333333333	119.8	0.3333333333333333	132.30000000000004	0.3333333333333333	170.9666666666667																																																																																																																																
25	eAO	Eao	0.3333333333333333	4.366666666666666	0	1.3333333333333333	0.3333333333333333	95.66666666666664	0.3333333333333333	132.06666666666672	0.3333333333333333	152.06666666666672	0.3333333333333333	168.73333333333338			-2	117.8	-2	130.30000000000004	-2	168.9666666666667																																																																																																																																
26	eiA	Eia	0.4	4.766666666666667	0	1.3333333333333333			0.4	132.46666666666673	0.4	152.46666666666673	0.4	169.13333333333338			-2	115.8	-2	128.30000000000004	-2	166.9666666666667																																																													-2	172	-2	172																													-2	176	-2	176													-2	172	-2	172													-2	170	-2	170
27	aoa	AOA	0.5	5.266666666666667	0	1.3333333333333333	-2	93.66666666666664	-2	130.46666666666673	-2	150.46666666666673	-2	167.13333333333338					0.5	128.80000000000004	0.5	167.4666666666667																																																																																																																																
28	iAi	Iai	0.4	5.666666666666667	0	1.3333333333333333			0.4	130.86666666666673	0.4	150.86666666666673	0.4	167.5333333333334	-2	96.99999999999999	-2	113.8	-2	126.80000000000004	-2	165.4666666666667																																																																															-2	176															-2	174															-2	170													-2	168	-2	168
29	uE	ye	0.4	6.066666666666667	0	1.3333333333333333			-2	128.86666666666673	-2	148.86666666666673	-2	165.5333333333334			0.4	114.2	0.4	127.20000000000005	0.4	165.8666666666667																																																																																																																																
30	iA	Ia	0.4	6.466666666666668	0	1.3333333333333333			0.4	129.26666666666674	0.4	149.26666666666674	0.4	165.9333333333334	-2	94.99999999999999	-2	112.2	-2	125.20000000000005	-2	163.8666666666667																																																																																																																																
31	uau	yAy	0.6666666666666666	7.133333333333335	0	1.3333333333333333			-2	127.26666666666674	-2	147.26666666666674	-2	163.9333333333334							0.6666666666666666	164.53333333333336																																																																																																																																
33	Ae	aE	0.4	7.533333333333335	0	1.3333333333333333			0.4	127.66666666666674	0.4	147.66666666666674	0.4	164.3333333333334			-2	110.2	-2	123.20000000000005	-2	162.53333333333336																																																																																																																																
34	IEa	ieA	0.3333333333333333	7.866666666666668	0	1.3333333333333333			-2	125.66666666666674	-2	145.66666666666674	-2	162.3333333333334	0.3333333333333333	95.33333333333331	0.3333333333333333	110.53333333333333	0.3333333333333333	123.53333333333337	0.3333333333333333	162.8666666666667																																																																																																																																
35	uI	yi	0.3333333333333333	8.200000000000001	0	1.3333333333333333			-2	123.66666666666674	-2	143.66666666666674	-2	160.3333333333334	0.3333333333333333	95.66666666666664	0.3333333333333333	110.86666666666666	0.3333333333333333	123.8666666666667	0.3333333333333333	163.20000000000005																																																																																																																																
37	Iuo	iyO	0.3333333333333333	8.533333333333335	0	1.3333333333333333	-2	91.66666666666664	-2	121.66666666666674	-2	141.66666666666674	-2	158.3333333333334	0.3333333333333333	95.99999999999997	0.3333333333333333	111.19999999999999	0.3333333333333333	124.20000000000003	0.3333333333333333	163.5333333333334																																																																																																																																
