trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		100		140		160		180		100		120		140		180		100		100		120		120		140		140		180		180		140		140		140		140		140		140		180		180		160		160		160		160		160		160		180		180		180		180		180		180		180		180		180		180		100		100		140		140		160		160		180		180		120		120		140		140		160		160		180		180		140		140		140		140		160		160		180		180		180		180		180		180		180		180		180		180
1	IoE	ioe	0.3333333333333333	0.3333333333333333	0	0					-2	158	-2	178	0.3333333333333333	100.33333333333333	0.3333333333333333	120.33333333333333	0.3333333333333333	140.33333333333334	0.3333333333333333	180.33333333333334																																																									-2	178	-2	178	-2	178	-2	178																																									-2	158	-2	158	-2	178	-2	178									-2	178	-2	178	-2	178	-2	178
2	oEE	Oee	0.4	0.7333333333333334	0	0	-2	98	-2	138	-2	156	-2	176			0.4	120.73333333333333	0.4	140.73333333333335	0.4	180.73333333333335																																																																																																																																
3	Oey	oeu	0.3333333333333333	1.0666666666666667	0	0	0.3333333333333333	98.33333333333333	0.3333333333333333	138.33333333333334	0.3333333333333333	156.33333333333334	0.3333333333333333	176.33333333333334					-2	138.73333333333335	-2	178.73333333333335																																													-2	178	-2	178													-2	176	-2	176																																									-2	156	-2	156	-2	176	-2	176									-2	176	-2	176	-2	176	-2	176
6	OeA	oea	0.3333333333333333	1.4	0	0	0.3333333333333333	98.66666666666666	0.3333333333333333	138.66666666666669	0.3333333333333333	156.66666666666669	0.3333333333333333	176.66666666666669					-2	136.73333333333335	-2	176.73333333333335																																													-2	176	-2	176													-2	174	-2	174																																									-2	154	-2	154	-2	174	-2	174									-2	174	-2	174	-2	174	-2	174
7	EEu	eeu	0.4	1.7999999999999998	0	0					-2	154.66666666666669	-2	174.66666666666669			0.4	121.13333333333334	0.4	137.13333333333335	0.4	177.13333333333335																																													-2	174	-2	174													-2	172	-2	172																																																																
8	ouu	Ouu	0.5	2.3	0	0	-2	96.66666666666666	-2	136.66666666666669	-2	152.66666666666669	-2	172.66666666666669					0.5	137.63333333333335	0.5	177.63333333333335													-2	178	-2	178													-2	178	-2	178													-2	172	-2	172													-2	170	-2	170																																																																
9	Aie	aie	0.4	2.6999999999999997	0	0			0.4	137.0666666666667	0.4	153.0666666666667	0.4	173.0666666666667							-2	175.63333333333335																																																																																																																											-2	172	-2	172	-2	172
10	Oie	oie	0.3333333333333333	3.033333333333333	0	0	0.3333333333333333	96.99999999999999	0.3333333333333333	137.40000000000003	0.3333333333333333	153.40000000000003	0.3333333333333333	173.40000000000003					-2	135.63333333333335	-2	173.63333333333335																																																																																																											-2	152	-2	172	-2	172											-2	170	-2	170	-2	170
11	uao	yao	0.6666666666666666	3.6999999999999997	0	0			-2	135.40000000000003	-2	151.40000000000003	-2	171.40000000000003							0.6666666666666666	174.3																											-2	138	-2	176	-2	176											-2	158	-2	170	-2	170											-2	176	-2	168	-2	168																																																																
