trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		100		140		160		180		100		120		140		180		100		100		120		120		140		140		180		180		140		140		140		140		140		140		180		180		160		160		160		160		160		160		180		180		180		180		180		180		180		180		180		180		100		100		140		140		160		160		180		180		120		120		140		140		160		160		180		180		140		140		140		140		160		160		180		180		180		180		180		180		180		180		180		180
0	Apriori	Id(Bk)Syl1>>Id(Bk)	30	30																																																																																																																																																		
3	AO	ao	0.3333333333333333	30.333333333333332	0	0	0.3333333333333333	100.33333333333333	0.3333333333333333	140.33333333333334	0.3333333333333333	160.33333333333334	0.3333333333333333	180.33333333333334					-2	138	-2	178																																																																																																																																
5	eiy	Eiu	0.4	30.73333333333333	0	0			0.4	140.73333333333335	0.4	160.73333333333335	0.4	180.73333333333335			-2	118	-2	136	-2	176																																																													-2	178	-2	178																													-2	178	-2	178													-2	178	-2	178													-2	178	-2	178
6	IoE	ioE	0.3333333333333333	31.066666666666663	0	0							-2	178.73333333333335	0.3333333333333333	100.33333333333333	0.3333333333333333	118.33333333333333	0.3333333333333333	136.33333333333334	0.3333333333333333	176.33333333333334																																																							-2	178	-2	178	-2	178	-2	176	-2	176																																																																
7	OAA	oaa	0.3333333333333333	31.399999999999995	0	0	0.3333333333333333	100.66666666666666	0.3333333333333333	141.0666666666667	0.3333333333333333	161.0666666666667	0.3333333333333333	179.0666666666667					-2	134.33333333333334	-2	174.33333333333334																																																																																																																																
9	Iuu	iyy	0.3333333333333333	31.733333333333327	0	0			-2	139.0666666666667	-2	159.0666666666667	-2	177.0666666666667	0.3333333333333333	100.66666666666666	0.3333333333333333	118.66666666666666	0.3333333333333333	134.66666666666669	0.3333333333333333	174.66666666666669																																																																																																																																
10	aEI	Aei	0.3333333333333333	32.06666666666666	0	0			-2	137.0666666666667	-2	157.0666666666667	-2	175.0666666666667	0.3333333333333333	100.99999999999999	0.3333333333333333	118.99999999999999	0.3333333333333333	135.00000000000003	0.3333333333333333	175.00000000000003																																																																																																																																
14	Eoo	eOO	0.4	32.46666666666666	0	0	-2	98.66666666666666	-2	135.0666666666667	-2	155.0666666666667	-2	173.0666666666667			0.4	119.39999999999999	0.4	135.40000000000003	0.4	175.40000000000003																																																																																																																																
17	iyy	iuu			0.4	0.4			0.4	135.4666666666667	0.4	155.4666666666667	0.4	173.4666666666667							-2	173.40000000000003																																																													-2	174	-2	174																																																																
18	EoI	Eoi			0.3333333333333333	0.7333333333333334							-2	171.4666666666667	0.3333333333333333	101.33333333333331	0.3333333333333333	119.73333333333332	0.3333333333333333	135.73333333333338	0.3333333333333333	173.73333333333338																																																																																															-2	176													-2	176	-2	176													-2	176	-2	176
19	iAi	Iai	0.4	32.86666666666666	0	0.7333333333333334			0.4	135.8666666666667	0.4	155.8666666666667	0.4	171.8666666666667	-2	99.33333333333331	-2	117.73333333333332	-2	133.73333333333338	-2	171.73333333333338																																																																															-2	178															-2	174															-2	174													-2	174	-2	174
20	aIE	Aie	0.3333333333333333	33.199999999999996	0	0.7333333333333334			-2	133.8666666666667	-2	153.8666666666667	-2	169.8666666666667	0.3333333333333333	99.66666666666664	0.3333333333333333	118.06666666666665	0.3333333333333333	134.06666666666672	0.3333333333333333	172.06666666666672																																																																																																																																
21	uIa	uia			0.3333333333333333	1.0666666666666667							-2	167.8666666666667	0.3333333333333333	99.99999999999997	0.3333333333333333	118.39999999999998	0.3333333333333333	134.40000000000006	0.3333333333333333	172.40000000000006																																																													-2	172	-2	172																																																													-2	172	-2	172
22	AA	aa	0.4	33.599999999999994	0	1.0666666666666667			0.4	134.2666666666667	0.4	154.2666666666667	0.4	168.2666666666667							-2	170.40000000000006																																																																																																																																
24	ao	AO	0.5	34.099999999999994	0	1.0666666666666667	-2	96.66666666666666	-2	132.2666666666667	-2	152.2666666666667	-2	166.2666666666667					0.5	134.90000000000006	0.5	170.90000000000006																																																																																																																																
27	EI	ei	0.3333333333333333	34.43333333333333	0	1.0666666666666667					-2	150.2666666666667	-2	164.2666666666667	0.3333333333333333	100.3333333333333	0.3333333333333333	118.7333333333333	0.3333333333333333	135.2333333333334	0.3333333333333333	171.2333333333334																																																																																																																																
34	yAO	uao	0.3333333333333333	34.766666666666666	0	1.0666666666666667	0.3333333333333333	96.99999999999999	0.3333333333333333	132.60000000000005	0.3333333333333333	150.60000000000005	0.3333333333333333	164.60000000000005					-2	133.2333333333334	-2	169.2333333333334																																																																																																																																
35	yi	ui	0.4	35.166666666666664	0	1.0666666666666667			0.4	133.00000000000006	0.4	151.00000000000006	0.4	165.00000000000006							-2	167.2333333333334																																																																																																																													-2	170	-2	170
37	eiO	Eio	0.3333333333333333	35.5	0	1.0666666666666667	0.3333333333333333	97.33333333333331	0.3333333333333333	133.3333333333334	0.3333333333333333	151.3333333333334	0.3333333333333333	165.3333333333334			-2	116.7333333333333	-2	131.2333333333334	-2	165.2333333333334																																																									-2	176	-2	176	-2	170	-2	170																													-2	176	-2	172													-2	174	-2	172													-2	168	-2	168
38	eyO	Euo	0.3333333333333333	35.833333333333336	0	1.0666666666666667	0.3333333333333333	97.66666666666664	0.3333333333333333	133.66666666666674	0.3333333333333333	151.66666666666674	0.3333333333333333	165.66666666666674			-2	114.7333333333333	-2	129.2333333333334	-2	163.2333333333334																																																																																																																																
41	Io	iO	0.3333333333333333	36.16666666666667	0	1.0666666666666667	-2	95.66666666666664	-2	131.66666666666674	-2	149.66666666666674	-2	163.66666666666674	0.3333333333333333	100.66666666666663	0.3333333333333333	115.06666666666663	0.3333333333333333	129.56666666666675	0.3333333333333333	163.56666666666675																																																																																																																																
42	Eo	eO	0.4	36.56666666666667	0	1.0666666666666667	-2	93.66666666666664	-2	129.66666666666674	-2	147.66666666666674	-2	161.66666666666674			0.4	115.46666666666664	0.4	129.96666666666675	0.4	163.96666666666675																																																																																																																																
43	Oee	oEE	0.3333333333333333	36.900000000000006	0	1.0666666666666667	0.3333333333333333	93.99999999999997	0.3333333333333333	130.00000000000009	0.3333333333333333	148.00000000000009	0.3333333333333333	162.00000000000009			-2	113.46666666666664	-2	127.96666666666675	-2	161.96666666666675																																																																																																																																
47	yei	uEi	0.4	37.300000000000004	0	1.0666666666666667			0.4	130.4000000000001	0.4	148.4000000000001	0.4	162.4000000000001			-2	111.46666666666664	-2	125.96666666666675	-2	159.96666666666675																																																																																													-2	174	-2	170													-2	172	-2	170													-2	166	-2	166
48	IEI	iEi	0.3333333333333333	37.63333333333334	0	1.0666666666666667							-2	160.4000000000001	0.3333333333333333	100.99999999999996	0.3333333333333333	111.79999999999997	0.3333333333333333	126.30000000000008	0.3333333333333333	160.3000000000001																																																					-2	178	-2	176	-2	174	-2	174	-2	168	-2	168																													-2	172	-2	168													-2	170	-2	168													-2	164	-2	164
50	IaE	iaE	0.3333333333333333	37.966666666666676	0	1.0666666666666667							-2	158.4000000000001	0.3333333333333333	101.33333333333329	0.3333333333333333	112.1333333333333	0.3333333333333333	126.63333333333341	0.3333333333333333	160.63333333333344																																																							-2	174			-2	172	-2	166	-2	166																																																																
51	OOy	oou	0.3333333333333333	38.30000000000001	0	1.0666666666666667	0.3333333333333333	94.3333333333333	0.3333333333333333	130.73333333333343	0.3333333333333333	148.73333333333343	0.3333333333333333	158.73333333333343					-2	124.63333333333341	-2	158.63333333333344																																																																																																																																
53	AyO	auo	0.3333333333333333	38.63333333333335	0	1.0666666666666667	0.3333333333333333	94.66666666666663	0.3333333333333333	131.06666666666678	0.3333333333333333	149.06666666666678	0.3333333333333333	159.06666666666678					-2	122.63333333333341	-2	156.63333333333344																																																																																																																																
54	aEa	AeA	0.4	39.033333333333346	0	1.0666666666666667			-2	129.06666666666678	-2	147.06666666666678	-2	157.06666666666678			0.4	112.5333333333333	0.4	123.03333333333342	0.4	157.03333333333345																																																																																																																																
56	iAO	Iao	0.3333333333333333	39.36666666666668	0	1.0666666666666667	0.3333333333333333	94.99999999999996	0.3333333333333333	129.40000000000012	0.3333333333333333	147.40000000000012	0.3333333333333333	157.40000000000012	-2	99.33333333333329	-2	110.5333333333333	-2	121.03333333333342	-2	155.03333333333345																																																																																																																																
57	Aei	aEi	0.4	39.76666666666668	0	1.0666666666666667			0.4	129.80000000000013	0.4	147.80000000000013	0.4	157.80000000000013			-2	108.5333333333333	-2	119.03333333333342	-2	153.03333333333345																																																																																													-2	170	-2	166													-2	168	-2	166													-2	162	-2	162
