trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		100		140		160		180		100		120		140		180		100		100		100		100		100		100		100		100		100		100		120		120		140		140		140		140		100		100		120		120		140		140		160		160		100		100		120		120		140		140		180		180		100		100		100		100		100		100		100		100		100		100		120		120		120		120		120		120		100		100		140		140		140		140		140		140		100		100		140		140		160		160		180		180
1	AyA	Aua			2	2			2	142	2	162	2	182							-2	178																													-2	138	-2	138													-2	158	-2	158													-2	178	-2	178																																																																
2	Eoa	eoa	2	2	2	4					-2	160	-2	180			2	122	2	142	2	180																																									-2	138	-2	138	-2	156	-2	156									-2	138	-2	138	-2	176	-2	176																																																																
4	yOA	yoa			2	6	2	102	2	144	2	162	2	182					-2	140	-2	178																									-2	138	-2	138	-2	136	-2	136									-2	136	-2	136	-2	154	-2	154									-2	136	-2	136	-2	174	-2	174																																																																
5	oEa	Oea	2	4	2	8	-2	100	-2	142	-2	160	-2	180			2	124	2	142	2	180															-2	98															-2	134													-2	152	-2	152													-2	172	-2	172																																																																
6	yAe	uae	2	6	2	10			2	144	2	162	2	182							-2	178																																																																																																																									-2	158	-2	158	-2	178	-2	178
7	uao	yao	2	8	2	12			-2	142	-2	160	-2	180							2	180																											-2	136	-2	134	-2	132											-2	134	-2	150	-2	150											-2	134	-2	170	-2	170																																																																
8	Aiy	aiu	2	10	2	14			2	144	2	162	2	182							-2	178																																																													-2	168	-2	168																																																													-2	176	-2	176
9	oIE	oie			2	16					-2	160	-2	180	2	102	2	126	2	144	2	180																																																																																																											-2	138	-2	138	-2	138											-2	156	-2	174	-2	174
10	eyi	Eui	2	12	2	18			2	146	2	162	2	182			-2	124	-2	142	-2	178																																																																																															-2	118															-2	136													-2	172	-2	172
14	aaa	Aaa	2	14	2	20			-2	144	-2	160	-2	180							2	180																													-2	132	-2	130													-2	148	-2	148													-2	166	-2	166																																																																
15	II	ii	2	16	2	22							-2	178	2	104	2	126	2	144	2	182																																																																																																																																
16	eAe	eae			2	24			2	146	2	162	2	180							-2	180																																													-2	146	-2	146													-2	164	-2	164																																																									-2	156	-2	154	-2	170	-2	170
17	eyi	Eui	2	18	2	26			2	148	2	164	2	182			-2	124	-2	142	-2	178																																																																																															-2	116															-2	134													-2	168	-2	168
18	aaa	Aaa	2	20	2	28			-2	146	-2	162	-2	180							2	180																													-2	130	-2	128													-2	144	-2	144													-2	162	-2	162																																																																
20	EoI	eoi	2	22	2	30					-2	160	-2	178	2	106	2	126	2	144	2	182																																									-2	134	-2	132	-2	142	-2	142									-2	134	-2	132	-2	160	-2	160																																													-2	136	-2	132													-2	166	-2	166
21	eeO	eeo			2	32	2	102	2	148	2	162	2	180					-2	142	-2	180																																									-2	132	-2	130	-2	140	-2	140									-2	132	-2	130	-2	158	-2	158																																																																
22	uoI	yoi	2	24	2	34			-2	146	-2	160	-2	178	2	108	2	128	2	144	2	182																									-2	136	-2	134	-2	128	-2	126									-2	130	-2	128	-2	138	-2	138									-2	130	-2	128	-2	156	-2	156																																													-2	134	-2	130													-2	164	-2	164
23	Aiy	Aiu			2	36			2	148	2	162	2	180							-2	180																															-2	124															-2	136													-2	154	-2	154																																																																
24	aua	Aua	2	26	2	38			-2	146	-2	160	-2	178							2	182																													-2	126	-2	122													-2	136	-2	134													-2	152	-2	152																																																																
25	eyA	Eua	2	28	2	40			2	148	2	162	2	180			-2	126	-2	142	-2	180																																																																																																																																
26	yiy	uiu	2	30	2	42			2	150	2	164	2	182							-2	178																																																													-2	150	-2	150																																																													-2	162	-2	162
27	uIo	uio			2	44							-2	180	2	110	2	128	2	144	2	180																																																									-2	128	-2	126	-2	148	-2	148																																																													-2	160	-2	160
28	Iau	iau	2	32	2	46							-2	178	2	112	2	130	2	146	2	182																																																													-2	146	-2	146																																																																
29	Oee	oee	2	34	2	48	2	104	2	152	2	166	2	180					-2	144	-2	180																																																																																																									-2	138	-2	136	-2	132	-2	128									-2	154	-2	152	-2	158	-2	158
30	yOO	yoo			2	50	2	106	2	154	2	168	2	182					-2	142	-2	178																									-2	134	-2	132	-2	124	-2	120									-2	128	-2	126	-2	134	-2	132									-2	126	-2	124	-2	144	-2	144																																																																
31	ee	Ee	2	36	2	52					2	170	2	184			-2	128	-2	140	-2	176																																																																																									-2	118	-2	118	-2	118	-2	114									-2	136	-2	134	-2	130	-2	126									-2	152	-2	150	-2	156	-2	156
