trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		100		140		160		180		100		120		140		180		100		100		100		100		100		100		100		100		100		100		120		120		140		140		140		140		100		100		120		120		140		140		160		160		100		100		120		120		140		140		180		180		100		100		100		100		100		100		100		100		100		100		120		120		120		120		120		120		100		100		140		140		140		140		140		140		100		100		140		140		160		160		180		180
4	eyO	Euo	2	2	2	2	2	102	2	142	2	162	2	182			-2	118	-2	138	-2	178																																																																																																																																
5	aau	AAy	2	4	2	4			-2	140	-2	160	-2	180							2	180																																																																																																																																
8	Ayi	aui	2	6	2	6			2	142	2	162	2	182							-2	178																																																																																																																													-2	178	-2	178
12	Eu	ey	2	8	2	8			-2	140	-2	160	-2	180			2	120	2	140	2	180																																																																																																																																
13	ie	IE	2	10	2	10					2	162	2	182	-2	98	-2	118	-2	138	-2	178																																																																																																																																
17	Eoa	eOA	2	12	2	12	-2	100	-2	138	-2	160	-2	180			2	120	2	140	2	180																																																																																																																																
18	uEu	yey	2	14	2	14			-2	136	-2	158	-2	178			2	122	2	142	2	182																																																																																																																																
19	AeA	aEa	2	16	2	16			2	138	2	160	2	180			-2	120	-2	140	-2	180																																																																																																																																
20	iiO	iio			2	18	2	102	2	140	2	162	2	182					-2	138	-2	178																																																									-2	138	-2	138	-2	178	-2	178																																																																
21	AiO	aio	2	18	2	20	2	104	2	142	2	164	2	184					-2	136	-2	176																																																									-2	136	-2	136	-2	176	-2	176																																																													-2	176	-2	176
22	uE	ye	2	20	2	22			-2	140	-2	162	-2	182			2	122	2	138	2	178																																																																																																																																
23	EoI	Eoi			2	24							-2	180	2	100	2	124	2	140	2	180																																																																																															-2	118													-2	138	-2	138													-2	174	-2	174
24	OOy	oou	2	22	2	26	2	106	2	142	2	164	2	182					-2	138	-2	178																																																																																																																																
25	Eo	eO	2	24	2	28	-2	104	-2	140	-2	162	-2	180			2	126	2	140	2	180																																																																																																																																
28	Ioo	iOO	2	26	2	30	-2	102	-2	138	-2	160	-2	178	2	102	2	128	2	142	2	182																																																																																																																																
29	yei	uEi	2	28	2	32			2	140	2	162	2	180			-2	126	-2	140	-2	180																																																																																													-2	118	-2	116													-2	136	-2	136													-2	172	-2	172
30	Iau	iau	2	30	2	34							-2	178	2	104	2	128	2	142	2	182																																																													-2	174	-2	174																																																																
33	iAA	Iaa	2	32	2	36			2	142	2	164	2	180	-2	102	-2	126	-2	140	-2	180																																																																																																																																
35	EEu	eey	2	34	2	38			-2	140	-2	162	-2	178			2	128	2	142	2	182																																																																																																																																
36	iy	Iu	2	36	2	40			2	142	2	164	2	180	-2	100	-2	126	-2	140	-2	180																																																																																																																																
37	AOe	aoE	2	38	2	42	2	104	2	144	2	166	2	182			-2	124	-2	138	-2	178																																																																																																																																
39	aIa	AiA	2	40	2	44			-2	142	-2	164	-2	180	2	102	2	126	2	140	2	180																																																																																																																																
41	aaE	AAe	2	42	2	46			-2	140	-2	162	-2	178			2	128	2	142	2	182																																																																																																																																
43	Ay	au	2	44	2	48			2	142	2	164	2	180							-2	180																																																																																																																																
44	yy	uu	2	46	2	50			2	144	2	166	2	182							-2	178																																																																																																																																
47	aEE	Aee	2	48	2	52			-2	142	-2	164	-2	180			2	130	2	144	2	180																																																																																																																																
48	IEa	ieA	2	50	2	54			-2	140	-2	162	-2	178	2	104	2	132	2	146	2	182																																																																																																																																
49	OOA	ooa	2	52	2	56	2	106	2	142	2	164	2	180					-2	144	-2	180																																																																																																																																
51	EI	ei	2	54	2	58					-2	162	-2	178	2	106	2	134	2	146	2	182																																																																																																																																
53	iiO	Iio	2	56	2	60	2	108	2	144	2	164	2	180	-2	104	-2	132	-2	144	-2	180																																																									-2	134	-2	134	-2	172	-2	172													-2	98	-2	98													-2	116	-2	114													-2	134	-2	134													-2	170	-2	170
55	aEo	AeO	2	58	2	62	-2	106	-2	142	-2	162	-2	178			2	134	2	146	2	182																																																																																																																																
57	iO	Io	2	60	2	64	2	108	2	144	2	164	2	180	-2	102	-2	132	-2	144	-2	180																																																																																																																																
61	oua	OyA	2	62	2	66	-2	106	-2	142	-2	162	-2	178					2	146	2	182																																																																																																																																
62	iy	Iu	2	64	2	68			2	144	2	164	2	180	-2	100	-2	130	-2	144	-2	180																																																																																																																																
63	aE	Ae	2	66	2	70			-2	142	-2	162	-2	178			2	132	2	146	2	182																																																																																																																																
64	OA	oa	2	68	2	72	2	108	2	144	2	164	2	180					-2	144	-2	180																																																																																																																																
65	Eaa	eAA	2	70	2	74			-2	142	-2	162	-2	178			2	134	2	146	2	182																																																																																																																																
68	yii	uii	2	72	2	76			2	144	2	164	2	180							-2	180																																																																																																																													-2	168	-2	168
70	oIo	OiO	2	74	2	78	-2	106	-2	142	-2	162	-2	178	2	102	2	136	2	148	2	182																																																																																																																																
72	yAi	uai	2	76	2	80			2	144	2	164	2	180							-2	180																																																																																																																													-2	166	-2	166
73	AOy	aou	2	78	2	82	2	108	2	146	2	166	2	182					-2	146	-2	178																																																																																																																																
75	EEE	eee	2	80	2	84					-2	164	-2	180			2	138	2	148	2	180																																																																																																																																
77	Oey	oEu	2	82	2	86	2	110	2	148	2	166	2	182			-2	136	-2	146	-2	178																																																																																																																																
78	Iao	iAO	2	84	2	88	-2	108	-2	146	-2	164	-2	180	2	104	2	138	2	148	2	180																																																																																																																																
79	uou	yOy	2	86	2	90	-2	106	-2	144	-2	162	-2	178					2	150	2	182																																																																																																																																
82	yAi	uai	2	88	2	92			2	146	2	164	2	180							-2	180																																																																																																																													-2	164	-2	164
83	auo	AyO	2	90	2	94	-2	104	-2	144	-2	162	-2	178					2	152	2	182																																																																																																																																
85	yye	uuE	2	92	2	96			2	146	2	164	2	180			-2	136	-2	150	-2	180																																																																																																																																
87	ye	uE	2	94	2	98			2	148	2	166	2	182			-2	134	-2	148	-2	178																																																																																																																																
88	uEu	yey	2	96	2	100			-2	146	-2	164	-2	180			2	136	2	150	2	180																																																																																																																																
