trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		100		140		160		180		100		120		140		180		100		100		100		100		100		100		100		100		100		100		120		120		140		140		140		140		100		100		120		120		140		140		160		160		100		100		120		120		140		140		180		180		100		100		100		100		100		100		100		100		100		100		120		120		120		120		120		120		100		100		140		140		140		140		140		140		100		100		140		140		160		160		180		180
1	EII	Eii			2	2							-2	178	2	102	2	122	2	142	2	182																																																																																													-2	118	-2	118													-2	138	-2	138													-2	178	-2	178
3	OeO	oEo	2	2	0	2	2	102	2	142	2	162	2	180			-2	120	-2	140	-2	180																																																																																																																																
6	IIa	Iia			2	4							-2	178	2	104	2	122	2	142	2	182																																																													-2	178	-2	178													-2	98	-2	98													-2	116	-2	116													-2	136	-2	136													-2	176	-2	176
7	iey	IEu	2	4	0	4			2	144	2	164	2	180	-2	102	-2	120	-2	140	-2	180																																																																																																																																
8	iie	iiE			2	6					2	166	2	182			-2	118	-2	138	-2	178																																																					-2	118	-2	118	-2	138	-2	138	-2	176	-2	176																																																																
9	EI	Ei			2	8							-2	180	2	104	2	120	2	140	2	180																																																																																													-2	114	-2	114													-2	134	-2	134													-2	174	-2	174
10	AiA	aia	2	6	0	8			2	146	2	168	2	182							-2	178																																																													-2	174	-2	174																																																													-2	172	-2	172
11	AOO	aoo	2	8	0	8	2	104	2	148	2	170	2	184					-2	138	-2	176																																																																																																																																
12	uIo	yiO	2	10	0	8	-2	102	-2	146	-2	168	-2	182	2	106	2	122	2	140	2	178																																																																																																																																
13	ooo	OOO	2	12	0	8	-2	100	-2	144	-2	166	-2	180					2	142	2	180																																																																																																																																
14	uuo	yyO	2	14	0	8	-2	98	-2	142	-2	164	-2	178					2	144	2	182																																																																																																																																
16	iiO	Iio	2	16	0	8	2	100	2	144	2	166	2	180	-2	104	-2	120	-2	142	-2	180																																																									-2	136	-2	136	-2	172	-2	172													-2	96	-2	96													-2	112	-2	112													-2	132	-2	132													-2	170	-2	170
17	eAy	Eau	2	18	0	8			2	146	2	168	2	182			-2	118	-2	140	-2	178																																																																																																																																
19	aou	AOy	2	20	0	8	-2	98	-2	144	-2	166	-2	180					2	142	2	180																																																																																																																																
21	iOA	ioa			2	10	2	100	2	146	2	168	2	182					-2	140	-2	178																																																									-2	134	-2	134	-2	170	-2	170																																																																
22	IuE	iuE	2	22	0	10							-2	180	2	106	2	120	2	142	2	180																																																							-2	116			-2	132	-2	168	-2	168																																																																
24	ooI	OOi	2	24	0	10	-2	98	-2	144	-2	166	-2	178	2	108	2	122	2	144	2	182																																																																																																																																
27	eiA	Eia	2	26	0	10			2	146	2	168	2	180			-2	120	-2	142	-2	180																																																													-2	166	-2	166																													-2	110	-2	110													-2	130	-2	130													-2	168	-2	168
29	Eou	eOy	2	28	0	10	-2	96	-2	144	-2	166	-2	178			2	122	2	144	2	182																																																																																																																																
30	iee	IEE	2	30	0	10					2	168	2	180	-2	106	-2	120	-2	142	-2	180																																																																																																																																
31	iOy	iou			2	12	2	98	2	146	2	170	2	182					-2	140	-2	178																																																									-2	132	-2	130	-2	164	-2	164																																																																
33	IIu	iiu	2	32	0	12							-2	180	2	108	2	122	2	142	2	180																																																													-2	162	-2	162																																																																
36	IIa	iia	2	34	0	12							-2	178	2	110	2	124	2	144	2	182																																																													-2	160	-2	160																																																																
37	AAy	aau	2	36	0	12			2	148	2	172	2	180							-2	180																																																																																																																																
38	aoI	aoi			2	14							-2	178	2	112	2	126	2	146	2	182																																																																																																													-2	128	-2	128													-2	166	-2	166
40	iiA	iia			2	16			2	150	2	174	2	180							-2	180																																																													-2	158	-2	158																																																																
41	Iau	iau	2	38	0	16							-2	178	2	114	2	128	2	148	2	182																																																													-2	156	-2	156																																																																
43	aIo	aio			2	18							-2	176	2	116	2	130	2	150	2	184																																																									-2	130	-2	128	-2	154	-2	154																																																													-2	164	-2	164
