trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		100		140		160		180		100		120		140		180		100		100		100		100		100		100		100		100		100		100		120		120		140		140		140		140		100		100		120		120		140		140		160		160		100		100		120		120		140		140		180		180		100		100		100		100		100		100		100		100		100		100		120		120		120		120		120		120		100		100		140		140		140		140		140		140		100		100		140		140		160		160		180		180
1	Oi	oi	2	2	0	0	2	102	2	142	2	162	2	182					-2	138	-2	178																																																																																																													-2	138	-2	138													-2	178	-2	178
2	oao	OAO	2	4	0	0	-2	100	-2	140	-2	160	-2	180					2	140	2	180																																																																																																																																
4	ou	Oy	2	6	0	0	-2	98	-2	138	-2	158	-2	178					2	142	2	182																																																																																																																																
5	yyy	uuu	2	8	0	0			2	140	2	160	2	180							-2	180																																																																																																																																
7	EIu	eiy	2	10	0	0			-2	138	-2	158	-2	178	2	102	2	122	2	144	2	182																																																																																																																																
8	uuo	yyO	2	12	0	0	-2	96	-2	136	-2	156	-2	176					2	146	2	184																																																																																																																																
10	yO	uo	2	14	0	0	2	98	2	138	2	158	2	178					-2	144	-2	182																																																																																																																																
12	OiO	oio	2	16	0	0	2	100	2	140	2	160	2	180					-2	142	-2	180																																																									-2	138	-2	138	-2	178	-2	178																																													-2	136	-2	136													-2	176	-2	176
13	auI	aui			2	2							-2	178	2	104	2	124	2	144	2	182																																																																																																																													-2	174	-2	174
16	AyO	auo	2	18	0	2	2	102	2	142	2	162	2	180					-2	142	-2	180																																																																																																																																
17	iOe	ioe			2	4	2	104	2	144	2	164	2	182					-2	140	-2	178																																																									-2	136	-2	136	-2	176	-2	176																																									-2	138	-2	138	-2	134	-2	134									-2	158	-2	158	-2	172	-2	172
18	Iuo	iyO	2	20	0	4	-2	102	-2	142	-2	162	-2	180	2	106	2	126	2	142	2	180																																																																																																																																
20	uu	yy	2	22	0	4			-2	140	-2	160	-2	178							2	182																																																																																																																																
25	Oiy	oiu	2	24	0	4	2	104	2	142	2	162	2	180					-2	140	-2	180																																																													-2	174	-2	174																																													-2	132	-2	132													-2	170	-2	170
26	IuI	iui	2	26	0	4							-2	178	2	108	2	128	2	142	2	182																																																													-2	172	-2	172																																																													-2	168	-2	168
28	yiA	uia	2	28	0	4			2	144	2	164	2	180							-2	180																																																													-2	170	-2	170																																																													-2	166	-2	166
30	OAy	oau	2	30	0	4	2	106	2	146	2	166	2	182					-2	140	-2	178																																																																																																																																
31	Ea	eA	2	32	0	4			-2	144	-2	164	-2	180			2	130	2	142	2	180																																																																																																																																
32	iyA	iua			2	6			2	146	2	166	2	182							-2	178																																																													-2	168	-2	168																																																																
33	uEI	uei			2	8					-2	164	-2	180	2	110	2	132	2	144	2	180																																																																																																																									-2	156	-2	156	-2	164	-2	164
36	EEI	eei	2	34	0	8					-2	162	-2	178	2	112	2	134	2	146	2	182																																																																																																																																
37	Oee	oee	2	36	0	8	2	108	2	148	2	164	2	180					-2	144	-2	180																																																																																																									-2	136	-2	136	-2	130	-2	130									-2	154	-2	154	-2	162	-2	162
38	Oy	ou	2	38	0	8	2	110	2	150	2	166	2	182					-2	142	-2	178																																																																																																																																
40	EIu	eiu	2	40	0	8					-2	164	-2	180	2	114	2	136	2	144	2	180																																															-2	158													-2	166	-2	166																																																																
41	iAA	iaa			2	10			2	152	2	166	2	182							-2	178																																																													-2	164	-2	164																																																																
42	IIu	iiu	2	42	0	10							-2	180	2	116	2	138	2	146	2	180																																																													-2	162	-2	162																																																																
43	uaI	uai			2	12							-2	178	2	118	2	140	2	148	2	182																																																																																																																													-2	160	-2	160
45	Oy	ou	2	44	0	12	2	112	2	154	2	168	2	180					-2	146	-2	180																																																																																																																																
47	yee	uee	2	46	0	12			2	156	2	170	2	182							-2	178																																																																																																																									-2	152	-2	152	-2	158	-2	158
48	Eoa	eoa	2	48	0	12					-2	168	-2	180			2	142	2	148	2	180																																									-2	138	-2	138	-2	158	-2	156									-2	134	-2	134	-2	160	-2	160																																																																
51	AeA	aea	2	50	0	12			2	158	2	170	2	182							-2	178																																													-2	156	-2	154													-2	158	-2	158																																																									-2	150	-2	150	-2	156	-2	156
52	Eua	eyA	2	52	0	12			-2	156	-2	168	-2	180			2	144	2	150	2	180																																																																																																																																
53	Oey	oeu	2	54	0	12	2	114	2	158	2	170	2	182					-2	148	-2	178																																													-2	154	-2	152													-2	156	-2	156																																									-2	134	-2	134	-2	128	-2	128									-2	148	-2	148	-2	154	-2	154
54	EIu	eiu	2	56	0	12					-2	168	-2	180	2	120	2	146	2	150	2	180																																															-2	150													-2	154	-2	154																																																																
59	oua	OyA	2	58	0	12	-2	112	-2	156	-2	166	-2	178					2	152	2	182																																																																																																																																
