trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		100		140		160		180		100		120		140		180		100		100		100		100		100		100		100		100		100		100		120		120		140		140		140		140		100		100		120		120		140		140		160		160		100		100		120		120		140		140		180		180		100		100		100		100		100		100		100		100		100		100		120		120		120		120		120		120		100		100		140		140		140		140		140		140		100		100		140		140		160		160		180		180
0	Apriori	Id(Bk)Syl1>>Id(Bk)	10	10																																																																																																																																																		
1	eOO	Eoo	2	12	0	0	2	102	2	142	2	162	2	182			-2	118	-2	138	-2	178																																																																																																																																
3	IIE	iie	2	14	0	0					-2	160	-2	180	2	102	2	120	2	140	2	180																																																																																																																																
7	II	ii	2	16	0	0							-2	178	2	104	2	122	2	142	2	182																																																																																																																																
9	ieA	iEa			2	2			2	144	2	162	2	180			-2	120	-2	140	-2	180																																																					-2	118	-2	118	-2	138	-2	138	-2	178	-2	178																																																																
11	uIE	uiE			2	4							-2	178	2	106	2	122	2	142	2	182																																																					-2	116	-2	116	-2	136	-2	136	-2	176	-2	176																																																													-2	178	-2	178
12	ieO	iEo			2	6	2	104	2	146	2	164	2	180			-2	120	-2	140	-2	180																																																					-2	114	-2	114	-2	134	-2	134	-2	174	-2	174																																																																
13	Aii	aii	2	18	0	6			2	148	2	166	2	182							-2	178																																																																																																																													-2	176	-2	176
15	auo	AyO	2	20	0	6	-2	102	-2	146	-2	164	-2	180					2	142	2	180																																																																																																																																
16	aIu	aiu			2	8							-2	178	2	108	2	122	2	144	2	182																																																													-2	172	-2	172																																																													-2	174	-2	174
18	yyy	uuu	2	22	0	8			2	148	2	166	2	180							-2	180																																																																																																																																
19	Oy	ou	2	24	0	8	2	104	2	150	2	168	2	182					-2	142	-2	178																																																																																																																																
20	IIa	iiA	2	26	0	8			-2	148	-2	166	-2	180	2	110	2	124	2	144	2	180																																																																																																																																
23	EoI	eOi	2	28	0	8	-2	102	-2	146	-2	164	-2	178	2	112	2	126	2	146	2	182																																																																																																																																
24	iO	io			2	10	2	104	2	148	2	166	2	180					-2	144	-2	180																																																									-2	132	-2	132	-2	170	-2	170																																																																
28	EoE	eOe	2	30	0	10	-2	102	-2	146	-2	164	-2	178			2	128	2	146	2	182																																																																																																																																
29	eOy	Eou	2	32	0	10	2	104	2	148	2	166	2	180			-2	126	-2	144	-2	180																																																																																																																																
30	ooI	OOi	2	34	0	10	-2	102	-2	146	-2	164	-2	178	2	114	2	128	2	146	2	182																																																																																																																																
31	Ia	iA	2	36	0	10			-2	144	-2	162	-2	176	2	116	2	130	2	148	2	184																																																																																																																																
32	iA	ia			2	12			2	146	2	164	2	178							-2	182																																																													-2	168	-2	168																																																																
33	eOe	EoE	2	38	0	12	2	104	2	148	2	166	2	180			-2	128	-2	146	-2	180																																																																																																																																
