trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		100		140		160		180		100		120		140		180		100		100		100		100		100		100		100		100		100		100		120		120		140		140		140		140		100		100		120		120		140		140		160		160		100		100		120		120		140		140		180		180		100		100		100		100		100		100		100		100		100		100		120		120		120		120		120		120		100		100		140		140		140		140		140		140		100		100		140		140		160		160		180		180
0	Apriori	Id(Bk)Syl1>>Id(Bk)	20	20																																																																																																																																																		
2	yee	uee	2	22	0	0			2	142	2	162	2	182							-2	178																																																																																																																									-2	158	-2	158	-2	178	-2	178
3	uoa	yoa	2	24	0	0			-2	140	-2	160	-2	180							2	180																									-2	138	-2	138	-2	138	-2	138									-2	138	-2	138	-2	158	-2	158									-2	138	-2	138	-2	178	-2	178																																																																
4	uI	ui			2	2							-2	178	2	102	2	122	2	142	2	182																																																																																																																													-2	176	-2	176
6	yOO	yoo			2	4	2	102	2	142	2	162	2	180					-2	140	-2	180																									-2	136	-2	136	-2	136	-2	136									-2	136	-2	136	-2	156	-2	156									-2	136	-2	136	-2	176	-2	176																																																																
7	EIE	eie	2	26	0	4					-2	160	-2	178	2	104	2	124	2	142	2	182																																																																																																																																
8	Oie	oie	2	28	0	4	2	104	2	144	2	162	2	180					-2	140	-2	180																																																																																																											-2	138	-2	138	-2	138											-2	156	-2	174	-2	174
9	uEI	uei			2	6					-2	160	-2	178	2	106	2	126	2	142	2	182																																																																																																																									-2	156	-2	154	-2	172	-2	172
10	eyA	Eua	2	30	0	6			2	146	2	162	2	180			-2	124	-2	140	-2	180																																																																																																																																
