trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		100		140		160		180		100		120		140		180		100		100		100		100		100		100		100		100		100		100		120		120		140		140		140		140		100		100		120		120		140		140		160		160		100		100		120		120		140		140		180		180		100		100		100		100		100		100		100		100		100		100		120		120		120		120		120		120		100		100		140		140		140		140		140		140		100		100		140		140		160		160		180		180
1	uou	you	7.5	7.5	7.5	7.5			-2	138	-2	158	-2	178							7.5	187.5																									-2	138	-2	138	-2	138	-2	138									-2	138	-2	138	-2	158	-2	158									-2	138	-2	138	-2	178	-2	178																																																																
2	AeO	Aeo			4.0	11.5	4.0	104.0	4.0	142.0	4.0	162.0	4.0	182.0					-2	138	-2	185.5																											-2	136			-2	136									-2	136	-2	136	-2	156	-2	156									-2	136	-2	136	-2	176	-2	176																																																																
3	Oyy	ouu	0.5714285714285714	8.071428571428571	0.5714285714285714	12.071428571428571	0.5714285714285714	104.57142857142857	0.5714285714285714	142.57142857142858	0.5714285714285714	162.57142857142858	0.5714285714285714	182.57142857142858					-2	136	-2	183.5																																																																																																																																
4	oEa	oea			5.6	17.67142857142857					-2	160.57142857142858	-2	180.57142857142858			5.6	125.6	5.6	141.6	5.6	189.1																																													-2	154	-2	154													-2	174	-2	174																																									-2	138	-2	138	-2	138	-2	138									-2	158	-2	158	-2	178	-2	178
5	AAi	aai	1.0	9.071428571428571	1.0	18.67142857142857			1.0	143.57142857142858	1.0	161.57142857142858	1.0	181.57142857142858							-2	187.1																																																																																																																													-2	176	-2	176
6	iOe	ioe			4.666666666666667	23.33809523809524	4.666666666666667	109.23809523809524	4.666666666666667	148.23809523809524	4.666666666666667	166.23809523809524	4.666666666666667	186.23809523809524					-2	139.6	-2	185.1																																																									-2	134	-2	134	-2	172	-2	172																																									-2	136	-2	136	-2	136	-2	136									-2	156	-2	156	-2	174	-2	174
7	IoE	ioe	4.0	13.071428571428571	4.0	27.33809523809524					-2	164.23809523809524	-2	184.23809523809524	4.0	104.0	4.0	129.6	4.0	143.6	4.0	189.1																																																									-2	132	-2	132	-2	170	-2	170																																									-2	134	-2	134	-2	134	-2	134									-2	154	-2	154	-2	172	-2	172
8	eAi	Eai	2.3333333333333335	15.404761904761905	2.3333333333333335	29.67142857142857			2.3333333333333335	150.57142857142858	2.3333333333333335	166.57142857142858	2.3333333333333335	186.57142857142858			-2	127.6	-2	141.6	-2	187.1																																																																																															-2	118															-2	132													-2	170	-2	170
9	eiy	eiu			1.6	31.271428571428572			1.6	152.17142857142858	1.6	168.17142857142858	1.6	188.17142857142858							-2	185.1																																															-2	152													-2	168	-2	168																																																																
10	aau	Aau	4.5	19.904761904761905	4.5	35.77142857142857			-2	150.17142857142858	-2	166.17142857142858	-2	186.17142857142858							4.5	189.6																													-2	136	-2	134													-2	152	-2	150													-2	166	-2	166																																																																
